participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
5f9fdfd04296cb0102563f84,TCN,2024-06-26_10h38.02.454,LearnStrategy,2023.2.3,Win32,37.79289494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f9fdfd04296cb0102563f84,TCN,2024-06-26_10h38.02.454,LearnStrategy,2023.2.3,Win32,37.79289494,1,1,1,-0.083984375,0.000976563,1,0,0,4.431,rock_grid_rect_2,4,11,-1,-1,4.431,0.12109375,-0.25390625,1,0,0,9.903,Diorite_rect,3,9.903,0,0,0,0,0,1,,,,,,,,,,,,,
5f9fdfd04296cb0102563f84,TCN,2024-06-26_10h38.02.454,LearnStrategy,2023.2.3,Win32,37.79289494,1,1,2,-0.016601563,-0.002929688,1,0,0,1.432,rock_grid_rect_2,5,05,-1,-1,1.432,0.37109375,-0.4140625,1,0,0,2.622,Pumice_rect,8,2.622,0,1,0,1,0,1,,,,,,,,,,,,,
5f9fdfd04296cb0102563f84,TCN,2024-06-26_10h38.02.454,LearnStrategy,2023.2.3,Win32,37.79289494,1,1,3,0.000976563,0.015625,1,0,0,1.345,rock_grid_rect_2,6,15,-1,-1,1.345,-0.352539063,-0.2578125,1,0,0,2.636,Andesite_rect,1,2.636,0,2,0,2,0,1,,,,,,,,,,,,,
5f9fdfd04296cb0102563f84,TCN,2024-06-26_10h38.02.454,LearnStrategy,2023.2.3,Win32,37.79289494,1,1,4,-0.01953125,-0.018554688,1,0,0,1.027,rock_grid_rect_2,7,07,-1,-1,1.027,0.359375,-0.260742188,1,0,0,1.891,Gabbro_rect,4,1.891,0,3,0,3,0,1,,,,,,,,,,,,,
5f9fdfd04296cb0102563f84,TCN,2024-06-26_10h38.02.454,LearnStrategy,2023.2.3,Win32,37.79289494,1,1,5,0.01171875,-0.006835938,1,0,0,1.131,rock_grid_rect_2,3,10,-1,-1,1.131,0.110351563,-0.240234375,1,0,0,3.257,Diorite_rect,3,3.257,1,4,0,4,0,1,,,,,,,,,,,,,
5f9fdfd04296cb0102563f84,TCN,2024-06-26_10h38.02.454,LearnStrategy,2023.2.3,Win32,37.79289494,1,1,6,0.00390625,-0.010742188,1,0,0,1.061,rock_grid_rect_2,2,01,-1,-1,1.061,-0.166992188,-0.255859375,1,0,0,7.183,Basalt_rect,2,7.183,1,5,0,5,0,1,,,,,,,,,,,,,
5f9fdfd04296cb0102563f84,TCN,2024-06-26_10h38.02.454,LearnStrategy,2023.2.3,Win32,37.79289494,1,1,7,0.01953125,-0.013671875,1,0,0,1.063,rock_grid_rect_2,8,09,-1,-1,1.063,-0.383789063,-0.262695313,1,0,0,8.291,Andesite_rect,1,8.291,0,6,0,6,0,1,,,,,,,,,,,,,
5f9fdfd04296cb0102563f84,TCN,2024-06-26_10h38.02.454,LearnStrategy,2023.2.3,Win32,37.79289494,1,1,8,0.029296875,-0.01171875,1,0,0,1.072,rock_grid_rect_2,1,05,-1,-1,1.072,0.407226563,-0.260742188,1,0,0,3.857,Gabbro_rect,4,3.857,0,7,0,7,0,1,,,,,,,,,,,,,
5f9fdfd04296cb0102563f84,TCN,2024-06-26_10h38.02.454,LearnStrategy,2023.2.3,Win32,37.79289494,1,1,9,0.018554688,-0.017578125,1,0,0,1.118,rock_grid_rect_2,7,06,-1,-1,1.118,-0.092773438,-0.39453125,1,0,0,1.553,Pegmatite_rect,6,1.553,0,8,0,8,0,1,,,,,,,,,,,,,
