participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.224999958,0.110185164,1,0,0,13.4991,Obsidian_11,5,11,4,3,13.499,-0.39907406,-0.400925954,1,0,0,6.5601,Obsidian_rect,5,6.56,1,0,0,0,0,1,,,,,,,
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.532407407,0.401851848,1,0,0,4.8965,Gabbro_16,4,16,6,1,4.897,-0.138888889,-0.239814829,1,0,0,4.7735,Basalt_rect,2,4.773,0,1,0,1,0,1,,,,,,,
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.386111118,0.411111108,1,0,0,17.4502,Pegmatite_06,6,06,6,2,17.45,-0.12037037,-0.249074088,1,0,0,2.3796,Basalt_rect,2,2.38,0,2,0,2,0,1,,,,,,,
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.08148151,0.105555534,1,0,0,3.2037,Obsidian_07,5,07,4,5,3.204,0.118518547,-0.237963005,1,0,0,3.4738,Diorite_rect,3,3.474,0,3,0,3,0,1,,,,,,,
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.541666667,0.086111104,1,0,0,1.74,Obsidian_06,5,06,4,8,1.74,-0.094444416,-0.387962977,1,0,0,1.8717,Pegmatite_rect,6,1.872,0,4,0,4,0,1,,,,,,,
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.213888875,0.393518519,1,0,0,5.4017,Andesite_05,1,05,6,3,5.402,-0.393518519,-0.259259259,1,0,0,1.58,Andesite_rect,1,1.58,1,5,0,5,0,1,,,,,,,
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,-0.077777792,0.386111109,1,0,0,1.3612,Andesite_10,1,10,6,4,1.361,0.425925926,-0.263888889,1,0,0,1.1386,Gabbro_rect,4,1.139,0,6,0,6,0,1,,,,,,,
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.082407422,0.394444439,1,0,0,4.6702,Obsidian_08,5,08,6,5,4.67,-0.427777785,-0.39907406,1,0,0,3.1757,Obsidian_rect,5,3.176,1,7,0,7,0,1,,,,,,,
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.232407393,0.388888889,1,0,0,1.9983,Gabbro_10,4,10,6,6,1.998,0.361111111,-0.231481481,1,0,0,1.2997,Gabbro_rect,4,1.3,1,8,0,8,0,1,,,,,,,
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,0.398148148,0.387962959,1,0,0,2.6219,Basalt_06,2,06,6,7,2.622,-0.077777792,-0.262037065,1,0,0,3.6247,Basalt_rect,2,3.625,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,4,12,1,1,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,1,04,1,2,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,2,14,1,3,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,3,12,1,4,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,8,06,1,5,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,1,09,1,6,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,7,02,1,7,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,1,06,1,8,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,2,09,2,1,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
5fa4c21a04bc5912180291bc,SCN,2024-06-25_14h37.35.696,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,2,04,2,2,,,,,,,,,,,,9,0,9,0,1,0,0,0,0,1,8,15
