participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
60370cc8e1feab5ce84685ef,SCR,2024-06-11_10h11.23.637,LearnStrategy,2023.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60370cc8e1feab5ce84685ef,SCR,2024-06-11_10h11.23.637,LearnStrategy,2023.2.3,MacIntel,60.0024001,1,1,1,0.202229818,0.074915568,1,0,0,2.9768,Obsidian_05,5,05,4,6,2.977,5,05,0.058720907,-0.418039958,1,0,0,9.3734,Peridotite_rect,7,9.373,0,0,0,0,0,1,,,,,,,,,,,,,
60370cc8e1feab5ce84685ef,SCR,2024-06-11_10h11.23.637,LearnStrategy,2023.2.3,MacIntel,60.0024001,1,1,2,0.404815674,0.110738118,1,0,0,1.26,Peridotite_06,7,06,4,7,1.26,7,06,0.178949992,-0.38961792,1,0,0,4.1348,Peridotite_rect,7,4.135,1,1,0,1,0,1,,,,,,,,,,,,,
60370cc8e1feab5ce84685ef,SCR,2024-06-11_10h11.23.637,LearnStrategy,2023.2.3,MacIntel,60.0024001,1,1,3,-0.255599976,-0.263092041,1,0,0,1.3456,Pegmatite_10,6,10,2,3,1.346,6,10,-0.374135335,-0.255101522,1,0,0,5.2899,Andesite_rect,1,5.29,0,2,0,2,0,1,,,,,,,,,,,,,
60370cc8e1feab5ce84685ef,SCR,2024-06-11_10h11.23.637,LearnStrategy,2023.2.3,MacIntel,60.0024001,1,1,4,-0.086380005,0.251515706,1,0,0,2.9101,Andesite_16,1,16,5,4,2.91,1,16,0.335713704,-0.406845093,1,0,0,4.1247,Pumice_rect,8,4.125,0,3,0,3,0,1,,,,,,,,,,,,,
60370cc8e1feab5ce84685ef,SCR,2024-06-11_10h11.23.637,LearnStrategy,2023.2.3,MacIntel,60.0024001,1,1,5,0.269846598,0.392985026,1,0,0,1.73,Basalt_06,2,06,6,6,1.73,2,06,0.319285075,-0.398422241,1,0,0,2.4162,Pumice_rect,8,2.416,0,4,0,4,0,1,,,,,,,,,,,,,
60370cc8e1feab5ce84685ef,SCR,2024-06-11_10h11.23.637,LearnStrategy,2023.2.3,MacIntel,60.0024001,1,1,6,-0.101486206,-0.269144694,1,0,0,1.5781,Obsidian_14,5,14,2,4,1.578,5,14,-0.101486206,-0.269144694,1,0,0,0.9762,Basalt_rect,2,0.976,0,5,0,5,0,1,,,,,,,,,,,,,
60370cc8e1feab5ce84685ef,SCR,2024-06-11_10h11.23.637,LearnStrategy,2023.2.3,MacIntel,60.0024001,1,1,7,-0.25470988,-0.42825826,1,0,0,1.2301,Diorite_13,3,13,1,3,1.23,3,13,0.027216593,-0.402704875,1,0,0,5.928,Peridotite_rect,7,5.928,0,6,0,6,0,1,,,,,,,,,,,,,
60370cc8e1feab5ce84685ef,SCR,2024-06-11_10h11.23.637,LearnStrategy,2023.2.3,MacIntel,60.0024001,1,1,8,0.538152059,-0.452926636,1,0,0,1.2617,Peridotite_08,7,08,1,8,1.262,7,08,0.434875488,-0.406311035,1,0,0,2.2716,Pumice_rect,8,2.272,0,7,0,7,0,1,,,,,,,,,,,,,
60370cc8e1feab5ce84685ef,SCR,2024-06-11_10h11.23.637,LearnStrategy,2023.2.3,MacIntel,60.0024001,1,1,9,0.369939168,0.402791341,1,0,0,1.3624,Diorite_12,3,12,6,7,1.362,3,12,-0.410054525,-0.408030192,1,0,0,8.0239,Obsidian_rect,5,8.024,0,8,0,8,0,1,,,,,,,,,,,,,
