participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6090578fb2299eacaec32b7a,TCR,2024-06-20_13h27.38.006,LearnStrategy,2023.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6090578fb2299eacaec32b7a,TCR,2024-06-20_13h27.38.006,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,1,-0.022222222,-0.008333333,1,0,0,3.1749,rock_grid_rect_2,3,15,-1,-1,3.175,0.349074074,-0.250925926,1,0,0,5.3335,Gabbro_rect,4,5.334,0,0,0,0,0,1,,,,,,,,,,,,,
6090578fb2299eacaec32b7a,TCR,2024-06-20_13h27.38.006,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,2,0.05,-0.006481481,1,0,0,1.6858,rock_grid_rect_2,7,10,-1,-1,1.686,-0.192592593,-0.237962963,1,0,0,5.471,Basalt_rect,2,5.471,0,1,0,1,0,1,,,,,,,,,,,,,
6090578fb2299eacaec32b7a,TCR,2024-06-20_13h27.38.006,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,3,0.105555556,-0.006481481,1,0,0,0.794,rock_grid_rect_2,3,10,-1,-1,0.794,0.20462963,-0.262037037,1,0,0,1.9008,Diorite_rect,3,1.901,1,2,0,2,0,1,,,,,,,,,,,,,
6090578fb2299eacaec32b7a,TCR,2024-06-20_13h27.38.006,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,4,0.005555556,-0.015740741,1,0,0,0.9325,rock_grid_rect_2,8,09,-1,-1,0.933,0.337037037,-0.393518519,1,0,0,2.8344,Pumice_rect,8,2.834,1,3,0,3,0,1,,,,,,,,,,,,,
6090578fb2299eacaec32b7a,TCR,2024-06-20_13h27.38.006,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,5,0.02962963,-0.012962963,1,0,0,0.5884,rock_grid_rect_2,8,02,-1,-1,0.588,0.399074074,-0.386111111,1,0,0,1.0867,Pumice_rect,8,1.087,1,4,0,4,0,1,,,,,,,,,,,,,
6090578fb2299eacaec32b7a,TCR,2024-06-20_13h27.38.006,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,6,-0.015740741,-0.009259259,1,0,0,0.532,rock_grid_rect_2,5,14,-1,-1,0.532,-0.318518519,-0.417592593,1,0,0,1.2116,Obsidian_rect,5,1.212,1,5,0,5,0,1,,,,,,,,,,,,,
6090578fb2299eacaec32b7a,TCR,2024-06-20_13h27.38.006,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,7,-0.086111111,-0.012962963,1,0,0,0.7881,rock_grid_rect_2,1,03,-1,-1,0.788,-0.118518519,-0.421296296,1,0,0,3.6099,Pegmatite_rect,6,3.61,0,6,0,6,0,1,,,,,,,,,,,,,
6090578fb2299eacaec32b7a,TCR,2024-06-20_13h27.38.006,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,8,0.121296296,0.017592593,1,0,0,0.7342,rock_grid_rect_2,4,09,-1,-1,0.734,-0.326851852,-0.411111111,1,0,0,1.1306,Obsidian_rect,5,1.131,0,7,0,7,0,1,,,,,,,,,,,,,
6090578fb2299eacaec32b7a,TCR,2024-06-20_13h27.38.006,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,9,-0.024074074,-0.021296296,1,0,0,0.6308,rock_grid_rect_2,5,10,-1,-1,0.631,-0.312962963,-0.414814815,1,0,0,0.9912,Obsidian_rect,5,0.991,1,8,0,8,0,1,,,,,,,,,,,,,
