participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
60d13d406f3b34d6791c8831,SCN,2024-06-24_15h09.58.876,LearnStrategy,2023.2.3,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60d13d406f3b34d6791c8831,SCN,2024-06-24_15h09.58.876,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,1,-0.530804304,0.394211242,1,0,0,3.9848,Obsidian_09,5,09,6,1,3.985,-0.373189928,-0.405333801,1,0,0,3.35,Obsidian_rect,5,3.35,1,0,0,0,0,1,,,,,,,,,,,,,
60d13d406f3b34d6791c8831,SCN,2024-06-24_15h09.58.876,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,2,-0.071323792,0.417525535,1,0,0,4.8245,Diorite_07,3,07,6,4,4.825,0.129905139,-0.260829838,1,0,0,7.919,Diorite_rect,3,7.919,1,1,0,1,0,1,,,,,,,,,,,,,
60d13d406f3b34d6791c8831,SCN,2024-06-24_15h09.58.876,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,3,0.384051188,0.387513396,1,0,0,2.3745,Gabbro_05,4,05,6,7,2.374,-0.368985169,-0.251783612,1,0,0,7.8114,Andesite_rect,1,7.811,0,2,0,2,0,1,,,,,,,,,,,,,
60d13d406f3b34d6791c8831,SCN,2024-06-24_15h09.58.876,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,4,-0.404264626,0.235497096,1,0,0,3.5235,Pegmatite_10,6,10,5,2,3.524,-0.373189928,-0.240393139,1,0,0,1.4462,Andesite_rect,1,1.446,0,3,0,3,0,1,,,,,,,,,,,,,
60d13d406f3b34d6791c8831,SCN,2024-06-24_15h09.58.876,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,5,-0.090272081,0.232706327,1,0,0,2.1902,Diorite_11,3,11,5,4,2.19,0.088825016,-0.244879042,1,0,0,3.7126,Diorite_rect,3,3.713,1,4,0,4,0,1,,,,,,,,,,,,,
60d13d406f3b34d6791c8831,SCN,2024-06-24_15h09.58.876,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,6,-0.555251442,-0.074745482,1,0,0,6.1367,Peridotite_12,7,12,3,1,6.137,0.095584879,-0.243411304,1,0,0,2.0756,Diorite_rect,3,2.076,0,5,0,5,0,1,,,,,,,,,,,,,
60d13d406f3b34d6791c8831,SCN,2024-06-24_15h09.58.876,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,7,-0.052499537,0.08564726,1,0,0,1.5166,Pegmatite_08,6,08,4,4,1.517,-0.110473116,-0.381837591,1,0,0,4.4792,Pegmatite_rect,6,4.479,1,6,0,6,0,1,,,,,,,,,,,,,
60d13d406f3b34d6791c8831,SCN,2024-06-24_15h09.58.876,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,8,0.538787971,-0.089571702,1,0,0,2.5571,Obsidian_07,5,07,3,8,2.557,-0.447155648,-0.390892087,1,0,0,2.8543,Obsidian_rect,5,2.854,1,7,0,7,0,1,,,,,,,,,,,,,
60d13d406f3b34d6791c8831,SCN,2024-06-24_15h09.58.876,LearnStrategy,2023.2.3,MacIntel,120.4819277,1,1,9,-0.411909267,-0.084585527,1,0,0,1.7323,Andesite_03,1,03,3,2,1.732,0.145645077,-0.411762906,1,0,0,12.4042,Peridotite_rect,7,12.404,0,8,0,8,0,1,,,,,,,,,,,,,
