participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,1,0.367743056,0.224305556,1,0,0,3.2362,Pegmatite_10,6,10,5,7,3.236,0.12968316,-0.253368056,1,0,0,2.0688,Diorite_rect,3,2.069,0,0,0,0,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,2,-0.54891059,0.429110243,1,0,0,1.482,Gabbro_10,4,10,6,1,1.482,-0.348320313,-0.246501736,1,0,0,1.0763,Andesite_rect,1,1.076,0,1,0,1,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,3,-0.376006944,0.36030816,1,0,0,1.115,Pegmatite_13,6,13,6,2,1.115,-0.119053819,-0.255407986,1,0,0,2.077,Basalt_rect,2,2.077,0,2,0,2,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,4,0.056358507,0.062252604,1,0,0,0.6657,Gabbro_12,4,12,4,5,0.666,0.156744792,-0.265759549,1,0,0,0.775,Diorite_rect,3,0.775,0,3,0,3,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,5,0.41921875,0.373619792,1,0,0,1.6482,Pumice_04,8,04,6,7,1.648,0.384340278,-0.402543403,1,0,0,2.2103,Pumice_rect,8,2.21,1,4,0,4,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,6,-0.237443576,-0.285811632,1,0,0,1.3493,Diorite_08,3,08,2,3,1.349,-0.347269965,-0.406927083,1,0,0,2.3421,Obsidian_rect,5,2.342,0,5,0,5,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,7,0.545594618,-0.402855903,1,0,0,1.6162,Pumice_13,8,13,1,8,1.616,0.468168403,-0.396536458,1,0,0,1.5429,Pumice_rect,8,1.543,1,6,0,6,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,8,-0.370551215,-0.077131076,1,0,0,1.3656,Andesite_05,1,05,3,2,1.366,0.397690972,-0.255295139,1,0,0,1.9429,Gabbro_rect,4,1.943,0,7,0,7,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,9,0.577005208,-0.086059028,1,0,0,0.8821,Diorite_07,3,07,3,8,0.882,0.178298611,-0.228797743,1,0,0,1.4937,Diorite_rect,3,1.494,1,8,0,8,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,10,0.091371528,0.223467882,1,0,0,0.799,Andesite_01,1,01,5,5,0.799,0.123606771,-0.393342014,1,0,0,1.7437,Peridotite_rect,7,1.744,0,9,0,9,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,11,0.271840278,0.254618056,1,0,0,2.2655,Diorite_15,3,15,5,6,2.266,0.433927951,-0.406549479,1,0,0,1.9104,Pumice_rect,8,1.91,0,10,0,10,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,12,-0.538085938,-0.096766493,1,0,0,0.8825,Pumice_05,8,05,3,1,0.882,0.388949653,-0.380069444,1,0,0,0.776,Pumice_rect,8,0.776,1,11,0,11,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,13,-0.594735243,-0.423411458,1,0,0,0.7161,Pegmatite_15,6,15,1,1,0.716,0.168923611,-0.409205729,1,0,0,4.0599,Peridotite_rect,7,4.06,0,12,0,12,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,14,0.080711806,0.388854167,1,0,0,1.5985,Peridotite_13,7,13,6,5,1.599,0.134431424,-0.258090278,1,0,0,0.9103,Diorite_rect,3,0.91,0,13,0,13,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,15,0.575594618,0.393871528,1,0,0,1.4815,Obsidian_06,5,06,6,8,1.482,-0.088637153,-0.400381944,1,0,0,2.2279,Pegmatite_rect,6,2.228,0,14,0,14,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,1,16,-0.379448785,0.231970486,1,0,0,2.0824,Pumice_10,8,10,5,2,2.082,0.42921875,-0.41812934,1,0,0,2.2762,Pumice_rect,8,2.276,1,15,0,15,0,1,,,,,,,,,,,,,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,2,1,,,,,,,,8,08,,,,,,,,,,,8,1.257,1,,,,,,0.448923611,-0.393697917,1,0,0,1.2572,Pumice_rect,0,0,0,0,1,
60fd6618f9a377f54dcdf318,SCN,2024-06-25_14h22.11.437,LearnStrategy,2023.2.3,MacIntel,58.82352941,1,2,2,,,,,,,,8,09,,,,,,,,,,,8,0.974,1,,,,,,0.448923611,-0.3934375,1,0,0,0.9738,Pumice_rect,1,0,1,0,1,
