participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
61230b14a3bcb65c585dfdaa,SCN,2024-06-12_12h40.10.988,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61230b14a3bcb65c585dfdaa,SCN,2024-06-12_12h40.10.988,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.405208333,-0.12109375,1,0,0,16.6541,Obsidian_06,5,06,3,7,16.654,-0.38125,-0.399739583,1,0,0,128.4062,Obsidian_rect,5,128.406,1,0,0,0,0,1,,,,,,,,,,,,,
61230b14a3bcb65c585dfdaa,SCN,2024-06-12_12h40.10.988,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.393489583,0.412760417,1,0,0,2.4721,Diorite_14,3,14,6,7,2.472,0.4,-0.259114583,1,0,0,37.8702,Gabbro_rect,4,37.87,0,1,0,1,0,1,,,,,,,,,,,,,
61230b14a3bcb65c585dfdaa,SCN,2024-06-12_12h40.10.988,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.55703125,-0.1015625,1,0,0,6.5689,Obsidian_02,5,02,3,1,6.569,-0.395572917,-0.395833333,1,0,0,3.9741,Obsidian_rect,5,3.974,1,2,0,2,0,1,,,,,,,,,,,,,
61230b14a3bcb65c585dfdaa,SCN,2024-06-12_12h40.10.988,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.55703125,0.395833333,1,0,0,5.8615,Obsidian_14,5,14,6,1,5.861,-0.356510417,-0.393229167,1,0,0,2.0806,Obsidian_rect,5,2.081,1,3,0,3,0,1,,,,,,,,,,,,,
61230b14a3bcb65c585dfdaa,SCN,2024-06-12_12h40.10.988,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.391666667,0.4140625,1,0,0,1.4693,Pegmatite_11,6,11,6,2,1.469,-0.11953125,-0.260416667,1,0,0,3.5188,Basalt_rect,2,3.519,0,4,0,4,0,1,,,,,,,,,,,,,
61230b14a3bcb65c585dfdaa,SCN,2024-06-12_12h40.10.988,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.226302083,0.412760417,1,0,0,1.4602,Pegmatite_08,6,08,6,3,1.46,-0.16640625,-0.248697917,1,0,0,2.8883,Basalt_rect,2,2.888,0,5,0,5,0,1,,,,,,,,,,,,,
61230b14a3bcb65c585dfdaa,SCN,2024-06-12_12h40.10.988,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,-0.0765625,0.415364583,1,0,0,1.5637,Andesite_14,1,14,6,4,1.564,0.136979167,-0.2421875,1,0,0,2.9674,Diorite_rect,3,2.967,0,6,0,6,0,1,,,,,,,,,,,,,
61230b14a3bcb65c585dfdaa,SCN,2024-06-12_12h40.10.988,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.082291667,0.411458333,1,0,0,4.0154,Peridotite_16,7,16,6,5,4.015,0.159114583,-0.3984375,1,0,0,3.5987,Peridotite_rect,7,3.599,1,7,0,7,0,1,,,,,,,,,,,,,
61230b14a3bcb65c585dfdaa,SCN,2024-06-12_12h40.10.988,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.2359375,0.408854167,1,0,0,2.9973,Basalt_11,2,11,6,6,2.997,0.43125,-0.3984375,1,0,0,2.2459,Pumice_rect,8,2.246,0,8,0,8,0,1,,,,,,,,,,,,,
