participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
614de6895ac2892842f52ec7,TCR,2024-06-25_12h45.37.963,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614de6895ac2892842f52ec7,TCR,2024-06-25_12h45.37.963,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,1,0.099074116,-0.002777771,1,0,0,10.0545,rock_grid_rect_2,6,13,-1,-1,10.055,-0.312962956,-0.382407436,1,0,0,47.4466,Obsidian_rect,5,47.447,0,0,0,0,0,1,,,,,,,,,,,,,
614de6895ac2892842f52ec7,TCR,2024-06-25_12h45.37.963,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,2,0.049074102,-0.003703718,1,0,0,11.1765,rock_grid_rect_2,2,10,-1,-1,11.176,0.359259288,-0.237963005,1,0,0,36.3987,Gabbro_rect,4,36.399,0,1,0,1,0,1,,,,,,,,,,,,,
614de6895ac2892842f52ec7,TCR,2024-06-25_12h45.37.963,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,3,-0.108333305,0.005555541,1,0,0,8.1087,rock_grid_rect_2,8,09,-1,-1,8.109,0.321296268,-0.385185171,1,0,0,9.2284,Pumice_rect,8,9.228,1,2,0,2,0,1,,,,,,,,,,,,,
614de6895ac2892842f52ec7,TCR,2024-06-25_12h45.37.963,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,4,0.012962977,0.000925912,1,0,0,2.1087,rock_grid_rect_2,7,07,-1,-1,2.109,0.094444487,-0.382407436,1,0,0,11.0129,Peridotite_rect,7,11.013,1,3,0,3,0,1,,,,,,,,,,,,,
614de6895ac2892842f52ec7,TCR,2024-06-25_12h45.37.963,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,5,-0.010185171,0.014814801,1,0,0,1.8584,rock_grid_rect_2,5,08,-1,-1,1.858,-0.335185192,-0.408333319,1,0,0,3.7283,Obsidian_rect,5,3.728,1,4,0,4,0,1,,,,,,,,,,,,,
614de6895ac2892842f52ec7,TCR,2024-06-25_12h45.37.963,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,6,-0.046296296,0.013888889,1,0,0,1.8143,rock_grid_rect_2,5,04,-1,-1,1.814,-0.373148141,-0.385185171,1,0,0,5.161,Obsidian_rect,5,5.161,1,5,0,5,0,1,,,,,,,,,,,,,
614de6895ac2892842f52ec7,TCR,2024-06-25_12h45.37.963,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,7,-0.018518519,-0.000925947,1,0,0,1.3472,rock_grid_rect_2,4,15,-1,-1,1.347,0.075925968,-0.244444459,1,0,0,7.1128,Diorite_rect,3,7.113,0,6,0,6,0,1,,,,,,,,,,,,,
614de6895ac2892842f52ec7,TCR,2024-06-25_12h45.37.963,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,8,-0.007407365,0.010185171,1,0,0,1.3753,rock_grid_rect_2,2,08,-1,-1,1.375,-0.082407422,-0.236111111,1,0,0,7.6625,Basalt_rect,2,7.663,1,7,0,7,0,1,,,,,,,,,,,,,
614de6895ac2892842f52ec7,TCR,2024-06-25_12h45.37.963,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,9,-0.010185171,0.008333312,1,0,0,1.2638,rock_grid_rect_2,4,16,-1,-1,1.264,0.32685188,-0.246296282,1,0,0,9.5797,Gabbro_rect,4,9.58,1,8,0,8,0,1,,,,,,,,,,,,,
