participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,1,-0.540916522,0.408803457,1,0,0,3.4422,Basalt_14,2,14,6,1,3.442,-0.101614674,-0.255930176,1,0,0,1.4309,Basalt_rect,2,1.431,1,0,0,0,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,2,-0.233824192,0.258734221,1,0,0,2.979,Diorite_14,3,14,5,3,2.979,-0.104119059,-0.402568179,1,0,0,4.6232,Pegmatite_rect,6,4.623,0,1,0,1,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,3,-0.071555447,0.089011321,1,0,0,0.9938,Diorite_15,3,15,4,4,0.994,-0.379932545,-0.252905138,1,0,0,2.3346,Andesite_rect,1,2.335,0,2,0,2,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,4,0.371799407,0.087181939,1,0,0,1.5047,Peridotite_06,7,06,4,7,1.505,0.344041703,-0.24169949,1,0,0,1.7419,Gabbro_rect,4,1.742,0,3,0,3,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,5,-0.213459066,0.220582501,1,0,0,2.244,Diorite_14,3,14,5,3,2.244,0.091623626,-0.408120569,1,0,0,2.0177,Peridotite_rect,7,2.018,0,4,0,4,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,6,-0.2155896,0.241382424,1,0,0,0.8631,Diorite_14,3,14,5,3,0.863,0.156601924,-0.238218452,1,0,0,0.8984,Diorite_rect,3,0.898,1,5,0,5,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,7,-0.075058458,0.393515195,1,0,0,1.8466,Gabbro_15,4,15,6,4,1.847,-0.115890706,-0.238578423,1,0,0,1.1498,Basalt_rect,2,1.15,0,6,0,6,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,8,-0.071636963,0.392060796,1,0,0,1.1297,Gabbro_15,4,15,6,4,1.13,0.346975911,-0.2478479,1,0,0,1.8631,Gabbro_rect,4,1.863,1,7,0,7,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,9,-0.227024559,0.278736889,1,0,0,0.7654,Diorite_14,3,14,5,3,0.765,0.145358615,-0.2373919,1,0,0,0.8791,Diorite_rect,3,0.879,1,8,0,8,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,10,-0.239525734,0.0831571,1,0,0,1.6677,Pumice_16,8,16,4,3,1.668,-0.122362196,-0.25627672,1,0,0,1.1603,Basalt_rect,2,1.16,0,9,0,9,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,11,-0.22352634,0.086423611,1,0,0,0.7969,Pumice_16,8,16,4,3,0.797,0.41848235,-0.414416052,1,0,0,1.3046,Pumice_rect,8,1.305,1,10,0,10,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,12,0.537028266,-0.260313947,1,0,0,3.398,Obsidian_06,5,06,2,8,3.398,-0.386373065,-0.387949038,1,0,0,2.3629,Obsidian_rect,5,2.363,1,11,0,11,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,13,-0.076789415,-0.256681496,1,0,0,0.9778,Peridotite_14,7,14,2,4,0.978,-0.388715549,-0.249328478,1,0,0,7.2342,Andesite_rect,1,7.234,0,12,0,12,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,14,-0.214823134,0.275968922,1,0,0,1.5336,Diorite_14,3,14,5,3,1.534,0.13995298,-0.241315647,1,0,0,1.4111,Diorite_rect,3,1.411,1,13,0,13,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,15,-0.062996555,-0.088006727,1,0,0,0.7446,Obsidian_09,5,09,3,4,0.745,-0.348096607,-0.3988869,1,0,0,1.6513,Obsidian_rect,5,1.651,1,14,0,14,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,1,16,-0.407583189,-0.096818169,1,0,0,1.2297,Pumice_15,8,15,3,2,1.23,-0.349217303,-0.233329129,1,0,0,1.3975,Andesite_rect,1,1.398,0,15,0,15,0,1,,,,,,,,,,,,,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,2,1,,,,,,,,8,08,,,,,,,,,,,6,5.943,0,,,,,,-0.13711792,-0.391743164,1,0,0,5.9431,Pegmatite_rect,0,0,0,0,1,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,2,2,,,,,,,,1,06,,,,,,,,,,,3,2.485,0,,,,,,0.106038773,-0.2647989,1,0,0,2.4849,Diorite_rect,1,0,1,0,1,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,2,3,,,,,,,,7,05,,,,,,,,,,,1,5.904,0,,,,,,-0.344720233,-0.247998318,1,0,0,5.9039,Andesite_rect,2,0,2,0,1,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,2,4,,,,,,,,4,03,,,,,,,,,,,3,1.639,0,,,,,,0.095461335,-0.258050808,1,0,0,1.6388,Diorite_rect,3,0,3,0,1,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,2,5,,,,,,,,5,07,,,,,,,,,,,5,2.079,1,,,,,,-0.346709527,-0.386215007,1,0,0,2.0793,Obsidian_rect,4,0,4,0,1,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,2,6,,,,,,,,3,02,,,,,,,,,,,3,2.296,1,,,,,,0.123383247,-0.250816379,1,0,0,2.2964,Diorite_rect,5,0,5,0,1,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,2,7,,,,,,,,3,11,,,,,,,,,,,6,4.851,0,,,,,,-0.153050808,-0.386653375,1,0,0,4.8511,Pegmatite_rect,6,0,6,0,1,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,2,8,,,,,,,,5,08,,,,,,,,,,,5,1.37,1,,,,,,-0.353269586,-0.385403646,1,0,0,1.3703,Obsidian_rect,7,0,7,0,1,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,2,9,,,,,,,,1,03,,,,,,,,,,,7,6.58,0,,,,,,0.191089048,-0.382337782,1,0,0,6.5801,Peridotite_rect,8,0,8,0,1,
62c5fbbb796500bb5406d772,SCN,2024-06-20_16h27.23.036,LearnStrategy,2023.2.3,MacIntel,62.11180124,1,2,10,,,,,,,,7,02,,,,,,,,,,,1,2.887,0,,,,,,-0.353277814,-0.250717412,1,0,0,2.8873,Andesite_rect,9,0,9,0,1,
