participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
62c63362e7342ad8be294866,TCN,2024-06-11_12h27.39.919,LearnStrategy,2023.2.3,Win32,144.9275362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62c63362e7342ad8be294866,TCN,2024-06-11_12h27.39.919,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,1,-0.012037037,-0.012962963,1,0,0,1.9476,rock_grid_rect_2,2,02,-1,-1,1.948,0.368518519,-0.394444444,1,0,0,7.8468,Pumice_rect,8,7.847,0,0,0,0,0,1,,,,,,,,,,,,,
62c63362e7342ad8be294866,TCN,2024-06-11_12h27.39.919,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,2,-0.049074074,0.007407407,1,0,0,1.6885,rock_grid_rect_2,8,06,-1,-1,1.689,0.366666667,-0.4,1,0,0,4.579,Pumice_rect,8,4.579,1,1,0,1,0,1,,,,,,,,,,,,,
62c63362e7342ad8be294866,TCN,2024-06-11_12h27.39.919,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,3,0.00462963,-0.014814815,1,0,0,1.7611,rock_grid_rect_2,3,12,-1,-1,1.761,-0.113888889,-0.392592593,1,0,0,4.9976,Pegmatite_rect,6,4.998,0,2,0,2,0,1,,,,,,,,,,,,,
62c63362e7342ad8be294866,TCN,2024-06-11_12h27.39.919,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,4,-0.067592593,-0.007407407,1,0,0,1.7205,rock_grid_rect_2,7,07,-1,-1,1.721,0.374074074,-0.250925926,1,0,0,4.7673,Gabbro_rect,4,4.767,0,3,0,3,0,1,,,,,,,,,,,,,
62c63362e7342ad8be294866,TCN,2024-06-11_12h27.39.919,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,5,0.00462963,-0.011111111,1,0,0,1.551,rock_grid_rect_2,8,15,-1,-1,1.551,-0.373148148,-0.250925926,1,0,0,4.7443,Andesite_rect,1,4.744,0,4,0,4,0,1,,,,,,,,,,,,,
62c63362e7342ad8be294866,TCN,2024-06-11_12h27.39.919,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,6,-0.035185185,-0.005555556,1,0,0,1.9503,rock_grid_rect_2,1,02,-1,-1,1.95,-0.373148148,-0.259259259,1,0,0,2.4038,Andesite_rect,1,2.404,1,5,0,5,0,1,,,,,,,,,,,,,
62c63362e7342ad8be294866,TCN,2024-06-11_12h27.39.919,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,7,0.022222222,-0.00462963,1,0,0,2.2994,rock_grid_rect_2,3,08,-1,-1,2.299,0.17037037,-0.394444444,1,0,0,5.1043,Peridotite_rect,7,5.104,0,6,0,6,0,1,,,,,,,,,,,,,
62c63362e7342ad8be294866,TCN,2024-06-11_12h27.39.919,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,8,0.059259259,-0.017592593,1,0,0,1.6937,rock_grid_rect_2,6,03,-1,-1,1.694,0.385185185,-0.249074074,1,0,0,2.4255,Gabbro_rect,4,2.425,0,7,0,7,0,1,,,,,,,,,,,,,
62c63362e7342ad8be294866,TCN,2024-06-11_12h27.39.919,LearnStrategy,2023.2.3,Win32,144.9275362,1,1,9,-0.024074074,0.011111111,1,0,0,1.3348,rock_grid_rect_2,7,10,-1,-1,1.335,0.142592593,-0.266666667,1,0,0,1.818,Diorite_rect,3,1.818,0,8,0,8,0,1,,,,,,,,,,,,,
