participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6307f3c967020d1202332b77,SCN,2024-06-11_13h17.56.717,LearnStrategy,2023.2.3,Win32,2.857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6307f3c967020d1202332b77,SCN,2024-06-11_13h17.56.717,LearnStrategy,2023.2.3,Win32,2.857142857,1,1,1,-0.399739583,-0.110677083,1,0,0,24.5008,Pegmatite_16,6,16,3,2,24.501,-0.108072917,-0.24609375,1,0,0,14.0366,Basalt_rect,2,14.037,0,0,0,0,0,1,,,,,,,,,,,,,
6307f3c967020d1202332b77,SCN,2024-06-11_13h17.56.717,LearnStrategy,2023.2.3,Win32,2.857142857,1,1,2,0.23828125,0.41015625,1,0,0,47.5889,Diorite_02,3,02,6,6,47.589,-0.375,-0.259114583,1,0,0,12.8187,Andesite_rect,1,12.819,0,1,0,1,0,1,,,,,,,,,,,,,
6307f3c967020d1202332b77,SCN,2024-06-11_13h17.56.717,LearnStrategy,2023.2.3,Win32,2.857142857,1,1,3,-0.563802083,0.079427083,1,0,0,7.1046,Obsidian_10,5,10,4,1,7.105,0.412760417,-0.259114583,1,0,0,17.7122,Gabbro_rect,4,17.712,0,2,0,2,0,1,,,,,,,,,,,,,
6307f3c967020d1202332b77,SCN,2024-06-11_13h17.56.717,LearnStrategy,2023.2.3,Win32,2.857142857,1,1,4,-0.076822917,-0.272135417,1,0,0,15.0352,Pegmatite_10,6,10,2,4,15.035,-0.39453125,-0.256510417,1,0,0,36.2364,Andesite_rect,1,36.236,0,3,0,3,0,1,,,,,,,,,,,,,
6307f3c967020d1202332b77,SCN,2024-06-11_13h17.56.717,LearnStrategy,2023.2.3,Win32,2.857142857,1,1,5,0.572916667,0.407552083,1,0,0,12.3932,Diorite_16,3,16,6,8,12.393,-0.424479167,-0.393229167,1,0,0,27.4557,Obsidian_rect,5,27.456,0,4,0,4,0,1,,,,,,,,,,,,,
6307f3c967020d1202332b77,SCN,2024-06-11_13h17.56.717,LearnStrategy,2023.2.3,Win32,2.857142857,1,1,6,0.3984375,-0.407552083,1,0,0,5.9581,Pumice_09,8,09,1,7,5.958,0.38671875,-0.40625,1,0,0,14.1455,Pumice_rect,8,14.145,1,5,0,5,0,1,,,,,,,,,,,,,
6307f3c967020d1202332b77,SCN,2024-06-11_13h17.56.717,LearnStrategy,2023.2.3,Win32,2.857142857,1,1,7,-0.561197917,0.40625,1,0,0,14.9004,Andesite_06,1,06,6,1,14.9,-0.130208333,-0.255208333,1,0,0,6.0352,Basalt_rect,2,6.035,0,6,0,6,0,1,,,,,,,,,,,,,
6307f3c967020d1202332b77,SCN,2024-06-11_13h17.56.717,LearnStrategy,2023.2.3,Win32,2.857142857,1,1,8,0.55078125,-0.084635417,1,0,0,8.7968,Gabbro_16,4,16,3,8,8.797,0.411458333,-0.240885417,1,0,0,20.7957,Gabbro_rect,4,20.796,1,7,0,7,0,1,,,,,,,,,,,,,
6307f3c967020d1202332b77,SCN,2024-06-11_13h17.56.717,LearnStrategy,2023.2.3,Win32,2.857142857,1,1,9,0.555989583,0.079427083,1,0,0,8.2826,Obsidian_08,5,08,4,8,8.283,-0.072916667,-0.256510417,1,0,0,23.766,Basalt_rect,2,23.766,0,8,0,8,0,1,,,,,,,,,,,,,
