participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,1,-0.080555556,0.095833333,1,0,0,5.4212,Gabbro_15,4,15,4,4,5.421,4,15,-0.129166667,-0.254166667,1,0,0,10.6954,Basalt_rect,2,10.695,0,0,0,0,0,1,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,2,-0.545138889,0.258333333,1,0,0,2.1303,Peridotite_06,7,06,5,1,2.13,7,06,-0.11875,-0.247222222,1,0,0,7.4207,Basalt_rect,2,7.421,0,1,0,1,0,1,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,3,-0.223611111,-0.255555556,1,0,0,1.3605,Basalt_11,2,11,2,3,1.361,2,11,0.413888889,-0.395833333,1,0,0,2.8893,Pumice_rect,8,2.889,0,2,0,2,0,1,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,4,-0.533333333,0.091666667,1,0,0,1.696,Diorite_13,3,13,4,1,1.696,3,13,0.421527778,-0.240277778,1,0,0,7.1774,Gabbro_rect,4,7.177,0,3,0,3,0,1,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,5,0.4125,0.410416667,1,0,0,1.8596,Pumice_13,8,13,6,7,1.86,8,13,0.402777778,-0.390277778,1,0,0,3.0236,Pumice_rect,8,3.024,1,4,0,4,0,1,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,6,-0.554861111,-0.106944444,1,0,0,1.9955,Peridotite_05,7,05,3,1,1.996,7,05,0.141666667,-0.405555556,1,0,0,5.5154,Peridotite_rect,7,5.515,1,5,0,5,0,1,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,7,0.413888889,-0.244444444,1,0,0,1.858,Basalt_06,2,06,2,7,1.858,2,06,-0.410416667,-0.39375,1,0,0,17.3537,Obsidian_rect,5,17.354,0,6,0,6,0,1,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,8,-0.076388889,-0.375,1,0,0,1.8086,Obsidian_05,5,05,1,4,1.809,5,05,-0.411111111,-0.394444444,1,0,0,2.1354,Obsidian_rect,5,2.135,1,7,0,7,0,1,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,9,-0.234027778,0.435416667,1,0,0,1.4799,Andesite_06,1,06,6,3,1.48,1,06,0.170833333,-0.245833333,1,0,0,8.2347,Diorite_rect,3,8.235,0,8,0,8,0,1,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,10,0.393055556,0.088194444,1,0,0,1.5834,Andesite_07,1,07,4,7,1.583,1,07,-0.122222222,-0.409722222,1,0,0,8.1954,Pegmatite_rect,6,8.195,0,9,0,9,0,1,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,11,0.234722222,0.101388889,1,0,0,1.5775,Pumice_03,8,03,4,6,1.578,8,03,0.409722222,-0.404166667,1,0,0,5.7323,Pumice_rect,8,5.732,1,10,0,10,0,1,,,,,,,,,,,,,
630cc9747cb664e8a03c29f0,SCR,2024-06-20_16h28.04.037,LearnStrategy,2023.2.3,Win32,30.12048193,1,1,12,0.239583333,-0.242361111,1,0,0,1.8391,Diorite_09,3,09,2,6,1.839,3,09,0.395138889,-0.247222222,1,0,0,4.6441,Gabbro_rect,4,4.644,0,11,0,11,0,1,,,,,,,,,,,,,
