participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,1,0.240437158,-0.065964106,1,0,0,6.8975,Obsidian_06,5,06,3,6,6.898,0.081707063,-0.245511359,1,0,0,6.4933,Diorite_rect,3,6.493,0,0,0,0,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,2,0.066094181,-0.402940427,1,0,0,7.636,Gabbro_03,4,03,1,5,7.636,-0.083528501,-0.255919854,1,0,0,4.7414,Basalt_rect,2,4.741,0,1,0,1,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,3,0.053083576,0.071948998,1,0,0,3.5948,Pumice_13,8,13,4,5,3.595,0.349726776,-0.389929766,1,0,0,3.4228,Pumice_rect,8,3.423,1,2,0,2,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,4,-0.39968772,-0.452381016,1,0,0,7.1094,Pegmatite_10,6,10,1,2,7.109,-0.181108485,-0.402940427,1,0,0,2.396,Pegmatite_rect,6,2.396,1,3,0,3,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,5,0.240437158,-0.388628683,1,0,0,4.3166,Pumice_03,8,03,1,6,4.317,-0.086130611,-0.270231598,1,0,0,3.2986,Basalt_rect,2,3.299,0,4,0,4,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,6,0.399167365,-0.410746812,1,0,0,13.8261,Obsidian_04,5,04,1,7,13.826,-0.371064233,-0.40424151,1,0,0,2.2583,Obsidian_rect,5,2.258,1,5,0,5,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,7,-0.531095494,-0.244210276,1,0,0,5.6188,Diorite_09,3,09,2,1,5.619,0.14545934,-0.237704918,1,0,0,2.0443,Diorite_rect,3,2.044,1,6,0,6,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,8,0.546187938,-0.413348978,1,0,0,10.8741,Basalt_16,2,16,1,8,10.874,0.162373194,-0.397736152,1,0,0,6.6613,Peridotite_rect,7,6.661,0,7,0,7,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,9,-0.361956765,-0.088082235,1,0,0,3.4464,Andesite_11,1,11,3,2,3.446,-0.350247187,-0.229898533,1,0,0,3.1483,Andesite_rect,1,3.148,1,8,0,8,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,10,-0.403590913,0.24368981,1,0,0,5.5803,Basalt_05,2,05,5,2,5.58,0.140255009,-0.405542593,1,0,0,3.5248,Peridotite_rect,7,3.525,0,9,0,9,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,11,-0.101743438,-0.40424151,1,0,0,4.0372,Diorite_14,3,14,1,4,4.037,0.167577413,-0.237704918,1,0,0,1.9871,Diorite_rect,3,1.987,1,10,0,10,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,12,-0.505074145,-0.250715579,1,0,0,3.4452,Diorite_09,3,09,2,1,3.445,0.086911283,-0.245511359,1,0,0,1.4164,Diorite_rect,3,1.416,1,11,0,11,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,13,-0.553213623,0.087561797,1,0,0,1.6859,Basalt_01,2,01,4,1,1.686,-0.165495714,-0.245511359,1,0,0,3.7822,Basalt_rect,2,3.782,1,12,0,12,0,1,,,,,,,,,,,,,
632100c39d4c93aa71d32feb,SCN,2024-06-24_16h32.43.054,LearnStrategy,2023.2.3,Win32,40,1,1,14,0.369242795,0.382903983,1,0,0,2.5804,Diorite_13,3,13,6,7,2.58,0.14545934,-0.395134042,1,0,0,3.2432,Peridotite_rect,7,3.243,0,13,0,13,0,1,,,,,,,,,,,,,
