participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
63c0b8e25159ad47312132ac,SCN,2024-06-25_11h48.40.629,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63c0b8e25159ad47312132ac,SCN,2024-06-25_11h48.40.629,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.37962963,0.247222212,1,0,0,4.7404,Peridotite_13,7,13,5,2,4.74,-0.06759255,-0.246296282,1,0,0,2.5138,Basalt_rect,2,2.514,0,0,0,0,0,1,,,,,,,,,,,,,
63c0b8e25159ad47312132ac,SCN,2024-06-25_11h48.40.629,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.406481566,0.38148148,1,0,0,3.2186,Obsidian_10,5,10,6,7,3.219,0.404629601,-0.247222265,1,0,0,2.5821,Gabbro_rect,4,2.582,0,1,0,1,0,1,,,,,,,,,,,,,
63c0b8e25159ad47312132ac,SCN,2024-06-25_11h48.40.629,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.256481453,0.410185187,1,0,0,4.9033,Gabbro_14,4,14,6,3,4.903,-0.157407407,-0.251851894,1,0,0,5.1068,Basalt_rect,2,5.107,0,2,0,2,0,1,,,,,,,,,,,,,
63c0b8e25159ad47312132ac,SCN,2024-06-25_11h48.40.629,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.255555541,-0.246296282,1,0,0,3.3484,Pegmatite_06,6,06,2,6,3.348,0.165740755,-0.237037023,1,0,0,1.853,Diorite_rect,3,1.853,0,3,0,3,0,1,,,,,,,,,,,,,
63c0b8e25159ad47312132ac,SCN,2024-06-25_11h48.40.629,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.537962949,0.26203703,1,0,0,4.8434,Pegmatite_09,6,09,5,1,4.843,-0.125925912,-0.412962949,1,0,0,2.516,Pegmatite_rect,6,2.516,1,4,0,4,0,1,,,,,,,,,,,,,
63c0b8e25159ad47312132ac,SCN,2024-06-25_11h48.40.629,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.377777771,-0.402777778,1,0,0,3.3381,Obsidian_16,5,16,1,2,3.338,-0.378703683,-0.243518547,1,0,0,1.8018,Andesite_rect,1,1.802,0,5,0,5,0,1,,,,,,,,,,,,,
63c0b8e25159ad47312132ac,SCN,2024-06-25_11h48.40.629,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.557407379,0.113888882,1,0,0,2.282,Pegmatite_13,6,13,4,8,2.282,-0.169444402,-0.248148176,1,0,0,2.8632,Basalt_rect,2,2.863,0,6,0,6,0,1,,,,,,,,,,,,,
63c0b8e25159ad47312132ac,SCN,2024-06-25_11h48.40.629,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.066666638,0.086111104,1,0,0,2.4258,Pumice_04,8,04,4,4,2.426,-0.128703718,-0.246296282,1,0,0,2.2104,Basalt_rect,2,2.21,0,7,0,7,0,1,,,,,,,,,,,,,
63c0b8e25159ad47312132ac,SCN,2024-06-25_11h48.40.629,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.251851824,0.133333312,1,0,0,2.1226,Diorite_07,3,07,4,3,2.123,-0.118518476,-0.242592635,1,0,0,2.1472,Basalt_rect,2,2.147,0,8,0,8,0,1,,,,,,,,,,,,,
63c0b8e25159ad47312132ac,SCN,2024-06-25_11h48.40.629,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,0.397222307,0.218518522,1,0,0,1.9642,Obsidian_07,5,07,5,7,1.964,-0.423148155,-0.388888889,1,0,0,2.1292,Obsidian_rect,5,2.129,1,9,0,9,0,1,,,,,,,,,,,,,
