participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
63d176dbaef5e7827cd86954,SCR,2024-06-20_15h36.15.634,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d176dbaef5e7827cd86954,SCR,2024-06-20_15h36.15.634,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,1,0.243518547,0.103703711,1,0,0,6.5899,Gabbro_08,4,08,4,6,6.59,4,08,0.397222307,-0.401851866,1,0,0,9.6865,Pumice_rect,8,9.686,0,0,0,0,0,1,,,,,,,,,,,,,
63d176dbaef5e7827cd86954,SCR,2024-06-20_15h36.15.634,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,2,0.412963019,0.269444448,1,0,0,2.9664,Basalt_02,2,02,5,7,2.966,2,02,-0.117592564,-0.241666653,1,0,0,5.3004,Basalt_rect,2,5.3,1,1,0,1,0,1,,,,,,,,,,,,,
63d176dbaef5e7827cd86954,SCR,2024-06-20_15h36.15.634,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,3,-0.555555556,0.26203703,1,0,0,2.7521,Obsidian_14,5,14,5,1,2.752,5,14,-0.39444443,-0.390740783,1,0,0,11.6013,Obsidian_rect,5,11.601,1,2,0,2,0,1,,,,,,,,,,,,,
63d176dbaef5e7827cd86954,SCR,2024-06-20_15h36.15.634,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,4,0.387963048,0.422222217,1,0,0,2.4745,Pegmatite_03,6,03,6,7,2.474,6,03,0.137962977,-0.407407407,1,0,0,2.7751,Peridotite_rect,7,2.775,0,3,0,3,0,1,,,,,,,,,,,,,
63d176dbaef5e7827cd86954,SCR,2024-06-20_15h36.15.634,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,5,0.069444444,-0.391666695,1,0,0,3.0668,Diorite_14,3,14,1,5,3.067,3,14,-0.342592593,-0.261111153,1,0,0,7.719,Andesite_rect,1,7.719,0,4,0,4,0,1,,,,,,,,,,,,,
63d176dbaef5e7827cd86954,SCR,2024-06-20_15h36.15.634,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,6,0.562037009,-0.425000014,1,0,0,1.5672,Pegmatite_05,6,05,1,8,1.567,6,05,0.413888861,-0.404629672,1,0,0,7.9041,Pumice_rect,8,7.904,0,5,0,5,0,1,,,,,,,,,,,,,
63d176dbaef5e7827cd86954,SCR,2024-06-20_15h36.15.634,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,7,-0.206481439,-0.426851838,1,0,0,4.5357,Peridotite_07,7,07,1,3,4.536,7,07,0.089814857,-0.408333319,1,0,0,5.9156,Peridotite_rect,7,5.916,1,6,0,6,0,1,,,,,,,,,,,,,
63d176dbaef5e7827cd86954,SCR,2024-06-20_15h36.15.634,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,8,0.557407379,-0.214814857,1,0,0,1.5068,Diorite_02,3,02,2,8,1.507,3,02,0.098148134,-0.256481524,1,0,0,13.0832,Diorite_rect,3,13.083,1,7,0,7,0,1,,,,,,,,,,,,,
63d176dbaef5e7827cd86954,SCR,2024-06-20_15h36.15.634,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,9,-0.39907406,-0.103703746,1,0,0,1.7682,Gabbro_09,4,09,3,2,1.768,4,09,0.419444473,-0.23055557,1,0,0,7.6102,Gabbro_rect,4,7.61,1,8,0,8,0,1,,,,,,,,,,,,,
