participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
63e461c4bdc3693c05d515a1,SCN,2024-06-24_13h46.29.014,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63e461c4bdc3693c05d515a1,SCN,2024-06-24_13h46.29.014,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.066666667,0.094444444,1,0,0,4.5729,Obsidian_12,5,12,4,5,4.573,-0.334259259,-0.400925926,1,0,0,6.7355,Obsidian_rect,5,6.736,1,0,0,0,0,1,,,,,,,,,,,,,
63e461c4bdc3693c05d515a1,SCN,2024-06-24_13h46.29.014,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.098148148,-0.103703704,1,0,0,4.6322,Peridotite_13,7,13,3,5,4.632,0.161111111,-0.400925926,1,0,0,2.3745,Peridotite_rect,7,2.374,1,1,0,1,0,1,,,,,,,,,,,,,
63e461c4bdc3693c05d515a1,SCN,2024-06-24_13h46.29.014,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.563888889,-0.086111111,1,0,0,7.0505,Diorite_08,3,08,3,8,7.05,-0.091666667,-0.263888889,1,0,0,5.9606,Basalt_rect,2,5.961,0,2,0,2,0,1,,,,,,,,,,,,,
63e461c4bdc3693c05d515a1,SCN,2024-06-24_13h46.29.014,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.242592593,-0.092592593,1,0,0,3.1463,Diorite_02,3,02,3,6,3.146,0.158333333,-0.249074074,1,0,0,2.1084,Diorite_rect,3,2.108,1,3,0,3,0,1,,,,,,,,,,,,,
63e461c4bdc3693c05d515a1,SCN,2024-06-24_13h46.29.014,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.389814815,-0.10462963,1,0,0,4.0364,Obsidian_04,5,04,3,7,4.036,-0.360185185,-0.412962963,1,0,0,2.0831,Obsidian_rect,5,2.083,1,4,0,4,0,1,,,,,,,,,,,,,
63e461c4bdc3693c05d515a1,SCN,2024-06-24_13h46.29.014,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.532407407,0.237962963,1,0,0,2.1619,Obsidian_02,5,02,5,1,2.162,-0.364814815,-0.407407407,1,0,0,2.0001,Obsidian_rect,5,2,1,5,0,5,0,1,,,,,,,,,,,,,
63e461c4bdc3693c05d515a1,SCN,2024-06-24_13h46.29.014,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,-0.576851852,0.383333333,1,0,0,2.4181,Diorite_10,3,10,6,1,2.418,-0.1,-0.247222222,1,0,0,5.6875,Basalt_rect,2,5.688,0,6,0,6,0,1,,,,,,,,,,,,,
63e461c4bdc3693c05d515a1,SCN,2024-06-24_13h46.29.014,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.250925926,-0.085185185,1,0,0,14.0426,Diorite_02,3,02,3,6,14.043,0.140740741,-0.244444444,1,0,0,2.0909,Diorite_rect,3,2.091,1,7,0,7,0,1,,,,,,,,,,,,,
63e461c4bdc3693c05d515a1,SCN,2024-06-24_13h46.29.014,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.542592593,0.230555556,1,0,0,4.8179,Pumice_04,8,04,5,8,4.818,0.409259259,-0.391666667,1,0,0,1.7313,Pumice_rect,8,1.731,1,8,0,8,0,1,,,,,,,,,,,,,
