participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
63ffcb367b500c516d0648a2,SCN,2024-06-26_10h37.24.042,LearnStrategy,2023.2.3,Win32,14.99250375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63ffcb367b500c516d0648a2,SCN,2024-06-26_10h37.24.042,LearnStrategy,2023.2.3,Win32,14.99250375,1,1,1,0.060833333,-0.065,1,0,0,1.9742,Gabbro_12,4,12,3,5,1.974,0.468333333,-0.42,1,0,0,14.3598,Pumice_rect,8,14.36,0,0,0,0,0,1,,,,,,,,,,,,,
63ffcb367b500c516d0648a2,SCN,2024-06-26_10h37.24.042,LearnStrategy,2023.2.3,Win32,14.99250375,1,1,2,-0.073333333,-0.128333333,1,0,0,2.1526,Pegmatite_05,6,05,3,4,2.153,0.431666667,-0.404166667,1,0,0,4.8742,Pumice_rect,8,4.874,0,1,0,1,0,1,,,,,,,,,,,,,
63ffcb367b500c516d0648a2,SCN,2024-06-26_10h37.24.042,LearnStrategy,2023.2.3,Win32,14.99250375,1,1,3,-0.243333333,-0.11,1,0,0,2.4041,Pumice_09,8,09,3,3,2.404,0.381666667,-0.405,1,0,0,1.1653,Pumice_rect,8,1.165,1,2,0,2,0,1,,,,,,,,,,,,,
63ffcb367b500c516d0648a2,SCN,2024-06-26_10h37.24.042,LearnStrategy,2023.2.3,Win32,14.99250375,1,1,4,-0.368333333,-0.115833333,1,0,0,1.1972,Basalt_02,2,02,3,2,1.197,-0.316666667,-0.395833333,1,0,0,4.48,Obsidian_rect,5,4.48,0,3,0,3,0,1,,,,,,,,,,,,,
63ffcb367b500c516d0648a2,SCN,2024-06-26_10h37.24.042,LearnStrategy,2023.2.3,Win32,14.99250375,1,1,5,-0.5225,-0.090833333,1,0,0,1.5876,Andesite_02,1,02,3,1,1.588,0.114166667,-0.401666667,1,0,0,4.3935,Peridotite_rect,7,4.393,0,4,0,4,0,1,,,,,,,,,,,,,
63ffcb367b500c516d0648a2,SCN,2024-06-26_10h37.24.042,LearnStrategy,2023.2.3,Win32,14.99250375,1,1,6,0.09,0.106666667,1,0,0,6.2101,Obsidian_11,5,11,4,5,6.21,-0.335833333,-0.396666667,1,0,0,3.9577,Obsidian_rect,5,3.958,1,5,0,5,0,1,,,,,,,,,,,,,
63ffcb367b500c516d0648a2,SCN,2024-06-26_10h37.24.042,LearnStrategy,2023.2.3,Win32,14.99250375,1,1,7,-0.084166667,0.39,1,0,0,5.0826,Diorite_09,3,09,6,4,5.083,-0.455,-0.253333333,1,0,0,3.2407,Andesite_rect,1,3.241,0,6,0,6,0,1,,,,,,,,,,,,,
63ffcb367b500c516d0648a2,SCN,2024-06-26_10h37.24.042,LearnStrategy,2023.2.3,Win32,14.99250375,1,1,8,-0.383333333,-0.249166667,1,0,0,5.5903,Diorite_16,3,16,2,2,5.59,0.134166667,-0.248333333,1,0,0,2.6147,Diorite_rect,3,2.615,1,7,0,7,0,1,,,,,,,,,,,,,
63ffcb367b500c516d0648a2,SCN,2024-06-26_10h37.24.042,LearnStrategy,2023.2.3,Win32,14.99250375,1,1,9,0.081666667,-0.265,1,0,0,3.581,Gabbro_11,4,11,2,5,3.581,0.366666667,-0.255833333,1,0,0,3.372,Gabbro_rect,4,3.372,1,8,0,8,0,1,,,,,,,,,,,,,
