participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order,SC_cond_filter.thisRepN,SC_cond_filter.thisTrialN,SC_cond_filter.thisN,SC_cond_filter.thisIndex,SC_cond_filter.ran,SC_cond_filter.order
641357b26802e397b5627d5e,SCN,2024-06-12_12h38.54.267,LearnStrategy,2023.2.3,Win32,10.01001001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641357b26802e397b5627d5e,SCN,2024-06-12_12h38.54.267,LearnStrategy,2023.2.3,Win32,10.01001001,1,1,1,-0.105555556,-0.102777778,1,0,0,2.0994,Gabbro_14,4,14,3,4,2.099,0.077777778,-0.244444444,1,0,0,5.1454,Diorite_rect,3,5.145,0,0,0,0,0,1,,,,,,,,,,,,,
641357b26802e397b5627d5e,SCN,2024-06-12_12h38.54.267,LearnStrategy,2023.2.3,Win32,10.01001001,1,1,2,0.530555556,-0.087037037,1,0,0,5.7977,Pegmatite_11,6,11,3,8,5.798,-0.424074074,-0.239814815,1,0,0,2.3223,Andesite_rect,1,2.322,0,1,0,1,0,1,,,,,,,,,,,,,
641357b26802e397b5627d5e,SCN,2024-06-12_12h38.54.267,LearnStrategy,2023.2.3,Win32,10.01001001,1,1,3,-0.082407407,-0.260185185,1,0,0,2.9215,Pegmatite_16,6,16,2,4,2.922,0.071296296,-0.246296296,1,0,0,1.4889,Diorite_rect,3,1.489,0,2,0,2,0,1,,,,,,,,,,,,,
641357b26802e397b5627d5e,SCN,2024-06-12_12h38.54.267,LearnStrategy,2023.2.3,Win32,10.01001001,1,1,4,-0.253703704,-0.42037037,1,0,0,4.024400001,Obsidian_08,5,08,1,3,4.024,-0.138888889,-0.256481481,1,0,0,1.4555,Basalt_rect,2,1.456,0,3,0,3,0,1,,,,,,,,,,,,,
641357b26802e397b5627d5e,SCN,2024-06-12_12h38.54.267,LearnStrategy,2023.2.3,Win32,10.01001001,1,1,5,0.540740741,-0.403703704,1,0,0,1.4942,Gabbro_09,4,09,1,8,1.494,0.388888889,-0.394444444,1,0,0,3.8071,Pumice_rect,8,3.807,0,4,0,4,0,1,,,,,,,,,,,,,
641357b26802e397b5627d5e,SCN,2024-06-12_12h38.54.267,LearnStrategy,2023.2.3,Win32,10.01001001,1,1,6,-0.224074074,-0.099074074,1,0,0,10.1031,Pumice_10,8,10,3,3,10.103,-0.166666667,-0.238888889,1,0,0,1.2589,Basalt_rect,2,1.259,0,5,0,5,0,1,,,,,,,,,,,,,
641357b26802e397b5627d5e,SCN,2024-06-12_12h38.54.267,LearnStrategy,2023.2.3,Win32,10.01001001,1,1,7,0.071296296,-0.096296296,1,0,0,1.1382,Diorite_16,3,16,3,5,1.138,0.128703704,-0.249074074,1,0,0,2.3854,Diorite_rect,3,2.385,1,6,0,6,0,1,,,,,,,,,,,,,
641357b26802e397b5627d5e,SCN,2024-06-12_12h38.54.267,LearnStrategy,2023.2.3,Win32,10.01001001,1,1,8,0.236111111,0.090740741,1,0,0,1.157900001,Basalt_09,2,09,4,6,1.158,0.124074074,-0.40462963,1,0,0,3.868299999,Peridotite_rect,7,3.868,0,7,0,7,0,1,,,,,,,,,,,,,
641357b26802e397b5627d5e,SCN,2024-06-12_12h38.54.267,LearnStrategy,2023.2.3,Win32,10.01001001,1,1,9,0.542592593,-0.416666667,1,0,0,2.121400001,Gabbro_09,4,09,1,8,2.121,0.122222222,-0.391666667,1,0,0,5.811,Peridotite_rect,7,5.811,0,8,0,8,0,1,,,,,,,,,,,,,
