participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6429ffe11a9806a9a95ad072,SCR,2024-06-11_12h27.39.516,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6429ffe11a9806a9a95ad072,SCR,2024-06-11_12h27.39.516,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.087037065,0.088888889,1,0,0,4.6834,Pegmatite_10,6,10,4,5,4.683,3,16,0.153703732,-0.398148176,1,0,0,10.146,Peridotite_rect,7,10.146,0,0,0,0,0,1,,,,,,,,,,,,,
6429ffe11a9806a9a95ad072,SCR,2024-06-11_12h27.39.516,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.064814758,-0.087962977,1,0,0,2.7308,Obsidian_06,5,06,3,4,2.731,5,02,-0.409259245,-0.230555556,1,0,0,5.827,Andesite_rect,1,5.827,0,1,0,1,0,1,,,,,,,,,,,,,
6429ffe11a9806a9a95ad072,SCR,2024-06-11_12h27.39.516,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.077777778,0.415740739,1,0,0,2.5799,Diorite_14,3,14,6,5,2.58,8,08,-0.112962935,-0.232407464,1,0,0,3.7778,Basalt_rect,2,3.778,0,2,0,2,0,1,,,,,,,,,,,,,
6429ffe11a9806a9a95ad072,SCR,2024-06-11_12h27.39.516,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.396296268,0.4037037,1,0,0,5.6471,Pegmatite_11,6,11,6,2,5.647,2,04,-0.354629601,-0.238888889,1,0,0,8.1211,Andesite_rect,1,8.121,0,3,0,3,0,1,,,,,,,,,,,,,
6429ffe11a9806a9a95ad072,SCR,2024-06-11_12h27.39.516,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.530555556,0.416666667,1,0,0,6.064,Pumice_16,8,16,6,1,6.064,7,02,0.419444444,-0.245370399,1,0,0,3.1712,Gabbro_rect,4,3.171,0,4,0,4,0,1,,,,,,,,,,,,,
6429ffe11a9806a9a95ad072,SCR,2024-06-11_12h27.39.516,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.087037065,-0.411111111,1,0,0,9.3483,Pegmatite_15,6,15,1,5,9.348,6,10,0.352777778,-0.245370399,1,0,0,4.4707,Gabbro_rect,4,4.471,0,5,0,5,0,1,,,,,,,,,,,,,
6429ffe11a9806a9a95ad072,SCR,2024-06-11_12h27.39.516,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,-0.233333333,0.099074046,1,0,0,2.4797,Diorite_10,3,10,4,3,2.48,3,10,-0.092592536,-0.246296353,1,0,0,2.0951,Basalt_rect,2,2.095,0,6,0,6,0,1,,,,,,,,,,,,,
6429ffe11a9806a9a95ad072,SCR,2024-06-11_12h27.39.516,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.05648151,0.242592578,1,0,0,3.5978,Pumice_08,8,08,5,5,3.598,5,11,0.43148151,-0.405555556,1,0,0,2.4723,Pumice_rect,8,2.472,1,7,0,7,0,1,,,,,,,,,,,,,
6429ffe11a9806a9a95ad072,SCR,2024-06-11_12h27.39.516,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,-0.537037023,-0.084259288,1,0,0,11.2146,Pumice_10,8,10,3,1,11.215,4,15,0.417592621,-0.399074131,1,0,0,3.4374,Pumice_rect,8,3.437,1,8,0,8,0,1,,,,,,,,,,,,,
