participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
643480e93c33701dfe923abd,SCN,2024-06-25_13h22.22.016,LearnStrategy,2023.2.3,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643480e93c33701dfe923abd,SCN,2024-06-25_13h22.22.016,LearnStrategy,2023.2.3,MacIntel,63.29113924,1,1,1,0.085618354,0.087012363,1,0,0,3.7951,Obsidian_04,5,04,4,5,3.795,-0.33840722,-0.396476373,1,0,0,3.5251,Obsidian_rect,5,3.525,1,0,0,0,0,1,,,,,,,,,,,,,
643480e93c33701dfe923abd,SCN,2024-06-25_13h22.22.016,LearnStrategy,2023.2.3,MacIntel,63.29113924,1,1,2,0.218865492,0.063304206,1,0,0,2.0679,Peridotite_15,7,15,4,6,2.068,0.365834283,-0.394366726,1,0,0,2.4904,Pumice_rect,8,2.49,0,1,0,1,0,1,,,,,,,,,,,,,
643480e93c33701dfe923abd,SCN,2024-06-25_13h22.22.016,LearnStrategy,2023.2.3,MacIntel,63.29113924,1,1,3,0.401417236,0.106211853,1,0,0,3.1445,Obsidian_06,5,06,4,7,3.144,0.406730143,-0.241064996,1,0,0,1.9581,Gabbro_rect,4,1.958,0,2,0,2,0,1,,,,,,,,,,,,,
643480e93c33701dfe923abd,SCN,2024-06-25_13h22.22.016,LearnStrategy,2023.2.3,MacIntel,63.29113924,1,1,4,0.559941542,0.080232476,1,0,0,2.8555,Pegmatite_15,6,15,4,8,2.855,-0.478793572,-0.248011068,1,0,0,2.2484,Andesite_rect,1,2.248,0,3,0,3,0,1,,,,,,,,,,,,,
643480e93c33701dfe923abd,SCN,2024-06-25_13h22.22.016,LearnStrategy,2023.2.3,MacIntel,63.29113924,1,1,5,-0.415173204,-0.106315104,1,0,0,2.9813,Basalt_02,2,02,3,2,2.981,-0.119144558,-0.242531331,1,0,0,1.6832,Basalt_rect,2,1.683,1,4,0,4,0,1,,,,,,,,,,,,,
643480e93c33701dfe923abd,SCN,2024-06-25_13h22.22.016,LearnStrategy,2023.2.3,MacIntel,63.29113924,1,1,6,-0.203728095,-0.093309123,1,0,0,1.1863,Pumice_08,8,08,3,3,1.186,-0.146556261,-0.254586792,1,0,0,1.0232,Basalt_rect,2,1.023,0,5,0,5,0,1,,,,,,,,,,,,,
643480e93c33701dfe923abd,SCN,2024-06-25_13h22.22.016,LearnStrategy,2023.2.3,MacIntel,63.29113924,1,1,7,-0.061539985,-0.103097195,1,0,0,1.4307,Basalt_01,2,01,3,4,1.431,-0.123195869,-0.245234918,1,0,0,1.6284,Basalt_rect,2,1.628,1,6,0,6,0,1,,,,,,,,,,,,,
643480e93c33701dfe923abd,SCN,2024-06-25_13h22.22.016,LearnStrategy,2023.2.3,MacIntel,63.29113924,1,1,8,0.08621304,-0.102685954,1,0,0,1.1214,Basalt_09,2,09,3,5,1.121,-0.089671021,-0.258870443,1,0,0,2.0157,Basalt_rect,2,2.016,1,7,0,7,0,1,,,,,,,,,,,,,
643480e93c33701dfe923abd,SCN,2024-06-25_13h22.22.016,LearnStrategy,2023.2.3,MacIntel,63.29113924,1,1,9,0.234734497,-0.104491713,1,0,0,1.1636,Peridotite_16,7,16,3,6,1.164,-0.090747681,-0.41645969,1,0,0,2.8482,Pegmatite_rect,6,2.848,0,8,0,8,0,1,,,,,,,,,,,,,
643480e93c33701dfe923abd,SCN,2024-06-25_13h22.22.016,LearnStrategy,2023.2.3,MacIntel,63.29113924,1,1,10,0.075597941,-0.29687439,1,0,0,1.486,Peridotite_13,7,13,2,5,1.486,0.129648234,-0.405976359,1,0,0,2.426,Peridotite_rect,7,2.426,1,9,0,9,0,1,,,,,,,,,,,,,
