participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,1,0.05379876,-0.012839423,1,0,0,5.1439,rock_grid_rect_2,5,02,-1,-1,5.144,-0.33224962,-0.406386854,1,0,0,7.4389,Obsidian_rect,5,7.439,1,0,0,0,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,2,0.088368666,-0.008079393,1,0,0,3.8306,rock_grid_rect_2,1,06,-1,-1,3.831,0.438424344,-0.395215115,1,0,0,6.917,Pumice_rect,8,6.917,0,1,0,1,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,3,0.155370822,-0.007455953,1,0,0,2.1484,rock_grid_rect_2,6,13,-1,-1,2.148,0.082919651,-0.249243571,1,0,0,55.2812,Diorite_rect,3,55.281,0,2,0,2,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,4,0.121270277,-0.018296644,1,0,0,3.9188,rock_grid_rect_2,8,08,-1,-1,3.919,-0.337304281,-0.245402561,1,0,0,8.3419,Andesite_rect,1,8.342,0,3,0,3,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,5,0.114946153,0.007627563,1,0,0,1.735,rock_grid_rect_2,2,14,-1,-1,1.735,-0.121346096,-0.237936198,1,0,0,3.5651,Basalt_rect,2,3.565,1,4,0,4,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,6,0.056111043,-0.000659044,1,0,0,3.9396,rock_grid_rect_2,7,13,-1,-1,3.94,0.143252835,-0.39902988,1,0,0,4.7105,Peridotite_rect,7,4.71,1,5,0,5,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,7,0.11290568,-0.00656528,1,0,0,1.7005,rock_grid_rect_2,3,12,-1,-1,1.701,0.097010769,-0.258332587,1,0,0,5.9216,Diorite_rect,3,5.922,1,6,0,6,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,8,0.097966987,-0.014239705,1,0,0,1.598,rock_grid_rect_2,7,08,-1,-1,1.598,0.427717285,-0.260447252,1,0,0,5.2302,Gabbro_rect,4,5.23,0,7,0,7,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,9,0.037884589,0.008430244,1,0,0,1.2957,rock_grid_rect_2,2,06,-1,-1,1.296,-0.217088691,-0.406893989,1,0,0,5.4804,Pegmatite_rect,6,5.48,0,8,0,8,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,10,0.154337836,-0.011068047,1,0,0,1.934,rock_grid_rect_2,8,15,-1,-1,1.934,0.196153158,-0.26185201,1,0,0,2.8065,Diorite_rect,3,2.806,0,9,0,9,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,11,0.103675198,0.005315348,1,0,0,1.5151,rock_grid_rect_2,4,09,-1,-1,1.515,-0.371878798,-0.405206706,1,0,0,10.2286,Obsidian_rect,5,10.229,0,10,0,10,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,12,0.135378757,-0.01094652,1,0,0,1.6337,rock_grid_rect_2,3,11,-1,-1,1.634,-0.411238166,-0.265143636,1,0,0,4.2903,Andesite_rect,1,4.29,0,11,0,11,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,13,0.051539307,-0.004831475,1,0,0,1.8159,rock_grid_rect_2,4,03,-1,-1,1.816,-0.170125529,-0.390875244,1,0,0,21.7663,Pegmatite_rect,6,21.766,0,12,0,12,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,14,0.03068217,0.008610874,1,0,0,2.5816,rock_grid_rect_2,1,03,-1,-1,2.582,0.176822306,-0.260388658,1,0,0,5.854,Diorite_rect,3,5.854,0,13,0,13,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,15,0.079523655,-0.004129605,1,0,0,1.582,rock_grid_rect_2,6,11,-1,-1,1.582,0.438431939,-0.401441718,1,0,0,5.2876,Pumice_rect,8,5.288,0,14,0,14,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,16,0.073681369,-0.017831862,1,0,0,1.6033,rock_grid_rect_2,5,12,-1,-1,1.603,-0.433706733,-0.419526571,1,0,0,1.4826,Obsidian_rect,5,1.483,1,15,0,15,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,1,,,,,,,,8,13,,,,,,,,,,,8,5.123,1,,,,,,0.475293783,-0.407944607,1,0,0,5.1234,Pumice_rect,0,0,0,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,2,,,,,,,,2,02,,,,,,,,,,,2,10.552,1,,,,,,-0.101810981,-0.271566908,1,0,0,10.552,Basalt_rect,1,0,1,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,3,,,,,,,,2,12,,,,,,,,,,,7,11.921,0,,,,,,0.063478665,-0.391759779,1,0,0,11.9212,Peridotite_rect,2,0,2,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,4,,,,,,,,7,02,,,,,,,,,,,2,10.476,0,,,,,,-0.127616848,-0.266490885,1,0,0,10.4764,Basalt_rect,3,0,3,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,5,,,,,,,,1,01,,,,,,,,,,,1,16.448,1,,,,,,-0.347662184,-0.254732123,1,0,0,16.4476,Andesite_rect,4,0,4,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,6,,,,,,,,5,14,,,,,,,,,,,5,2.782,1,,,,,,-0.441733873,-0.414563734,1,0,0,2.7815,Obsidian_rect,5,0,5,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,7,,,,,,,,7,04,,,,,,,,,,,6,8.527,0,,,,,,-0.086404555,-0.39760064,1,0,0,8.5267,Pegmatite_rect,6,0,6,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,8,,,,,,,,4,14,,,,,,,,,,,4,9.772,1,,,,,,0.405635444,-0.241160007,1,0,0,9.772,Gabbro_rect,7,0,7,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,9,,,,,,,,3,16,,,,,,,,,,,4,10.246,0,,,,,,0.455269233,-0.259502563,1,0,0,10.2463,Gabbro_rect,8,0,8,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,10,,,,,,,,6,03,,,,,,,,,,,6,12.799,1,,,,,,-0.123447198,-0.406950209,1,0,0,12.7992,Pegmatite_rect,9,0,9,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,11,,,,,,,,4,16,,,,,,,,,,,4,15.7,1,,,,,,0.424346653,-0.264616292,1,0,0,15.6999,Gabbro_rect,10,0,10,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,12,,,,,,,,8,09,,,,,,,,,,,8,2.8,1,,,,,,0.392893745,-0.396320597,1,0,0,2.8004,Pumice_rect,11,0,11,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,13,,,,,,,,6,09,,,,,,,,,,,6,9.524,1,,,,,,-0.143383586,-0.416182387,1,0,0,9.5239,Pegmatite_rect,12,0,12,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,14,,,,,,,,3,07,,,,,,,,,,,7,15.694,0,,,,,,0.110609673,-0.411750827,1,0,0,15.6936,Peridotite_rect,13,0,13,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,15,,,,,,,,5,16,,,,,,,,,,,5,1.238,1,,,,,,-0.369519992,-0.398529392,1,0,0,1.2382,Obsidian_rect,14,0,14,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,2,16,,,,,,,,1,04,,,,,,,,,,,7,14.202,0,,,,,,0.116847331,-0.384519925,1,0,0,14.2019,Peridotite_rect,15,0,15,0,1,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,2,1,1,-0.032392103,-0.005715976,1,0,0,2.7312,rock_grid_rect_2,2,09,-1,-1,2.731,-0.132269965,-0.269153985,1,0,0,5.0367,Basalt_rect,2,5.037,1,0,0,0,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,2,1,2,0.133277656,-0.016760763,1,0,0,3.4604,rock_grid_rect_2,4,10,-1,-1,3.46,0.380071615,-0.244858127,1,0,0,6.8974,Gabbro_rect,4,6.897,1,1,0,1,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,2,1,3,-0.00737637,-0.000823432,1,0,0,4.7827,rock_grid_rect_2,6,08,-1,-1,4.783,-0.072880113,-0.409279378,1,0,0,13.8663,Pegmatite_rect,6,13.866,1,2,0,2,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,2,1,4,0.092635362,-0.011876594,1,0,0,1.736,rock_grid_rect_2,1,02,-1,-1,1.736,0.444940186,-0.26362264,1,0,1,63.982,Gabbro_rect,4,63.982,0,3,0,3,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,2,1,5,0.130717638,-0.014600898,1,0,1,1.6804,rock_grid_rect_2,7,15,-1,-1,1.68,0.144939779,-0.411484511,1,0,1,8.7666,Peridotite_rect,7,8.767,1,4,0,4,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,2,1,6,0.180067817,-0.006356167,1,0,1,1.5612,rock_grid_rect_2,2,08,-1,-1,1.561,-0.159682142,-0.239744127,1,0,1,5.0697,Basalt_rect,2,5.07,1,5,0,5,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,2,1,7,0.140430637,-0.020499471,1,0,1,1.302,rock_grid_rect_2,4,15,-1,-1,1.302,0.098305664,-0.247555949,1,0,1,25.1141,Diorite_rect,3,25.114,0,6,0,6,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,2,1,8,0.115989109,-0.005719876,1,0,1,1.2314,rock_grid_rect_2,3,02,-1,-1,1.231,-0.370953234,-0.2427162,1,0,1,34.2209,Andesite_rect,1,34.221,0,7,0,7,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,2,1,9,0.09030131,-0.010260078,1,0,1,1.164,rock_grid_rect_2,3,06,-1,-1,1.164,-0.373304477,-0.27146993,1,0,1,8.8959,Andesite_rect,1,8.896,0,8,0,8,0,1,,,,,,,,,,,,,
64d523f4ad7f5e602c479ad1,TCN,2024-06-24_18h28.42.261,LearnStrategy,2023.2.3,MacIntel,60.24096386,2,1,10,0.169845174,0.001378004,1,0,1,1.6464,rock_grid_rect_2,5,11,-1,-1,1.646,-0.403904046,-0.386915351,1,0,1,1.4832,Obsidian_rect,5,1.483,1,9,0,9,0,1,,,,,,,,,,,,,
