participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6518cf249463264599a7918d,TCR,2024-06-11_12h13.49.316,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6518cf249463264599a7918d,TCR,2024-06-11_12h13.49.316,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.035185185,0.009259259,1,0,0,2.7454,rock_grid_rect_2,5,14,-1,-1,2.745,-0.377777778,-0.412962963,1,0,0,12.3752,Obsidian_rect,5,12.375,1,0,0,0,0,1,,,,,,,,,,,,,
6518cf249463264599a7918d,TCR,2024-06-11_12h13.49.316,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.031481481,0.007407407,1,0,0,1.2741,rock_grid_rect_2,1,04,-1,-1,1.274,-0.112037037,-0.267592593,1,0,0,4.3555,Basalt_rect,2,4.356,0,1,0,1,0,1,,,,,,,,,,,,,
6518cf249463264599a7918d,TCR,2024-06-11_12h13.49.316,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.073148148,0.006481481,1,0,0,1.1539,rock_grid_rect_2,2,12,-1,-1,1.154,-0.071296296,-0.401851852,1,0,0,8.5537,Pegmatite_rect,6,8.554,0,2,0,2,0,1,,,,,,,,,,,,,
6518cf249463264599a7918d,TCR,2024-06-11_12h13.49.316,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.150925926,0.016666667,1,0,0,1.3289,rock_grid_rect_2,8,09,-1,-1,1.329,0.146296296,-0.264814815,1,0,0,5.5207,Diorite_rect,3,5.521,0,3,0,3,0,1,,,,,,,,,,,,,
6518cf249463264599a7918d,TCR,2024-06-11_12h13.49.316,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.00462963,0.001851852,1,0,0,1.0219,rock_grid_rect_2,4,15,-1,-1,1.022,0.094444444,-0.397222222,1,0,0,5.9086,Peridotite_rect,7,5.909,0,4,0,4,0,1,,,,,,,,,,,,,
6518cf249463264599a7918d,TCR,2024-06-11_12h13.49.316,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.069444444,0.007407407,1,0,0,1.0383,rock_grid_rect_2,6,12,-1,-1,1.038,0.07037037,-0.389814815,1,0,0,7.4083,Peridotite_rect,7,7.408,0,5,0,5,0,1,,,,,,,,,,,,,
6518cf249463264599a7918d,TCR,2024-06-11_12h13.49.316,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.078703704,-0.010185185,1,0,0,0.9888,rock_grid_rect_2,7,12,-1,-1,0.989,0.125,-0.4,1,0,0,8.3756,Peridotite_rect,7,8.376,1,6,0,6,0,1,,,,,,,,,,,,,
6518cf249463264599a7918d,TCR,2024-06-11_12h13.49.316,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.063888889,0.010185185,1,0,0,0.9706,rock_grid_rect_2,6,13,-1,-1,0.971,0.417592593,-0.400925926,1,0,0,5.2572,Pumice_rect,8,5.257,0,7,0,7,0,1,,,,,,,,,,,,,
6518cf249463264599a7918d,TCR,2024-06-11_12h13.49.316,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.069444444,-0.009259259,1,0,0,1.5272,rock_grid_rect_2,2,08,-1,-1,1.527,-0.362037037,-0.401851852,1,0,0,7.2395,Obsidian_rect,5,7.24,0,8,0,8,0,1,,,,,,,,,,,,,
