participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6529c6cd086dd362bc291f14,TCN,2024-06-20_13h32.05.758,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6529c6cd086dd362bc291f14,TCN,2024-06-20_13h32.05.758,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.098148176,0.002777778,1,0,0,5.6224,rock_grid_rect_2,2,14,-1,-1,5.622,-0.045370314,-0.249074131,1,0,0,7.6721,Basalt_rect,2,7.672,1,0,0,0,0,1,,,,,,,,,,,,,
6529c6cd086dd362bc291f14,TCN,2024-06-20_13h32.05.758,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.117592621,0.023148134,1,0,0,2.0757,rock_grid_rect_2,6,11,-1,-1,2.076,0.329629686,-0.262037065,1,0,0,3.1457,Gabbro_rect,4,3.146,0,1,0,1,0,1,,,,,,,,,,,,,
6529c6cd086dd362bc291f14,TCN,2024-06-20_13h32.05.758,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.107407464,-0.004629644,1,0,0,1.756,rock_grid_rect_2,5,08,-1,-1,1.756,-0.088888889,-0.387037065,1,0,0,3.3814,Pegmatite_rect,6,3.381,0,2,0,2,0,1,,,,,,,,,,,,,
6529c6cd086dd362bc291f14,TCN,2024-06-20_13h32.05.758,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.052777778,0.010185157,1,0,0,1.4087,rock_grid_rect_2,4,14,-1,-1,1.409,0.140740797,-0.25648151,1,0,0,4.5772,Diorite_rect,3,4.577,0,3,0,3,0,1,,,,,,,,,,,,,
6529c6cd086dd362bc291f14,TCN,2024-06-20_13h32.05.758,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.112963019,0.000925912,1,0,0,2.2075,rock_grid_rect_2,8,10,-1,-1,2.207,0.388888889,-0.411111111,1,0,0,6.2768,Pumice_rect,8,6.277,1,4,0,4,0,1,,,,,,,,,,,,,
6529c6cd086dd362bc291f14,TCN,2024-06-20_13h32.05.758,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.059259288,-0.009259288,1,0,0,1.2782,rock_grid_rect_2,3,08,-1,-1,1.278,-0.448148134,-0.244444444,1,0,0,2.6519,Andesite_rect,1,2.652,0,5,0,5,0,1,,,,,,,,,,,,,
6529c6cd086dd362bc291f14,TCN,2024-06-20_13h32.05.758,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.030555556,0.010185157,1,0,0,1.3569,rock_grid_rect_2,7,13,-1,-1,1.357,-0.112036981,-0.391666667,1,0,0,3.6786,Pegmatite_rect,6,3.679,0,6,0,6,0,1,,,,,,,,,,,,,
6529c6cd086dd362bc291f14,TCN,2024-06-20_13h32.05.758,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.096296353,0.005555556,1,0,0,1.2424,rock_grid_rect_2,2,06,-1,-1,1.242,-0.112036981,-0.414814843,1,0,0,4.0298,Pegmatite_rect,6,4.03,0,7,0,7,0,1,,,,,,,,,,,,,
6529c6cd086dd362bc291f14,TCN,2024-06-20_13h32.05.758,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.087037065,0.002777778,1,0,0,2.1062,rock_grid_rect_2,5,10,-1,-1,2.106,0.163888889,-0.266666667,1,0,0,2.8913,Diorite_rect,3,2.891,0,8,0,8,0,1,,,,,,,,,,,,,
