participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
652ece1281c00c38eaafed26,SCR,2024-06-24_11h45.09.336,LearnStrategy,2023.2.3,MacIntel,75.18796992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652ece1281c00c38eaafed26,SCR,2024-06-24_11h45.09.336,LearnStrategy,2023.2.3,MacIntel,75.18796992,1,1,1,-0.241218171,-0.412995515,1,0,0,2.1333,Obsidian_10,5,10,1,3,2.133,5,10,-0.10608724,-0.239554398,1,0,0,6.8445,Basalt_rect,2,6.845,0,0,0,0,0,1,,,,,,,,,,,,,
652ece1281c00c38eaafed26,SCR,2024-06-24_11h45.09.336,LearnStrategy,2023.2.3,MacIntel,75.18796992,1,1,2,0.54911386,-0.099757668,1,0,0,1.4867,Gabbro_03,4,03,3,8,1.487,4,03,0.347265625,-0.407617187,1,0,0,5.182,Pumice_rect,8,5.182,0,1,0,1,0,1,,,,,,,,,,,,,
652ece1281c00c38eaafed26,SCR,2024-06-24_11h45.09.336,LearnStrategy,2023.2.3,MacIntel,75.18796992,1,1,3,0.054810475,-0.085543258,1,0,0,1.3821,Peridotite_12,7,12,3,5,1.382,7,12,-0.424327257,-0.244071904,1,0,0,3.4858,Andesite_rect,1,3.486,0,2,0,2,0,1,,,,,,,,,,,,,
652ece1281c00c38eaafed26,SCR,2024-06-24_11h45.09.336,LearnStrategy,2023.2.3,MacIntel,75.18796992,1,1,4,0.067013889,0.397395833,1,0,0,2.502,Pegmatite_12,6,12,6,5,2.502,6,12,-0.076041667,-0.390046296,1,0,0,4.0455,Pegmatite_rect,6,4.046,1,3,0,3,0,1,,,,,,,,,,,,,
652ece1281c00c38eaafed26,SCR,2024-06-24_11h45.09.336,LearnStrategy,2023.2.3,MacIntel,75.18796992,1,1,5,-0.387167245,0.254231771,1,0,0,1.4551,Obsidian_16,5,16,5,2,1.455,5,16,-0.390075231,-0.419639757,1,0,0,6.899,Obsidian_rect,5,6.899,1,4,0,4,0,1,,,,,,,,,,,,,
652ece1281c00c38eaafed26,SCR,2024-06-24_11h45.09.336,LearnStrategy,2023.2.3,MacIntel,75.18796992,1,1,6,-0.238849103,0.2760489,1,0,0,0.9683,Gabbro_15,4,15,5,3,0.968,4,15,0.460955584,-0.259801794,1,0,0,2.9639,Gabbro_rect,4,2.964,1,5,0,5,0,1,,,,,,,,,,,,,
652ece1281c00c38eaafed26,SCR,2024-06-24_11h45.09.336,LearnStrategy,2023.2.3,MacIntel,75.18796992,1,1,7,0.542104311,-0.290389902,1,0,0,1.1291,Peridotite_06,7,06,2,8,1.129,7,06,-0.351555266,-0.253421586,1,0,0,2.2597,Andesite_rect,1,2.26,0,6,0,6,0,1,,,,,,,,,,,,,
652ece1281c00c38eaafed26,SCR,2024-06-24_11h45.09.336,LearnStrategy,2023.2.3,MacIntel,75.18796992,1,1,8,-0.519198495,-0.089894387,1,0,0,1.0106,Andesite_07,1,07,3,1,1.011,1,07,-0.117708333,-0.24615162,1,0,0,2.3398,Basalt_rect,2,2.34,0,7,0,7,0,1,,,,,,,,,,,,,
652ece1281c00c38eaafed26,SCR,2024-06-24_11h45.09.336,LearnStrategy,2023.2.3,MacIntel,75.18796992,1,1,9,0.391818576,-0.423296441,1,0,0,0.9848,Diorite_02,3,02,1,7,0.985,3,02,0.403559028,-0.404097946,1,0,0,3.8332,Pumice_rect,8,3.833,0,8,0,8,0,1,,,,,,,,,,,,,
652ece1281c00c38eaafed26,SCR,2024-06-24_11h45.09.336,LearnStrategy,2023.2.3,MacIntel,75.18796992,1,1,10,0.239196325,0.070920139,1,0,0,1.1819,Pegmatite_10,6,10,4,6,1.182,6,10,-0.090295862,-0.378736256,1,0,0,3.6076,Pegmatite_rect,6,3.608,1,9,0,9,0,1,,,,,,,,,,,,,
