participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
654a4e699c84b61cf7eed3f7,SCR,2024-06-24_18h31.44.403,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654a4e699c84b61cf7eed3f7,SCR,2024-06-24_18h31.44.403,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.106666667,0.067777778,1,0,0,17.8246,Obsidian_12,5,12,4,5,17.825,6,05,-0.363333333,-0.413333333,1,0,0,3.8517,Obsidian_rect,5,3.852,1,0,0,0,0,1,,,,,,,,,,,,,
654a4e699c84b61cf7eed3f7,SCR,2024-06-24_18h31.44.403,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.427777778,0.212222222,1,0,0,6.031,Obsidian_11,5,11,5,7,6.031,5,12,-0.374444444,-0.407777778,1,0,0,1.08,Obsidian_rect,5,1.08,1,1,0,1,0,1,,,,,,,,,,,,,
654a4e699c84b61cf7eed3f7,SCR,2024-06-24_18h31.44.403,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.417777778,-0.095555556,1,0,0,2.4399,Diorite_02,3,02,3,7,2.44,1,06,-0.057777778,-0.242222222,1,0,0,2.7426,Basalt_rect,2,2.743,0,2,0,2,0,1,,,,,,,,,,,,,
654a4e699c84b61cf7eed3f7,SCR,2024-06-24_18h31.44.403,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.572222222,-0.116666667,1,0,0,2.3191,Gabbro_14,4,14,3,8,2.319,8,16,0.35,-0.411111111,1,0,0,4.9529,Pumice_rect,8,4.953,0,3,0,3,0,1,,,,,,,,,,,,,
654a4e699c84b61cf7eed3f7,SCR,2024-06-24_18h31.44.403,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.526666667,0.088888889,1,0,0,19.6469,Pumice_10,8,10,4,8,19.647,4,10,-0.197777778,-0.25,1,0,0,1.7051,Basalt_rect,2,1.705,0,4,0,4,0,1,,,,,,,,,,,,,
654a4e699c84b61cf7eed3f7,SCR,2024-06-24_18h31.44.403,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.242222222,-0.398888889,1,0,0,2.9487,Peridotite_15,7,15,1,6,2.949,7,15,0.183333333,-0.384444444,1,0,0,2.5105,Peridotite_rect,7,2.511,1,5,0,5,0,1,,,,,,,,,,,,,
654a4e699c84b61cf7eed3f7,SCR,2024-06-24_18h31.44.403,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,-0.558888889,0.268888889,1,0,0,6.5978,Pegmatite_12,6,12,5,1,6.598,6,12,-0.343333333,-0.245555556,1,0,0,2.0884,Andesite_rect,1,2.088,0,6,0,6,0,1,,,,,,,,,,,,,
654a4e699c84b61cf7eed3f7,SCR,2024-06-24_18h31.44.403,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.072222222,-0.118888889,1,0,0,1.6305,Diorite_10,3,10,3,4,1.63,3,10,-0.122222222,-0.413333333,1,0,0,4.661,Pegmatite_rect,6,4.661,0,7,0,7,0,1,,,,,,,,,,,,,
654a4e699c84b61cf7eed3f7,SCR,2024-06-24_18h31.44.403,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.377777778,-0.442222222,1,0,0,1.765,Peridotite_08,7,08,1,2,1.765,7,08,-0.095555556,-0.253333333,1,0,0,6.8771,Basalt_rect,2,6.877,0,8,0,8,0,1,,,,,,,,,,,,,
654a4e699c84b61cf7eed3f7,SCR,2024-06-24_18h31.44.403,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,-0.592222222,-0.095555556,1,0,0,0.9812,Diorite_15,3,15,3,1,0.981,3,15,0.313333333,-0.247777778,1,0,0,2.9108,Gabbro_rect,4,2.911,0,9,0,9,0,1,,,,,,,,,,,,,
