participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.38,0.39,1,0,0,4.6123,Diorite_16,3,16,6,2,4.612,-0.146666667,-0.395555556,1,0,0,9.9749,Pegmatite_rect,6,9.975,0,0,0,0,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.072222222,0.096666667,1,0,0,2.5795,Gabbro_12,4,12,4,5,2.579,-0.344444444,-0.41,1,0,0,5.1899,Obsidian_rect,5,5.19,0,1,0,1,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.555555556,0.243333333,1,0,0,4.4294,Obsidian_08,5,08,5,8,4.429,-0.36,-0.411111111,1,0,0,4.04,Obsidian_rect,5,4.04,1,2,0,2,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.066666667,-0.258888889,1,0,0,6.7929,Diorite_02,3,02,2,4,6.793,-0.316666667,-0.266666667,1,0,0,3.5537,Andesite_rect,1,3.554,0,3,0,3,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.537777778,0.098888889,1,0,0,3.0442,Pegmatite_15,6,15,4,1,3.044,0.098888889,-0.405555556,1,0,0,4.8453,Peridotite_rect,7,4.845,0,4,0,4,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.387777778,0.24,1,0,0,4.7931,Basalt_14,2,14,5,2,4.793,-0.196666667,-0.256666667,1,0,0,5.1264,Basalt_rect,2,5.126,1,5,0,5,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.1,-0.247777778,1,0,0,5.4001,Diorite_14,3,14,2,5,5.4,0.131111111,-0.242222222,1,0,0,4.0369,Diorite_rect,3,4.037,1,6,0,6,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.554444444,-0.406666667,1,0,0,3.47,Pumice_02,8,02,1,8,3.47,0.401111111,-0.398888889,1,0,0,3.2856,Pumice_rect,8,3.286,1,7,0,7,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,-0.072222222,0.245555556,1,0,0,4.3643,Diorite_09,3,09,5,4,4.364,0.145555556,-0.257777778,1,0,0,2.5322,Diorite_rect,3,2.532,1,8,0,8,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,-0.397777778,-0.275555556,1,0,0,3.6211,Pegmatite_09,6,09,2,2,3.621,-0.367777778,-0.395555556,1,0,0,3.396,Obsidian_rect,5,3.396,0,9,0,9,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,0.073333333,0.253333333,1,0,0,2.9688,Pegmatite_07,6,07,5,5,2.969,-0.101111111,-0.26,1,0,0,5.7413,Basalt_rect,2,5.741,0,10,0,10,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,0.532222222,0.267777778,1,0,0,2.8298,Obsidian_08,5,08,5,8,2.83,-0.397777778,-0.405555556,1,0,0,3.8069,Obsidian_rect,5,3.807,1,11,0,11,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,-0.567777778,-0.107777778,1,0,0,1.4461,Gabbro_01,4,01,3,1,1.446,0.125555556,-0.397777778,1,0,0,5.773,Peridotite_rect,7,5.773,0,12,0,12,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,0.378888889,0.24,1,0,0,4.3293,Diorite_15,3,15,5,7,4.329,0.097777778,-0.256666667,1,0,0,1.8977,Diorite_rect,3,1.898,1,13,0,13,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,0.221111111,-0.11,1,0,0,5.0444,Obsidian_14,5,14,3,6,5.044,-0.364444444,-0.396666667,1,0,0,5.3899,Obsidian_rect,5,5.39,1,14,0,14,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,-0.231111111,-0.105555556,1,0,0,2.897,Peridotite_13,7,13,3,3,2.897,0.334444444,-0.261111111,1,0,0,9.9156,Gabbro_rect,4,9.916,0,15,0,15,0,1,,,,,,,,,,,,,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,1,16,,,,,,,,,,,3,2.314,0,,,,,,0.137777778,-0.256666667,1,0,0,2.314,Diorite_rect,0,0,0,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,5,12,,,,,,,,,,,5,1.756,1,,,,,,-0.408888889,-0.404444444,1,0,0,1.7563,Obsidian_rect,1,0,1,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,7,05,,,,,,,,,,,3,10.865,0,,,,,,0.136666667,-0.271111111,1,0,0,10.8649,Diorite_rect,2,0,2,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,5,10,,,,,,,,,,,5,1.535,1,,,,,,-0.376666667,-0.402222222,1,0,0,1.5347,Obsidian_rect,3,0,3,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,6,16,,,,,,,,,,,6,15.421,1,,,,,,-0.08,-0.395555556,1,0,0,15.4215,Pegmatite_rect,4,0,4,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,6,,,,,,,,3,06,,,,,,,,,,,3,1.386,1,,,,,,0.15,-0.236666667,1,0,0,1.3863,Diorite_rect,5,0,5,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,7,,,,,,,,6,12,,,,,,,,,,,3,3.626,0,,,,,,0.132222222,-0.253333333,1,0,0,3.6264,Diorite_rect,6,0,6,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,8,,,,,,,,4,03,,,,,,,,,,,3,1.064,0,,,,,,0.132222222,-0.253333333,1,0,0,1.0636,Diorite_rect,7,0,7,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,9,,,,,,,,2,06,,,,,,,,,,,5,16.288,0,,,,,,-0.331111111,-0.402222222,1,0,0,16.2878,Obsidian_rect,8,0,8,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,10,,,,,,,,1,03,,,,,,,,,,,3,5.566,0,,,,,,0.088888889,-0.266666667,1,0,0,5.5659,Diorite_rect,9,0,9,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,11,,,,,,,,2,02,,,,,,,,,,,5,5.492,0,,,,,,-0.356666667,-0.413333333,1,0,0,5.4915,Obsidian_rect,10,0,10,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,12,,,,,,,,7,15,,,,,,,,,,,3,4.924,0,,,,,,0.137777778,-0.256666667,1,0,0,4.9242,Diorite_rect,11,0,11,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,13,,,,,,,,8,06,,,,,,,,,,,8,1.309,1,,,,,,0.375555556,-0.395555556,1,0,0,1.3086,Pumice_rect,12,0,12,0,1,
6568969ced46d80283d0d447,SCN,2024-06-26_12h35.19.485,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,14,,,,,,,,3,13,,,,,,,,,,,3,1.337,1,,,,,,0.167777778,-0.245555556,1,0,0,1.3372,Diorite_rect,13,0,13,0,1,
