participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65819ebb9baf5002d202f320,TCN,2024-06-24_17h36.13.856,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65819ebb9baf5002d202f320,TCN,2024-06-24_17h36.13.856,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.006481453,-0.003703718,1,0,0,2.3268,rock_grid_rect_2,7,15,-1,-1,2.327,0.110185199,-0.419444473,1,0,0,13.2351,Peridotite_rect,7,13.235,1,0,0,0,0,1,,,,,,,,,,,,,
65819ebb9baf5002d202f320,TCN,2024-06-24_17h36.13.856,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.012962977,0.001851859,1,0,0,1.247,rock_grid_rect_2,5,05,-1,-1,1.247,-0.458333333,-0.392592607,1,0,0,3.8731,Obsidian_rect,5,3.873,1,1,0,1,0,1,,,,,,,,,,,,,
65819ebb9baf5002d202f320,TCN,2024-06-24_17h36.13.856,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.009259259,-0.006481489,1,0,0,1.2138,rock_grid_rect_2,5,07,-1,-1,1.214,-0.381481489,-0.255555541,1,0,0,11.1849,Andesite_rect,1,11.185,0,2,0,2,0,1,,,,,,,,,,,,,
65819ebb9baf5002d202f320,TCN,2024-06-24_17h36.13.856,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.022222236,-0.008333347,1,0,0,1.0965,rock_grid_rect_2,6,06,-1,-1,1.096,-0.074074074,-0.410185213,1,0,0,10.1448,Pegmatite_rect,6,10.145,1,3,0,3,0,1,,,,,,,,,,,,,
65819ebb9baf5002d202f320,TCN,2024-06-24_17h36.13.856,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.021296325,0,1,0,0,1.1195,rock_grid_rect_2,4,10,-1,-1,1.12,-0.110185199,-0.257407436,1,0,0,6.3663,Basalt_rect,2,6.366,0,4,0,4,0,1,,,,,,,,,,,,,
65819ebb9baf5002d202f320,TCN,2024-06-24_17h36.13.856,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.006481453,-0.014814836,1,0,0,1.1472,rock_grid_rect_2,3,11,-1,-1,1.147,0.104629658,-0.267592607,1,0,0,8.6611,Diorite_rect,3,8.661,1,5,0,5,0,1,,,,,,,,,,,,,
65819ebb9baf5002d202f320,TCN,2024-06-24_17h36.13.856,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,-0.016666624,0.018518519,1,0,0,0.9632,rock_grid_rect_2,4,16,-1,-1,0.963,0.387963048,-0.259259259,1,0,0,11.2349,Gabbro_rect,4,11.235,1,6,0,6,0,1,,,,,,,,,,,,,
65819ebb9baf5002d202f320,TCN,2024-06-24_17h36.13.856,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.009259259,-0.014814836,1,0,0,1.1141,rock_grid_rect_2,1,02,-1,-1,1.114,0.083333333,-0.380555541,1,0,0,8.6786,Peridotite_rect,7,8.679,0,7,0,7,0,1,,,,,,,,,,,,,
65819ebb9baf5002d202f320,TCN,2024-06-24_17h36.13.856,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.001851824,0,1,0,0,1.1209,rock_grid_rect_2,2,10,-1,-1,1.121,0.332407492,-0.271296325,1,0,0,5.066,Gabbro_rect,4,5.066,0,8,0,8,0,1,,,,,,,,,,,,,
