participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,1,-0.092447917,-0.080729167,1,0,0,5.3499,Pumice_16,8,16,3,4,5.35,8,16,-0.069010417,-0.40234375,1,0,0,7.1299,Pegmatite_rect,6,7.13,0,0,0,0,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,2,0.270833333,0.390625,1,0,0,3.1109,Andesite_05,1,05,6,6,3.111,1,05,-0.424479167,-0.260416667,1,0,0,3.7118,Andesite_rect,1,3.712,1,1,0,1,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,3,0.239583333,-0.390625,1,0,0,1.6949,Diorite_11,3,11,1,6,1.695,3,11,0.126302083,-0.236979167,1,0,0,8.4663,Diorite_rect,3,8.466,1,2,0,2,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,4,0.091145833,-0.4296875,1,0,0,1.326,Pumice_02,8,02,1,5,1.326,8,02,-0.040364583,-0.404947917,1,0,0,4.2916,Pegmatite_rect,6,4.292,0,3,0,3,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,5,-0.350260417,0.243489583,1,0,0,1.7635,Diorite_13,3,13,5,2,1.763,3,13,0.106770833,-0.420572917,1,0,0,2.8441,Peridotite_rect,7,2.844,0,4,0,4,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,6,-0.095052083,-0.397135417,1,0,0,1.0764,Peridotite_15,7,15,1,4,1.076,7,15,0.200520833,-0.391927083,1,0,0,7.9649,Peridotite_rect,7,7.965,1,5,0,5,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,7,-0.041666667,0.09765625,1,0,0,1.6547,Pegmatite_15,6,15,4,4,1.655,6,15,-0.34765625,-0.401041667,1,0,0,4.2003,Obsidian_rect,5,4.2,0,6,0,6,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,8,0.524739583,-0.233072917,1,0,0,1.5101,Andesite_04,1,04,2,8,1.51,1,04,0.100260417,-0.243489583,1,0,0,4.8363,Diorite_rect,3,4.836,0,7,0,7,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,9,0.420572917,-0.233072917,1,0,0,1.0949,Obsidian_02,5,02,2,7,1.095,5,02,-0.36328125,-0.411458333,1,0,0,1.3882,Obsidian_rect,5,1.388,1,8,0,8,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,10,0.065104167,0.100260417,1,0,0,0.7569,Obsidian_06,5,06,4,5,0.757,5,06,-0.341145833,-0.381510417,1,0,0,2.3291,Obsidian_rect,5,2.329,1,9,0,9,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,11,-0.037760417,0.423177083,1,0,0,1.4169,Pegmatite_10,6,10,6,4,1.417,6,10,-0.080729167,-0.41015625,1,0,0,3.3874,Pegmatite_rect,6,3.387,1,10,0,10,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,12,-0.575520833,0.216145833,1,0,0,1.0935,Gabbro_03,4,03,5,1,1.094,4,03,-0.334635417,-0.26171875,1,0,0,1.2268,Andesite_rect,1,1.227,0,11,0,11,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,13,0.549479167,0.389322917,1,0,0,0.888,Basalt_08,2,08,6,8,0.888,2,08,-0.40234375,-0.399739583,1,0,0,7.9773,Obsidian_rect,5,7.977,0,12,0,12,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,14,-0.596354167,-0.270833333,1,0,0,1.0002,Peridotite_08,7,08,2,1,1,7,08,0.072916667,-0.255208333,1,0,0,6.1697,Diorite_rect,3,6.17,0,13,0,13,0,1,,,,,,,,,,,,,
65bf9aeb592e888df327d648,SCR,2024-06-25_14h24.27.772,LearnStrategy,2023.2.3,Win32,62.11180124,1,1,15,-0.548177083,0.37109375,1,0,0,1.1967,Basalt_02,2,02,6,1,1.197,2,02,0.119791667,-0.395833333,1,0,0,2.4559,Peridotite_rect,7,2.456,0,14,0,14,0,1,,,,,,,,,,,,,
