participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
65faf8180822855cef2b54b2,SCN,2024-06-25_14h38.14.797,LearnStrategy,2023.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65faf8180822855cef2b54b2,SCN,2024-06-25_14h38.14.797,LearnStrategy,2023.2.3,Win32,59.95203837,1,1,1,-0.22625,-0.0775,1,0,0,8.553,Diorite_08,3,08,3,3,8.553,0.38625,-0.39125,1,0,0,7.983,Pumice_rect,8,7.983,0,0,0,0,0,1,,,,,,,,,,,,,
65faf8180822855cef2b54b2,SCN,2024-06-25_14h38.14.797,LearnStrategy,2023.2.3,Win32,59.95203837,1,1,2,-0.53875,0.29,1,0,0,9.24,Diorite_11,3,11,5,1,9.24,0.37625,-0.40625,1,0,0,2.506,Pumice_rect,8,2.506,0,1,0,1,0,1,,,,,,,,,,,,,
65faf8180822855cef2b54b2,SCN,2024-06-25_14h38.14.797,LearnStrategy,2023.2.3,Win32,59.95203837,1,1,3,-0.39,0.42125,1,0,0,3.43,Obsidian_08,5,08,6,2,3.43,0.14875,-0.38625,1,0,0,4.337,Peridotite_rect,7,4.337,0,2,0,2,0,1,,,,,,,,,,,,,
65faf8180822855cef2b54b2,SCN,2024-06-25_14h38.14.797,LearnStrategy,2023.2.3,Win32,59.95203837,1,1,4,0.58125,0.07375,1,0,0,4.243,Pumice_10,8,10,4,8,4.243,0.41875,-0.39875,1,0,0,1.583,Pumice_rect,8,1.583,1,3,0,3,0,1,,,,,,,,,,,,,
65faf8180822855cef2b54b2,SCN,2024-06-25_14h38.14.797,LearnStrategy,2023.2.3,Win32,59.95203837,1,1,5,-0.54625,-0.43125,1,0,0,2.647,Pumice_05,8,05,1,1,2.647,0.38125,-0.41625,1,0,0,2.023,Pumice_rect,8,2.023,1,4,0,4,0,1,,,,,,,,,,,,,
65faf8180822855cef2b54b2,SCN,2024-06-25_14h38.14.797,LearnStrategy,2023.2.3,Win32,59.95203837,1,1,6,0.54625,-0.11,1,0,0,7.927,Andesite_16,1,16,3,8,7.927,0.15625,-0.23,1,0,0,2.955,Diorite_rect,3,2.955,0,5,0,5,0,1,,,,,,,,,,,,,
65faf8180822855cef2b54b2,SCN,2024-06-25_14h38.14.797,LearnStrategy,2023.2.3,Win32,59.95203837,1,1,7,-0.18625,-0.25625,1,0,0,3.995,Peridotite_13,7,13,2,3,3.995,0.1225,-0.39375,1,0,0,3.65,Peridotite_rect,7,3.65,1,6,0,6,0,1,,,,,,,,,,,,,
65faf8180822855cef2b54b2,SCN,2024-06-25_14h38.14.797,LearnStrategy,2023.2.3,Win32,59.95203837,1,1,8,0.10375,-0.2975,1,0,0,9.177,Andesite_01,1,01,2,5,9.177,-0.09125,-0.39875,1,0,0,2.564,Pegmatite_rect,6,2.564,0,7,0,7,0,1,,,,,,,,,,,,,
65faf8180822855cef2b54b2,SCN,2024-06-25_14h38.14.797,LearnStrategy,2023.2.3,Win32,59.95203837,1,1,9,0.4225,0.42125,1,0,0,5.042,Basalt_11,2,11,6,7,5.042,0.3725,-0.39125,1,0,0,1.782,Pumice_rect,8,1.782,0,8,0,8,0,1,,,,,,,,,,,,,
