participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6600e448ba586d5854beb30d,TCN,2024-06-25_13h50.40.702,LearnStrategy,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6600e448ba586d5854beb30d,TCN,2024-06-25_13h50.40.702,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,1,0.039783732,-0.008640611,1,0,0,7.5742,rock_grid_rect_2,6,08,-1,-1,7.574,-0.113548041,-0.257233615,1,0,0,4.9884,Basalt_rect,2,4.988,0,0,0,0,0,1,,,,,,,,,,,,,
6600e448ba586d5854beb30d,TCN,2024-06-25_13h50.40.702,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,2,0.051496039,0.007949897,1,0,0,1.4922,rock_grid_rect_2,8,06,-1,-1,1.492,0.404248861,-0.404284261,1,0,0,3.4206,Pumice_rect,8,3.421,1,1,0,1,0,1,,,,,,,,,,,,,
6600e448ba586d5854beb30d,TCN,2024-06-25_13h50.40.702,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,3,0.020948825,-0.00529975,1,0,0,1.582,rock_grid_rect_2,7,05,-1,-1,1.582,0.110389811,-0.390772095,1,0,0,5.5342,Peridotite_rect,7,5.534,1,2,0,2,0,1,,,,,,,,,,,,,
6600e448ba586d5854beb30d,TCN,2024-06-25_13h50.40.702,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,4,0.044534166,0.010889214,1,0,0,1.2685,rock_grid_rect_2,3,15,-1,-1,1.269,-0.357380202,-0.245492011,1,0,0,7.19,Andesite_rect,1,7.19,0,3,0,3,0,1,,,,,,,,,,,,,
6600e448ba586d5854beb30d,TCN,2024-06-25_13h50.40.702,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,5,0.045207994,-0.0217394,1,0,0,1.2598,rock_grid_rect_2,5,11,-1,-1,1.26,-0.37116177,-0.386852756,1,0,0,2.0704,Obsidian_rect,5,2.07,1,4,0,4,0,1,,,,,,,,,,,,,
6600e448ba586d5854beb30d,TCN,2024-06-25_13h50.40.702,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,6,-0.010240682,-0.009443732,1,0,0,1.1782,rock_grid_rect_2,2,12,-1,-1,1.178,-0.30868181,-0.262805854,1,0,0,6.0103,Andesite_rect,1,6.01,0,5,0,5,0,1,,,,,,,,,,,,,
6600e448ba586d5854beb30d,TCN,2024-06-25_13h50.40.702,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,7,0.036000977,-0.015851474,1,0,0,1.6233,rock_grid_rect_2,4,08,-1,-1,1.623,-0.355047913,-0.232264269,1,0,0,2.4356,Andesite_rect,1,2.436,0,6,0,6,0,1,,,,,,,,,,,,,
6600e448ba586d5854beb30d,TCN,2024-06-25_13h50.40.702,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,8,0.125654568,-0.01017985,1,0,0,1.1799,rock_grid_rect_2,2,04,-1,-1,1.18,-0.388331502,-0.250764771,1,0,0,3.5249,Andesite_rect,1,3.525,0,7,0,7,0,1,,,,,,,,,,,,,
6600e448ba586d5854beb30d,TCN,2024-06-25_13h50.40.702,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,9,0.09027615,0.009102851,1,0,0,0.9885,rock_grid_rect_2,3,02,-1,-1,0.988,0.17525194,-0.241862522,1,0,0,1.8989,Diorite_rect,3,1.899,1,8,0,8,0,1,,,,,,,,,,,,,
