participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6604722ff70cdd65875e2c6b,TCR,2024-06-24_17h32.59.406,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6604722ff70cdd65875e2c6b,TCR,2024-06-24_17h32.59.406,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.026851852,-0.006481481,1,0,0,1.8113,rock_grid_rect_2,2,10,-1,-1,1.811,-0.075925926,-0.246296296,1,0,0,6.8864,Basalt_rect,2,6.886,1,0,0,0,0,1,,,,,,,,,,,,,
6604722ff70cdd65875e2c6b,TCR,2024-06-24_17h32.59.406,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.025925926,-0.012962963,1,0,0,1.667,rock_grid_rect_2,7,04,-1,-1,1.667,-0.126851852,-0.396296296,1,0,0,4.841,Pegmatite_rect,6,4.841,0,1,0,1,0,1,,,,,,,,,,,,,
6604722ff70cdd65875e2c6b,TCR,2024-06-24_17h32.59.406,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.008333333,-0.011111111,1,0,0,1.5162,rock_grid_rect_2,6,05,-1,-1,1.516,0.40462963,-0.400925926,1,0,0,5.3673,Pumice_rect,8,5.367,0,2,0,2,0,1,,,,,,,,,,,,,
6604722ff70cdd65875e2c6b,TCR,2024-06-24_17h32.59.406,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.038888889,0.010185185,1,0,0,1.7217,rock_grid_rect_2,7,06,-1,-1,1.722,-0.359259259,-0.387037037,1,0,0,4.6175,Obsidian_rect,5,4.618,0,3,0,3,0,1,,,,,,,,,,,,,
6604722ff70cdd65875e2c6b,TCR,2024-06-24_17h32.59.406,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.112962963,-0.002777778,1,0,0,1.8553,rock_grid_rect_2,5,11,-1,-1,1.855,0.37962963,-0.242592593,1,0,0,6.1899,Gabbro_rect,4,6.19,0,4,0,4,0,1,,,,,,,,,,,,,
6604722ff70cdd65875e2c6b,TCR,2024-06-24_17h32.59.406,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.038888889,-0.008333333,1,0,0,2.0566,rock_grid_rect_2,8,14,-1,-1,2.057,0.363888889,-0.39537037,1,0,0,1.6332,Pumice_rect,8,1.633,1,5,0,5,0,1,,,,,,,,,,,,,
6604722ff70cdd65875e2c6b,TCR,2024-06-24_17h32.59.406,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.084259259,0.003703704,1,0,0,1.1976,rock_grid_rect_2,1,04,-1,-1,1.198,-0.443518519,-0.25462963,1,0,0,4.7487,Andesite_rect,1,4.749,1,6,0,6,0,1,,,,,,,,,,,,,
6604722ff70cdd65875e2c6b,TCR,2024-06-24_17h32.59.406,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.046296296,0,1,0,0,1.4242,rock_grid_rect_2,8,15,-1,-1,1.424,0.406481481,-0.409259259,1,0,0,1.8498,Pumice_rect,8,1.85,1,7,0,7,0,1,,,,,,,,,,,,,
6604722ff70cdd65875e2c6b,TCR,2024-06-24_17h32.59.406,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.014814815,-0.007407407,1,0,0,1.2479,rock_grid_rect_2,3,16,-1,-1,1.248,0.171296296,-0.262037037,1,0,0,4.6387,Diorite_rect,3,4.639,1,8,0,8,0,1,,,,,,,,,,,,,
6604722ff70cdd65875e2c6b,TCR,2024-06-24_17h32.59.406,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,0.136111111,0.005555556,1,0,0,1.301,rock_grid_rect_2,4,08,-1,-1,1.301,0.433333333,-0.251851852,1,0,0,1.8363,Gabbro_rect,4,1.836,1,9,0,9,0,1,,,,,,,,,,,,,
