participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
66083f910aeb017b4edee86f,SCR,2024-06-24_14h50.12.301,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66083f910aeb017b4edee86f,SCR,2024-06-24_14h50.12.301,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.067708333,0.110677083,1,0,0,8.2923,Basalt_08,2,08,4,4,8.292,2,08,-0.115885417,-0.229166667,1,0,0,120.8244,Basalt_rect,2,120.824,1,0,0,0,0,1,,,,,,,,,,,,,
66083f910aeb017b4edee86f,SCR,2024-06-24_14h50.12.301,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.5234375,0.2578125,1,0,0,7.8987,Andesite_05,1,05,5,1,7.899,1,03,0.36328125,-0.24609375,1,0,0,4.4522,Gabbro_rect,4,4.452,0,1,0,1,0,1,,,,,,,,,,,,,
66083f910aeb017b4edee86f,SCR,2024-06-24_14h50.12.301,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.255208333,0.430989583,1,0,0,4.9932,Pegmatite_11,6,11,6,6,4.993,7,06,-0.385416667,-0.41796875,1,0,0,4.2406,Obsidian_rect,5,4.241,0,2,0,2,0,1,,,,,,,,,,,,,
66083f910aeb017b4edee86f,SCR,2024-06-24_14h50.12.301,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.502604167,-0.265625,1,0,0,2.81,Obsidian_02,5,02,2,8,2.81,1,04,-0.372395833,-0.420572917,1,0,0,3.6691,Obsidian_rect,5,3.669,1,3,0,3,0,1,,,,,,,,,,,,,
66083f910aeb017b4edee86f,SCR,2024-06-24_14h50.12.301,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.067708333,-0.092447917,1,0,0,2.4048,Pegmatite_15,6,15,3,4,2.405,5,14,-0.143229167,-0.401041667,1,0,0,13.5004,Pegmatite_rect,6,13.5,1,4,0,4,0,1,,,,,,,,,,,,,
66083f910aeb017b4edee86f,SCR,2024-06-24_14h50.12.301,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.375,-0.075520833,1,0,0,2.3314,Obsidian_07,5,07,3,2,2.331,3,16,-0.40234375,-0.385416667,1,0,0,4.3166,Obsidian_rect,5,4.317,1,5,0,5,0,1,,,,,,,,,,,,,
66083f910aeb017b4edee86f,SCR,2024-06-24_14h50.12.301,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.10546875,-0.384114583,1,0,0,2.7731,Pegmatite_08,6,08,1,5,2.773,5,12,-0.127604167,-0.393229167,1,0,0,6.7698,Pegmatite_rect,6,6.77,1,6,0,6,0,1,,,,,,,,,,,,,
66083f910aeb017b4edee86f,SCR,2024-06-24_14h50.12.301,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.528645833,-0.389322917,1,0,0,1.5071,Gabbro_11,4,11,1,8,1.507,2,16,0.345052083,-0.235677083,1,0,0,5.8459,Gabbro_rect,4,5.846,1,7,0,7,0,1,,,,,,,,,,,,,
66083f910aeb017b4edee86f,SCR,2024-06-24_14h50.12.301,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,-0.55078125,-0.399739583,1,0,0,4.3257,Peridotite_12,7,12,1,1,4.326,4,15,0.106770833,-0.2578125,1,0,0,5.9827,Diorite_rect,3,5.983,0,8,0,8,0,1,,,,,,,,,,,,,
