participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,1,-0.115106676,-0.002841865,1,0,0,1.917,rock_grid_rect_2,7,12,-1,-1,1.917,-0.100321181,-0.261685588,1,0,0,2.4415,Basalt_rect,2,2.441,0,0,0,0,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,2,0.066449653,-0.024568956,1,0,0,0.9664,rock_grid_rect_2,1,14,-1,-1,0.966,-0.055628526,-0.252844781,1,0,0,1.6247,Basalt_rect,2,1.625,0,1,0,1,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,3,0.020626492,0.002175937,1,0,0,1.0804,rock_grid_rect_2,4,15,-1,-1,1.08,0.202944539,-0.261077067,1,0,0,3.3591,Diorite_rect,3,3.359,0,2,0,2,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,4,0.083722873,0.011046685,1,0,0,1.3864,rock_grid_rect_2,6,07,-1,-1,1.386,0.184475776,-0.252082248,1,0,0,2.5121,Diorite_rect,3,2.512,0,3,0,3,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,5,-0.018450724,0.000681254,1,0,0,0.9622,rock_grid_rect_2,4,11,-1,-1,0.962,-0.05100803,-0.260631375,1,0,0,2.06,Basalt_rect,2,2.06,0,4,0,4,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,6,-0.040983412,0.005862088,1,0,0,1.0033,rock_grid_rect_2,3,12,-1,-1,1.003,0.114899495,-0.258072238,1,0,0,1.1134,Diorite_rect,3,1.113,1,5,0,5,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,7,-0.055069648,0.002703247,1,0,0,1.4571,rock_grid_rect_2,1,07,-1,-1,1.457,0.35473877,-0.402141588,1,0,0,1.636,Pumice_rect,8,1.636,0,6,0,6,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,8,-0.057508206,-0.010118137,1,0,0,0.9108,rock_grid_rect_2,3,15,-1,-1,0.911,0.175317722,-0.41986613,1,0,0,16.009,Peridotite_rect,7,16.009,0,7,0,7,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,9,0.091687351,0.000694207,1,0,0,11.4208,rock_grid_rect_2,2,11,-1,-1,11.421,-0.184159478,-0.410245429,1,0,0,4.6757,Pegmatite_rect,6,4.676,0,8,0,8,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,10,-0.088695407,-0.00126614,1,0,0,2.4809,rock_grid_rect_2,5,09,-1,-1,2.481,-0.386179572,-0.414451633,1,0,0,1.5381,Obsidian_rect,5,1.538,1,9,0,9,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,11,0.114791734,-0.010691698,1,0,0,8.4567,rock_grid_rect_2,7,10,-1,-1,8.457,0.395791694,-0.239574517,1,0,0,10.2047,Gabbro_rect,4,10.205,0,10,0,10,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,12,0.085513441,0.004905294,1,0,0,1.2542,rock_grid_rect_2,5,07,-1,-1,1.254,-0.356165466,-0.410212809,1,0,0,2.4505,Obsidian_rect,5,2.451,1,11,0,11,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,13,0.028901299,0.005610826,1,0,0,1.1758,rock_grid_rect_2,8,14,-1,-1,1.176,0.386708306,-0.415013699,1,0,0,1.9219,Pumice_rect,8,1.922,1,12,0,12,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,14,0.012891642,-0.00137146,1,0,0,0.9971,rock_grid_rect_2,8,02,-1,-1,0.997,0.351053738,-0.406630046,1,0,0,1.0788,Pumice_rect,8,1.079,1,13,0,13,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,15,0.071925863,0.012754211,1,0,0,0.7997,rock_grid_rect_2,2,06,-1,-1,0.8,-0.33558865,-0.397612033,1,0,0,2.0229,Obsidian_rect,5,2.023,0,14,0,14,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,1,16,-0.08511461,-0.002197266,1,0,0,0.8869,rock_grid_rect_2,6,10,-1,-1,0.887,0.15918179,-0.249169515,1,0,0,1.4757,Diorite_rect,3,1.476,0,15,0,15,0,1,,,,,,,,,,,,,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,1,,,,,,,,8,10,,,,,,,,,,,8,7.575,1,,,,,,0.442915853,-0.398355849,1,0,0,7.5752,Pumice_rect,0,0,0,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,2,,,,,,,,4,14,,,,,,,,,,,2,2.136,0,,,,,,-0.059947984,-0.247803141,1,0,0,2.136,Basalt_rect,1,0,1,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,3,,,,,,,,7,16,,,,,,,,,,,6,2.51,0,,,,,,-0.094943509,-0.414060398,1,0,0,2.5104,Pegmatite_rect,2,0,2,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,4,,,,,,,,1,01,,,,,,,,,,,4,3.472,0,,,,,,0.387494575,-0.235836656,1,0,0,3.4719,Gabbro_rect,3,0,3,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,5,,,,,,,,5,04,,,,,,,,,,,5,1.4,1,,,,,,-0.3541922,-0.383980374,1,0,0,1.4001,Obsidian_rect,4,0,4,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,6,,,,,,,,3,16,,,,,,,,,,,2,4.95,0,,,,,,-0.166458808,-0.250146688,1,0,0,4.9502,Basalt_rect,5,0,5,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,7,,,,,,,,1,10,,,,,,,,,,,8,2.443,0,,,,,,0.356215956,-0.383947483,1,0,0,2.4434,Pumice_rect,6,0,6,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,8,,,,,,,,2,04,,,,,,,,,,,2,1.43,1,,,,,,-0.048175184,-0.234443292,1,0,0,1.4302,Basalt_rect,7,0,7,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,9,,,,,,,,6,09,,,,,,,,,,,6,1.26,1,,,,,,-0.119992337,-0.396794705,1,0,0,1.2601,Pegmatite_rect,8,0,8,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,10,,,,,,,,3,02,,,,,,,,,,,3,2.068,1,,,,,,0.161861572,-0.264327867,1,0,0,2.0681,Diorite_rect,9,0,9,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,11,,,,,,,,8,15,,,,,,,,,,,8,1.138,1,,,,,,0.296878933,-0.39982761,1,0,0,1.1385,Pumice_rect,10,0,10,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,12,,,,,,,,4,01,,,,,,,,,,,4,1.519,1,,,,,,0.364039985,-0.253572388,1,0,0,1.5195,Gabbro_rect,11,0,11,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,13,,,,,,,,6,05,,,,,,,,,,,1,1.731,0,,,,,,-0.326310628,-0.262825521,1,0,0,1.7309,Andesite_rect,12,0,12,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,14,,,,,,,,5,06,,,,,,,,,,,5,2.028,1,,,,,,-0.325881449,-0.39316196,1,0,0,2.0281,Obsidian_rect,13,0,13,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,15,,,,,,,,7,14,,,,,,,,,,,4,4.16,0,,,,,,0.406813965,-0.254329291,1,0,0,4.1595,Gabbro_rect,14,0,14,0,1,
660ce8118af7c468fd0f996b,TCN,2024-06-24_16h36.07.984,LearnStrategy,2023.2.3,MacIntel,59.17159763,1,2,16,,,,,,,,2,08,,,,,,,,,,,2,1.339,1,,,,,,-0.13531901,-0.251279704,1,0,0,1.3394,Basalt_rect,15,0,15,0,1,
