participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
661b3299bf19db77d7412b86,TCN,2024-06-20_10h42.27.910,LearnStrategy,2023.2.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661b3299bf19db77d7412b86,TCN,2024-06-20_10h42.27.910,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,1,-0.002735127,-0.007944757,1,0,0,2.3894,rock_grid_rect_2,7,08,-1,-1,2.389,0.391898868,-0.239775999,1,0,0,11.5278,Gabbro_rect,4,11.528,0,0,0,0,0,1,,,,,,,,,,,,,
661b3299bf19db77d7412b86,TCN,2024-06-20_10h42.27.910,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,2,0.032430304,-0.019666568,1,0,0,3.708,rock_grid_rect_2,4,15,-1,-1,3.708,0.135321675,-0.406486008,1,0,0,3.8848,Peridotite_rect,7,3.885,0,1,0,1,0,1,,,,,,,,,,,,,
661b3299bf19db77d7412b86,TCN,2024-06-20_10h42.27.910,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,3,-0.007944801,-0.007944757,1,0,0,1.0874,rock_grid_rect_2,3,15,-1,-1,1.087,0.110575591,-0.246288048,1,0,0,5.8684,Diorite_rect,3,5.868,1,2,0,2,0,1,,,,,,,,,,,,,
661b3299bf19db77d7412b86,TCN,2024-06-20_10h42.27.910,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,4,0.031127842,0.024615793,1,0,0,1.183,rock_grid_rect_2,2,10,-1,-1,1.183,0.373665009,-0.254102647,1,0,0,2.3339,Gabbro_rect,4,2.334,0,3,0,3,0,1,,,,,,,,,,,,,
661b3299bf19db77d7412b86,TCN,2024-06-20_10h42.27.910,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,5,0.007684221,0.012893983,1,0,0,2.2881,rock_grid_rect_2,8,13,-1,-1,2.288,0.39971338,-0.237171075,1,0,0,3.164,Gabbro_rect,4,3.164,0,4,0,4,0,1,,,,,,,,,,,,,
661b3299bf19db77d7412b86,TCN,2024-06-20_10h42.27.910,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,6,-0.00013029,0.002474678,1,0,0,1.2476,rock_grid_rect_2,1,01,-1,-1,1.248,0.33589474,-0.228054145,1,0,0,5.1122,Gabbro_rect,4,5.112,0,5,0,5,0,1,,,,,,,,,,,,,
661b3299bf19db77d7412b86,TCN,2024-06-20_10h42.27.910,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,7,0.01549882,-0.01445685,1,0,0,1.0314,rock_grid_rect_2,3,11,-1,-1,1.031,0.075410247,-0.234566238,1,0,0,4.4732,Diorite_rect,3,4.473,1,6,0,6,0,1,,,,,,,,,,,,,
661b3299bf19db77d7412b86,TCN,2024-06-20_10h42.27.910,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,8,0.01549882,0.00638189,1,0,0,1.2437,rock_grid_rect_2,1,16,-1,-1,1.244,0.137926512,-0.39606666,1,0,0,1.9764,Peridotite_rect,7,1.976,0,7,0,7,0,1,,,,,,,,,,,,,
661b3299bf19db77d7412b86,TCN,2024-06-20_10h42.27.910,LearnStrategy,2023.2.3,Win32,59.17159763,1,1,9,-0.00013029,-0.006642339,1,0,0,1.4345,rock_grid_rect_2,5,16,-1,-1,1.435,-0.372623083,-0.39606666,1,0,0,2.3428,Obsidian_rect,5,2.343,1,8,0,8,0,1,,,,,,,,,,,,,
