participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.006481453,-0.010185206,1,0,0,2.3704,rock_grid_rect_2,6,03,-1,-1,2.37,0.097222222,-0.389814801,1,0,0,7.7439,Peridotite_rect,7,7.744,0,0,0,0,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.070370356,0.005555541,1,0,0,1.7921,rock_grid_rect_2,8,09,-1,-1,1.792,0.390740712,-0.40370369,1,0,0,4.4401,Pumice_rect,8,4.44,1,1,0,1,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,0.070370356,-0.003703718,1,0,0,1.6945,rock_grid_rect_2,3,13,-1,-1,1.695,-0.093518504,-0.232407393,1,0,0,4.3974,Basalt_rect,2,4.397,0,2,0,2,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.062962991,-0.009259259,1,0,0,2.1125,rock_grid_rect_2,5,06,-1,-1,2.113,0.356481481,-0.243518547,1,0,0,9.0124,Gabbro_rect,4,9.012,0,3,0,3,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.111111111,0.006481489,1,0,0,1.3414,rock_grid_rect_2,2,10,-1,-1,1.341,-0.083333333,-0.233333376,1,0,0,2.1444,Basalt_rect,2,2.144,1,4,0,4,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.070370356,0.018518519,1,0,0,1.2779,rock_grid_rect_2,4,10,-1,-1,1.278,-0.3824074,-0.231481481,1,0,0,7.799,Andesite_rect,1,7.799,0,5,0,5,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.131481524,-0.021296289,1,0,0,1.1444,rock_grid_rect_2,6,05,-1,-1,1.144,-0.078703704,-0.407407407,1,0,0,7.9734,Pegmatite_rect,6,7.973,1,6,0,6,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.026851866,-0.014814836,1,0,0,1.2443,rock_grid_rect_2,1,01,-1,-1,1.244,0.125,-0.237037023,1,0,0,7.6499,Diorite_rect,3,7.65,0,7,0,7,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.051851838,-0.009259259,1,0,0,1.2204,rock_grid_rect_2,8,03,-1,-1,1.22,0.357407464,-0.386111153,1,0,0,4.0637,Pumice_rect,8,4.064,1,8,0,8,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,0.055555556,-0.005555577,1,0,0,1.2676,rock_grid_rect_2,1,16,-1,-1,1.268,-0.124074088,-0.396296325,1,0,0,6.1339,Pegmatite_rect,6,6.134,0,9,0,9,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,0.011111153,-0.015740748,1,0,0,1.3812,rock_grid_rect_2,7,05,-1,-1,1.381,0.150925954,-0.404629672,1,0,0,18.0544,Peridotite_rect,7,18.054,1,10,0,10,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,0.043518561,0.012962942,1,0,0,1.2458,rock_grid_rect_2,5,10,-1,-1,1.246,0.116666653,-0.252777806,1,0,0,4.451,Diorite_rect,3,4.451,0,11,0,11,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,0.078703704,-0.001851859,1,0,0,1.1003,rock_grid_rect_2,4,01,-1,-1,1.1,-0.337962963,-0.248148176,1,0,0,9.412,Andesite_rect,1,9.412,0,12,0,12,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,0.05740745,-0.008333347,1,0,0,1.3497,rock_grid_rect_2,7,16,-1,-1,1.35,0.208333333,-0.39907406,1,0,0,5.4104,Peridotite_rect,7,5.41,1,13,0,13,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,0.033333319,0.001851859,1,0,0,1.2869,rock_grid_rect_2,2,01,-1,-1,1.287,-0.106481481,-0.260185171,1,0,0,2.7194,Basalt_rect,2,2.719,1,14,0,14,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,16,0.045370384,-0.008333347,1,0,0,1.2789,rock_grid_rect_2,3,06,-1,-1,1.279,0.133333347,-0.40370369,1,0,0,7.6436,Peridotite_rect,7,7.644,0,15,0,15,0,1,,,,,,,,,,,,,
6625132dab9a4c3935013c10,TCR,2024-06-25_11h41.36.667,LearnStrategy,2023.2.3,Win32,59.88023952,1,2,1,,,,,,,,1,02,,,,,,,,,,,4,22.492,0,,,,,,0.358333305,-0.237963005,1,0,0,22.492,Gabbro_rect,0,0,0,0,1,
