participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
662a2584d928ede39a60cdb1,TCR,2024-06-25_17h51.49.388,LearnStrategy,2023.2.3,MacIntel,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662a2584d928ede39a60cdb1,TCR,2024-06-25_17h51.49.388,LearnStrategy,2023.2.3,MacIntel,142.8571429,1,1,1,-0.03713997,-0.011802266,1,0,0,2.608,rock_grid_rect_2,6,15,-1,-1,2.608,0.149651381,-0.241567329,1,0,0,2.668,Diorite_rect,3,2.668,0,0,0,0,0,1,,,,,,,,,,,,,
662a2584d928ede39a60cdb1,TCR,2024-06-25_17h51.49.388,LearnStrategy,2023.2.3,MacIntel,142.8571429,1,1,2,-0.038880583,0.010577635,1,0,0,1.495,rock_grid_rect_2,7,10,-1,-1,1.495,0.346084323,-0.259415849,1,0,0,2.135,Gabbro_rect,4,2.135,0,1,0,1,0,1,,,,,,,,,,,,,
662a2584d928ede39a60cdb1,TCR,2024-06-25_17h51.49.388,LearnStrategy,2023.2.3,MacIntel,142.8571429,1,1,3,0.032658201,-0.008709681,1,0,0,1.435,rock_grid_rect_2,5,02,-1,-1,1.435,-0.295040121,-0.416902056,1,0,0,0.957,Obsidian_rect,5,0.957,1,2,0,2,0,1,,,,,,,,,,,,,
662a2584d928ede39a60cdb1,TCR,2024-06-25_17h51.49.388,LearnStrategy,2023.2.3,MacIntel,142.8571429,1,1,4,-0.033956426,0.00897346,1,0,0,1.043,rock_grid_rect_2,4,11,-1,-1,1.043,0.189817786,-0.396229691,1,0,0,1.247,Peridotite_rect,7,1.247,0,3,0,3,0,1,,,,,,,,,,,,,
662a2584d928ede39a60cdb1,TCR,2024-06-25_17h51.49.388,LearnStrategy,2023.2.3,MacIntel,142.8571429,1,1,5,0.011853534,0.020889011,1,0,0,1.452,rock_grid_rect_2,2,16,-1,-1,1.452,-0.403305428,-0.239181738,1,0,0,1.285,Andesite_rect,1,1.285,0,4,0,4,0,1,,,,,,,,,,,,,
662a2584d928ede39a60cdb1,TCR,2024-06-25_17h51.49.388,LearnStrategy,2023.2.3,MacIntel,142.8571429,1,1,6,-0.026816191,-0.017036509,1,0,0,1.029,rock_grid_rect_2,3,13,-1,-1,1.029,0.402734871,-0.380543501,1,0,0,1.987,Pumice_rect,8,1.987,0,5,0,5,0,1,,,,,,,,,,,,,
662a2584d928ede39a60cdb1,TCR,2024-06-25_17h51.49.388,LearnStrategy,2023.2.3,MacIntel,142.8571429,1,1,7,0.09318275,-0.015907798,1,0,0,1.515,rock_grid_rect_2,3,16,-1,-1,1.515,-0.349400171,-0.267792291,1,0,0,4.786,Andesite_rect,1,4.786,0,6,0,6,0,1,,,,,,,,,,,,,
662a2584d928ede39a60cdb1,TCR,2024-06-25_17h51.49.388,LearnStrategy,2023.2.3,MacIntel,142.8571429,1,1,8,0.065060066,-0.020530139,1,0,0,0.924,rock_grid_rect_2,4,15,-1,-1,0.924,0.370895295,-0.387766425,1,0,0,2.477,Pumice_rect,8,2.477,0,7,0,7,0,1,,,,,,,,,,,,,
662a2584d928ede39a60cdb1,TCR,2024-06-25_17h51.49.388,LearnStrategy,2023.2.3,MacIntel,142.8571429,1,1,9,0.101327662,0.021141214,1,0,0,1.081,rock_grid_rect_2,1,07,-1,-1,1.081,0.119002534,-0.231102978,1,0,0,5.026,Diorite_rect,3,5.026,0,8,0,8,0,1,,,,,,,,,,,,,
662a2584d928ede39a60cdb1,TCR,2024-06-25_17h51.49.388,LearnStrategy,2023.2.3,MacIntel,142.8571429,1,1,10,0.065977919,-0.016217883,1,0,0,1.305,rock_grid_rect_2,6,16,-1,-1,1.305,-0.108451359,-0.269045036,1,0,0,1.945,Basalt_rect,2,1.945,0,9,0,9,0,1,,,,,,,,,,,,,
