participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.026041667,-0.020833333,1,0,0,4.2108,rock_grid_rect_2,6,12,-1,-1,4.211,-0.100260417,-0.23828125,1,0,0,6.4675,Basalt_rect,2,6.467,0,0,0,0,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.063802083,0.005208333,1,0,0,0.924,rock_grid_rect_2,4,08,-1,-1,0.924,-0.106770833,-0.243489583,1,0,0,6.0453,Basalt_rect,2,6.045,0,1,0,1,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.075520833,0,1,0,0,1.3772,rock_grid_rect_2,7,08,-1,-1,1.377,-0.359375,-0.384114583,1,0,0,4.3995,Obsidian_rect,5,4.399,0,2,0,2,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.041666667,0.0078125,1,0,0,1.1382,rock_grid_rect_2,2,16,-1,-1,1.138,-0.369791667,-0.2421875,1,0,0,5.0264,Andesite_rect,1,5.026,0,3,0,3,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.106770833,-0.01953125,1,0,0,1.0616,rock_grid_rect_2,3,10,-1,-1,1.062,0.16015625,-0.415364583,1,0,0,5.4832,Peridotite_rect,7,5.483,0,4,0,4,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.118489583,0.00390625,1,0,0,0.9073,rock_grid_rect_2,8,08,-1,-1,0.907,0.4453125,-0.251302083,1,0,0,5.2823,Gabbro_rect,4,5.282,0,5,0,5,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.05078125,0.0078125,1,0,0,1.3849,rock_grid_rect_2,1,16,-1,-1,1.385,-0.34765625,-0.25,1,0,0,11.0428,Andesite_rect,1,11.043,1,6,0,6,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.0234375,-0.013020833,1,0,0,3.0033,rock_grid_rect_2,8,09,-1,-1,3.003,-0.35546875,-0.38671875,1,0,0,1.6119,Obsidian_rect,5,1.612,0,7,0,7,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.0625,0,1,0,0,0.9789,rock_grid_rect_2,1,04,-1,-1,0.979,-0.10546875,-0.411458333,1,0,0,9.9553,Pegmatite_rect,6,9.955,0,8,0,8,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,0.065104167,-0.0234375,1,0,0,24.5869,rock_grid_rect_2,4,14,-1,-1,24.587,0.165364583,-0.3984375,1,0,0,6.1861,Peridotite_rect,7,6.186,0,9,0,9,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,0.055989583,-0.013020833,1,0,0,11.9749,rock_grid_rect_2,7,06,-1,-1,11.975,-0.334635417,-0.381510417,1,0,0,6.8282,Obsidian_rect,5,6.828,0,10,0,10,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,0.122395833,-0.013020833,1,0,0,1.6229,rock_grid_rect_2,5,10,-1,-1,1.623,-0.401041667,-0.24609375,1,0,0,7.0972,Andesite_rect,1,7.097,0,11,0,11,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,0.0234375,-0.001302083,1,0,0,2.5004,rock_grid_rect_2,6,06,-1,-1,2.5,-0.098958333,-0.259114583,1,0,0,8.2751,Basalt_rect,2,8.275,0,12,0,12,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,0.059895833,-0.005208333,1,0,0,4.8132,rock_grid_rect_2,3,08,-1,-1,4.813,-0.126302083,-0.395833333,1,0,0,27.3606,Pegmatite_rect,6,27.361,0,13,0,13,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,0.08984375,-0.005208333,1,0,0,1.1426,rock_grid_rect_2,5,04,-1,-1,1.143,-0.3828125,-0.40234375,1,0,0,10.7247,Obsidian_rect,5,10.725,1,14,0,14,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,0.084635417,-0.002604167,1,0,0,0.9458,rock_grid_rect_2,2,04,-1,-1,0.946,-0.09375,-0.26953125,1,0,0,1.7161,Basalt_rect,2,1.716,1,15,0,15,0,1,,,,,,,,,,,,,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,2,14,,,,,,,,,,,7,50.166,0,,,,,,0.17578125,-0.389322917,1,0,0,50.1662,Peridotite_rect,0,0,0,0,1,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,2,09,,,,,,,,,,,2,11.112,1,,,,,,-0.109375,-0.252604167,1,0,0,11.1124,Basalt_rect,1,0,1,0,1,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,4,11,,,,,,,,,,,1,21.546,0,,,,,,-0.350260417,-0.236979167,1,0,0,21.5459,Andesite_rect,2,0,2,0,1,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,4,15,,,,,,,,,,,3,10.532,0,,,,,,0.153645833,-0.2421875,1,0,0,10.5319,Diorite_rect,3,0,3,0,1,
662bf58363a3b81948a552b3,TCN,2024-06-26_13h37.23.016,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,3,02,,,,,,,,,,,3,17.817,1,,,,,,0.158854167,-0.259114583,1,0,0,17.8165,Diorite_rect,4,0,4,0,1,
