participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
662fb42cc3458e96dee33181,SCR,2024-06-20_13h33.19.839,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662fb42cc3458e96dee33181,SCR,2024-06-20_13h33.19.839,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,1,-0.242592593,-0.284259259,1,0,0,4.2695,Obsidian_05,5,05,2,3,4.269,5,05,-0.363888889,-0.418518519,1,0,0,5.4783,Obsidian_rect,5,5.478,1,0,0,0,0,1,,,,,,,,,,,,,
662fb42cc3458e96dee33181,SCR,2024-06-20_13h33.19.839,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,2,-0.572222222,-0.117592593,1,0,0,2.1232,Basalt_08,2,08,3,1,2.123,2,08,-0.131481481,-0.25,1,0,0,3.2545,Basalt_rect,2,3.254,1,1,0,1,0,1,,,,,,,,,,,,,
662fb42cc3458e96dee33181,SCR,2024-06-20_13h33.19.839,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,3,0.084259259,0.113888889,1,0,0,1.2134,Obsidian_04,5,04,4,5,1.213,5,04,-0.373148148,-0.401851852,1,0,0,1.2816,Obsidian_rect,5,1.282,1,2,0,2,0,1,,,,,,,,,,,,,
662fb42cc3458e96dee33181,SCR,2024-06-20_13h33.19.839,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,4,0.406481481,-0.283333333,1,0,0,1.4011,Diorite_08,3,08,2,7,1.401,3,08,0.131481481,-0.244444444,1,0,0,3.6433,Diorite_rect,3,3.643,1,3,0,3,0,1,,,,,,,,,,,,,
662fb42cc3458e96dee33181,SCR,2024-06-20_13h33.19.839,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,5,-0.57037037,0.112037037,1,0,0,1.2617,Gabbro_03,4,03,4,1,1.262,4,03,-0.384259259,-0.25,1,0,0,3.6834,Andesite_rect,1,3.683,0,4,0,4,0,1,,,,,,,,,,,,,
662fb42cc3458e96dee33181,SCR,2024-06-20_13h33.19.839,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,6,0.543518519,0.084259259,1,0,0,1.2329,Pegmatite_13,6,13,4,8,1.233,6,13,0.152777778,-0.40462963,1,0,0,5.5615,Peridotite_rect,7,5.561,0,5,0,5,0,1,,,,,,,,,,,,,
662fb42cc3458e96dee33181,SCR,2024-06-20_13h33.19.839,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,7,-0.550925926,0.394444444,1,0,0,1.1786,Pumice_13,8,13,6,1,1.179,8,13,0.394444444,-0.412037037,1,0,0,1.8443,Pumice_rect,8,1.844,1,6,0,6,0,1,,,,,,,,,,,,,
662fb42cc3458e96dee33181,SCR,2024-06-20_13h33.19.839,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,8,0.587962963,0.226851852,1,0,0,1.1149,Andesite_09,1,09,5,8,1.115,1,09,0.362962963,-0.242592593,1,0,0,3.1466,Gabbro_rect,4,3.147,0,7,0,7,0,1,,,,,,,,,,,,,
662fb42cc3458e96dee33181,SCR,2024-06-20_13h33.19.839,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,9,-0.408333333,-0.266666667,1,0,0,1.5817,Pumice_16,8,16,2,2,1.582,8,16,0.376851852,-0.405555556,1,0,0,0.9812,Pumice_rect,8,0.981,1,8,0,8,0,1,,,,,,,,,,,,,
