participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6630e9224b174b5c709cd1c2,SCR,2024-06-25_12h40.50.913,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6630e9224b174b5c709cd1c2,SCR,2024-06-25_12h40.50.913,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,1,-0.415861377,0.383540427,1,0,0,4.5456,Obsidian_12,5,12,6,2,4.546,8,16,-0.114193457,-0.231085247,1,0,0,4.8714,Basalt_rect,2,4.871,0,0,0,0,0,1,,,,,,,,,,,,,
6630e9224b174b5c709cd1c2,SCR,2024-06-25_12h40.50.913,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,2,-0.532189581,0.413424607,1,0,0,1.8619,Pumice_13,8,13,6,1,1.862,1,16,-0.369985439,-0.256192243,1,0,0,2.7842,Andesite_rect,1,2.784,0,1,0,1,0,1,,,,,,,,,,,,,
6630e9224b174b5c709cd1c2,SCR,2024-06-25_12h40.50.913,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,3,0.365096905,0.094352192,1,0,0,1.7624,Diorite_08,3,08,4,7,1.762,4,09,0.320691568,-0.254391282,1,0,0,3.5696,Gabbro_rect,4,3.57,0,2,0,2,0,1,,,,,,,,,,,,,
6630e9224b174b5c709cd1c2,SCR,2024-06-25_12h40.50.913,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,4,0.092565678,-0.25616561,1,0,0,2.0295,Pegmatite_09,6,09,2,5,2.03,5,14,-0.441857055,-0.409499628,1,0,0,3.9163,Obsidian_rect,5,3.916,0,3,0,3,0,1,,,,,,,,,,,,,
6630e9224b174b5c709cd1c2,SCR,2024-06-25_12h40.50.913,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,5,-0.245079959,0.255774463,1,0,0,3.3616,Pumice_05,8,05,5,3,3.362,2,14,0.383060738,-0.405441425,1,0,0,2.2722,Pumice_rect,8,2.272,1,4,0,4,0,1,,,,,,,,,,,,,
6630e9224b174b5c709cd1c2,SCR,2024-06-25_12h40.50.913,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,6,0.069119842,0.079955242,1,0,0,1.3455,Basalt_02,2,02,4,5,1.346,6,06,-0.38033994,-0.257152557,1,0,0,2.6841,Andesite_rect,1,2.684,0,5,0,5,0,1,,,,,,,,,,,,,
6630e9224b174b5c709cd1c2,SCR,2024-06-25_12h40.50.913,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,7,0.072920623,-0.390009915,1,0,0,1.6123,Diorite_12,3,12,1,5,1.612,7,02,0.377465001,-0.410749789,1,0,0,1.6021,Pumice_rect,8,1.602,0,6,0,6,0,1,,,,,,,,,,,,,
6630e9224b174b5c709cd1c2,SCR,2024-06-25_12h40.50.913,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,8,-0.523603651,-0.416050452,1,0,0,2.7953,Pumice_15,8,15,1,1,2.795,4,14,0.357285817,-0.381489718,1,0,0,1.8319,Pumice_rect,8,1.832,1,7,0,7,0,1,,,,,,,,,,,,,
6630e9224b174b5c709cd1c2,SCR,2024-06-25_12h40.50.913,LearnStrategy,2023.2.3,Linux x86_64,59.88023952,1,1,9,0.075630612,0.415560413,1,0,0,3.2123,Obsidian_05,5,05,6,5,3.212,7,14,-0.15293849,-0.236522604,1,0,0,1.372,Basalt_rect,2,1.372,0,8,0,8,0,1,,,,,,,,,,,,,
