participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6630fcae418bde6a9e7c3b47,SCR,2024-06-25_12h41.11.090,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6630fcae418bde6a9e7c3b47,SCR,2024-06-25_12h41.11.090,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,1,-0.229166667,-0.236979167,1,0,0,2.7834,Gabbro_09,4,09,2,3,2.783,4,09,-0.381510417,-0.40625,1,0,0,9.1643,Obsidian_rect,5,9.164,0,0,0,0,0,1,,,,,,,,,,,,,
6630fcae418bde6a9e7c3b47,SCR,2024-06-25_12h41.11.090,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,2,-0.565104167,0.42578125,1,0,0,1.4861,Andesite_06,1,06,6,1,1.486,1,06,-0.13671875,-0.2421875,1,0,0,2.594,Basalt_rect,2,2.594,0,1,0,1,0,1,,,,,,,,,,,,,
6630fcae418bde6a9e7c3b47,SCR,2024-06-25_12h41.11.090,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,3,0.227864583,0.408854167,1,0,0,1.3138,Pumice_08,8,08,6,6,1.314,8,08,0.16015625,-0.2421875,1,0,0,1.7274,Diorite_rect,3,1.727,0,2,0,2,0,1,,,,,,,,,,,,,
6630fcae418bde6a9e7c3b47,SCR,2024-06-25_12h41.11.090,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,4,-0.227864583,0.44140625,1,0,0,1.3157,Peridotite_14,7,14,6,3,1.316,7,14,-0.165364583,-0.420572917,1,0,0,2.753,Pegmatite_rect,6,2.753,0,3,0,3,0,1,,,,,,,,,,,,,
6630fcae418bde6a9e7c3b47,SCR,2024-06-25_12h41.11.090,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,5,-0.1015625,0.41015625,1,0,0,1.2203,Obsidian_05,5,05,6,4,1.22,5,05,-0.36328125,-0.4140625,1,0,0,1.7196,Obsidian_rect,5,1.72,1,4,0,4,0,1,,,,,,,,,,,,,
6630fcae418bde6a9e7c3b47,SCR,2024-06-25_12h41.11.090,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,6,-0.0859375,-0.399739583,1,0,0,1.3068,Basalt_09,2,09,1,4,1.307,2,09,-0.197916667,-0.2421875,1,0,0,3.3363,Basalt_rect,2,3.336,1,5,0,5,0,1,,,,,,,,,,,,,
6630fcae418bde6a9e7c3b47,SCR,2024-06-25_12h41.11.090,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,7,0.533854167,0.424479167,1,0,0,1.3632,Pumice_05,8,05,6,8,1.363,8,05,0.178385417,-0.26171875,1,0,0,2.3846,Diorite_rect,3,2.385,0,6,0,6,0,1,,,,,,,,,,,,,
6630fcae418bde6a9e7c3b47,SCR,2024-06-25_12h41.11.090,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,8,0.065104167,0.442708333,1,0,0,15.1261,Obsidian_14,5,14,6,5,15.126,5,14,-0.34375,-0.408854167,1,0,0,2.4023,Obsidian_rect,5,2.402,1,7,0,7,0,1,,,,,,,,,,,,,
6630fcae418bde6a9e7c3b47,SCR,2024-06-25_12h41.11.090,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,9,-0.079427083,-0.084635417,1,0,0,1.0089,Andesite_07,1,07,3,4,1.009,1,07,-0.321614583,-0.25390625,1,0,0,3.1886,Andesite_rect,1,3.189,1,8,0,8,0,1,,,,,,,,,,,,,
