participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6631dd70c1393b01137d8453,TCR,2024-06-11_09h27.15.125,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6631dd70c1393b01137d8453,TCR,2024-06-11_09h27.15.125,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.010416667,-0.010416667,1,0,0,2.9884,rock_grid_rect_2,2,16,-1,-1,2.988,-0.154947917,-0.234375,1,0,0,4.8361,Basalt_rect,2,4.836,1,0,0,0,0,1,,,,,,,,,,,,,
6631dd70c1393b01137d8453,TCR,2024-06-11_09h27.15.125,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.005208333,-0.015625,1,0,0,1.4207,rock_grid_rect_2,5,04,-1,-1,1.421,-0.3671875,-0.419270833,1,0,0,8.0681,Obsidian_rect,5,8.068,1,1,0,1,0,1,,,,,,,,,,,,,
6631dd70c1393b01137d8453,TCR,2024-06-11_09h27.15.125,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.053385417,-0.015625,1,0,0,1.4658,rock_grid_rect_2,8,14,-1,-1,1.466,0.424479167,-0.404947917,1,0,0,22.2893,Pumice_rect,8,22.289,1,2,0,2,0,1,,,,,,,,,,,,,
6631dd70c1393b01137d8453,TCR,2024-06-11_09h27.15.125,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.037760417,0.005208333,1,0,0,1.6295,rock_grid_rect_2,3,15,-1,-1,1.63,0.13671875,-0.421875,1,0,0,5.9363,Peridotite_rect,7,5.936,0,3,0,3,0,1,,,,,,,,,,,,,
6631dd70c1393b01137d8453,TCR,2024-06-11_09h27.15.125,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.026041667,-0.016927083,1,0,0,1.4222,rock_grid_rect_2,3,02,-1,-1,1.422,0.100260417,-0.24609375,1,0,0,3.0174,Diorite_rect,3,3.017,1,4,0,4,0,1,,,,,,,,,,,,,
6631dd70c1393b01137d8453,TCR,2024-06-11_09h27.15.125,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.028645833,-0.006510417,1,0,0,2.3354,rock_grid_rect_2,7,10,-1,-1,2.335,-0.08984375,-0.25390625,1,0,0,3.1621,Basalt_rect,2,3.162,0,5,0,5,0,1,,,,,,,,,,,,,
6631dd70c1393b01137d8453,TCR,2024-06-11_09h27.15.125,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,-0.03515625,-0.015625,1,0,0,1.4784,rock_grid_rect_2,1,09,-1,-1,1.478,-0.434895833,-0.24609375,1,0,0,4.7323,Andesite_rect,1,4.732,1,6,0,6,0,1,,,,,,,,,,,,,
6631dd70c1393b01137d8453,TCR,2024-06-11_09h27.15.125,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.131510417,-0.018229167,1,0,0,1.6597,rock_grid_rect_2,5,06,-1,-1,1.66,0.420572917,-0.243489583,1,0,0,2.331,Gabbro_rect,4,2.331,0,7,0,7,0,1,,,,,,,,,,,,,
6631dd70c1393b01137d8453,TCR,2024-06-11_09h27.15.125,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.0625,0.014322917,1,0,0,1.1887,rock_grid_rect_2,6,07,-1,-1,1.189,-0.194010417,-0.385416667,1,0,0,8.0466,Pegmatite_rect,6,8.047,1,8,0,8,0,1,,,,,,,,,,,,,
