participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
663282cdd80779eca86e436d,SCR,2024-06-24_19h47.38.365,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663282cdd80779eca86e436d,SCR,2024-06-24_19h47.38.365,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,-0.236805545,0.108333323,1,0,0,8.8507,Diorite_02,3,02,4,3,8.851,6,03,0.137500021,-0.39652782,1,0,0,15.123,Peridotite_rect,7,15.123,0,0,0,0,0,1,,,,,,,,,,,,,
663282cdd80779eca86e436d,SCR,2024-06-24_19h47.38.365,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.232638889,-0.106944455,1,0,0,3.664,Peridotite_13,7,13,3,6,3.664,1,02,0.441666709,-0.253472222,1,0,0,6.4891,Gabbro_rect,4,6.489,0,1,0,1,0,1,,,,,,,,,,,,,
663282cdd80779eca86e436d,SCR,2024-06-24_19h47.38.365,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.057638857,0.416666667,1,0,0,6.1273,Andesite_01,1,01,6,4,6.127,7,13,0.359722243,-0.402777778,1,0,0,5.3399,Pumice_rect,8,5.34,0,2,0,2,0,1,,,,,,,,,,,,,
663282cdd80779eca86e436d,SCR,2024-06-24_19h47.38.365,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.53611109,-0.441666709,1,0,0,4.7131,Diorite_10,3,10,1,8,4.713,1,14,-0.068055524,-0.247222212,1,0,0,7.5071,Basalt_rect,2,7.507,0,3,0,3,0,1,,,,,,,,,,,,,
663282cdd80779eca86e436d,SCR,2024-06-24_19h47.38.365,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.085416635,-0.104861101,1,0,0,1.6782,Basalt_16,2,16,3,4,1.678,5,14,-0.093055566,-0.393749979,1,0,0,5.6126,Pegmatite_rect,6,5.613,0,4,0,4,0,1,,,,,,,,,,,,,
663282cdd80779eca86e436d,SCR,2024-06-24_19h47.38.365,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.549305558,0.109027783,1,0,0,3.3194,Obsidian_07,5,07,4,1,3.319,8,04,0.39166673,-0.405555619,1,0,0,3.9158,Pumice_rect,8,3.916,0,5,0,5,0,1,,,,,,,,,,,,,
663282cdd80779eca86e436d,SCR,2024-06-24_19h47.38.365,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.400694423,0.43263889,1,0,0,4.871,Gabbro_01,4,01,6,7,4.871,4,01,-0.376388894,-0.231250021,1,0,0,6.8953,Andesite_rect,1,6.895,0,6,0,6,0,1,,,,,,,,,,,,,
663282cdd80779eca86e436d,SCR,2024-06-24_19h47.38.365,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,-0.522222228,-0.411805577,1,0,0,5.1829,Diorite_14,3,14,1,1,5.183,4,14,-0.418055561,-0.24513891,1,0,0,7.0392,Andesite_rect,1,7.039,0,7,0,7,0,1,,,,,,,,,,,,,
663282cdd80779eca86e436d,SCR,2024-06-24_19h47.38.365,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.247916645,-0.139583323,1,0,0,1.7819,Peridotite_13,7,13,3,6,1.782,3,11,0.133333365,-0.404861132,1,0,0,11.0201,Peridotite_rect,7,11.02,1,8,0,8,0,1,,,,,,,,,,,,,
