participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
663a90889439f93f09466d51,TCR,2024-06-25_14h41.18.926,LearnStrategy,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663a90889439f93f09466d51,TCR,2024-06-25_14h41.18.926,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,1,0.041302083,-0.006944444,1,0,0,1.7385,rock_grid_rect_2,7,02,-1,-1,1.739,-0.31296875,-0.250646701,1,0,0,2.6543,Andesite_rect,1,2.654,0,0,0,0,0,1,,,,,,,,,,,,,
663a90889439f93f09466d51,TCR,2024-06-25_14h41.18.926,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,2,0.005585937,-0.009019097,1,0,0,2.2358,rock_grid_rect_2,4,01,-1,-1,2.236,-0.115078125,-0.252287326,1,0,0,2.4247,Basalt_rect,2,2.425,0,1,0,1,0,1,,,,,,,,,,,,,
663a90889439f93f09466d51,TCR,2024-06-25_14h41.18.926,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,3,0.015095486,-0.013841146,1,0,0,1.0043,rock_grid_rect_2,8,08,-1,-1,1.004,0.374110243,-0.413706597,1,0,0,2.4765,Pumice_rect,8,2.477,1,2,0,2,0,1,,,,,,,,,,,,,
663a90889439f93f09466d51,TCR,2024-06-25_14h41.18.926,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,4,0.082899306,-0.021315104,1,0,0,0.932,rock_grid_rect_2,4,12,-1,-1,0.932,-0.117569444,-0.248541667,1,0,0,1.7589,Basalt_rect,2,1.759,0,3,0,3,0,1,,,,,,,,,,,,,
663a90889439f93f09466d51,TCR,2024-06-25_14h41.18.926,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,5,0.046059028,-0.002230903,1,0,0,0.7209,rock_grid_rect_2,1,11,-1,-1,0.721,0.110351563,-0.25719184,1,0,0,1.9749,Diorite_rect,3,1.975,0,4,0,4,0,1,,,,,,,,,,,,,
663a90889439f93f09466d51,TCR,2024-06-25_14h41.18.926,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,6,0.041844618,0.00546441,1,0,0,0.9481,rock_grid_rect_2,3,12,-1,-1,0.948,-0.180381944,-0.380460069,1,0,0,1.7583,Pegmatite_rect,6,1.758,0,5,0,5,0,1,,,,,,,,,,,,,
663a90889439f93f09466d51,TCR,2024-06-25_14h41.18.926,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,7,-0.04015191,0.008216146,1,0,0,1.2149,rock_grid_rect_2,5,05,-1,-1,1.215,-0.347690972,-0.398645833,1,0,0,6.5419,Obsidian_rect,5,6.542,1,6,0,6,0,1,,,,,,,,,,,,,
663a90889439f93f09466d51,TCR,2024-06-25_14h41.18.926,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,8,0.053867187,0.00594184,1,0,0,0.8818,rock_grid_rect_2,2,12,-1,-1,0.882,-0.362148437,-0.230694444,1,0,0,1.9267,Andesite_rect,1,1.927,0,7,0,7,0,1,,,,,,,,,,,,,
663a90889439f93f09466d51,TCR,2024-06-25_14h41.18.926,LearnStrategy,2023.2.3,MacIntel,60.24096386,1,1,9,0.10078559,-0.009765625,1,0,0,1.1993,rock_grid_rect_2,3,07,-1,-1,1.199,-0.322482639,-0.249778646,1,0,0,3.5265,Andesite_rect,1,3.526,0,8,0,8,0,1,,,,,,,,,,,,,
