participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
663cb982130f1384c9988214,TCR,2024-06-24_13h43.08.291,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663cb982130f1384c9988214,TCR,2024-06-24_13h43.08.291,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.017592607,-0.001851859,1,0,0,4.3163,rock_grid_rect_2,8,15,-1,-1,4.316,-0.152777778,-0.240740741,1,0,0,23.967,Basalt_rect,2,23.967,0,0,0,0,0,1,,,,,,,,,,,,,
663cb982130f1384c9988214,TCR,2024-06-24_13h43.08.291,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.065740727,0.008333312,1,0,0,1.4459,rock_grid_rect_2,3,15,-1,-1,1.446,0.065740727,-0.262962977,1,0,0,14.0667,Diorite_rect,3,14.067,1,1,0,1,0,1,,,,,,,,,,,,,
663cb982130f1384c9988214,TCR,2024-06-24_13h43.08.291,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.071296339,0.002777771,1,0,0,1.3818,rock_grid_rect_2,4,11,-1,-1,1.382,-0.107407393,-0.240740741,1,0,0,13.5773,Basalt_rect,2,13.577,0,2,0,2,0,1,,,,,,,,,,,,,
663cb982130f1384c9988214,TCR,2024-06-24_13h43.08.291,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.060185185,-0.006481489,1,0,0,2.0138,rock_grid_rect_2,2,05,-1,-1,2.014,-0.469444452,-0.415740755,1,0,0,11.4301,Obsidian_rect,5,11.43,0,3,0,3,0,1,,,,,,,,,,,,,
663cb982130f1384c9988214,TCR,2024-06-24_13h43.08.291,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,-0.000925912,-0.003703718,1,0,0,2.9369,rock_grid_rect_2,5,16,-1,-1,2.937,-0.365740741,-0.410185213,1,0,0,2.7251,Obsidian_rect,5,2.725,1,4,0,4,0,1,,,,,,,,,,,,,
663cb982130f1384c9988214,TCR,2024-06-24_13h43.08.291,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.054629644,-0.0074074,1,0,0,1.4319,rock_grid_rect_2,6,13,-1,-1,1.432,-0.061111097,-0.407407407,1,0,0,14.4204,Pegmatite_rect,6,14.42,1,5,0,5,0,1,,,,,,,,,,,,,
663cb982130f1384c9988214,TCR,2024-06-24_13h43.08.291,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.033333319,0.011111118,1,0,0,1.1113,rock_grid_rect_2,2,10,-1,-1,1.111,-0.324999986,-0.236111111,1,0,0,8.9882,Andesite_rect,1,8.988,0,6,0,6,0,1,,,,,,,,,,,,,
663cb982130f1384c9988214,TCR,2024-06-24_13h43.08.291,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.059259273,0.009259259,1,0,0,1.5602,rock_grid_rect_2,7,06,-1,-1,1.56,-0.140740712,-0.40370369,1,0,0,28.9263,Pegmatite_rect,6,28.926,0,7,0,7,0,1,,,,,,,,,,,,,
663cb982130f1384c9988214,TCR,2024-06-24_13h43.08.291,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.035185213,0.006481489,1,0,0,1.4637,rock_grid_rect_2,3,13,-1,-1,1.464,-0.088888875,-0.386111153,1,0,0,40.3239,Pegmatite_rect,6,40.324,0,8,0,8,0,1,,,,,,,,,,,,,
