participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,1,0.538871528,0.262795139,1,0,0,6.7698,Peridotite_13,7,13,5,8,6.77,-0.362456597,-0.242630208,1,0,0,6.776,Andesite_rect,1,6.776,0,0,0,0,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,2,-0.059791667,-0.098637153,1,0,0,3.3991,Obsidian_11,5,11,3,4,3.399,-0.377886285,-0.410186632,1,0,0,3.0331,Obsidian_rect,5,3.033,1,1,0,1,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,3,-0.550729167,0.257165799,1,0,0,7.9833,Diorite_13,3,13,5,1,7.983,-0.122747396,-0.25609375,1,0,0,8.7318,Basalt_rect,2,8.732,0,2,0,2,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,4,-0.233007812,-0.116536458,1,0,0,2.6993,Pegmatite_10,6,10,3,3,2.699,0.315095486,-0.231861979,1,0,0,9.4318,Gabbro_rect,4,9.432,0,3,0,3,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,5,0.247552083,0.072291667,1,0,0,11.8991,Obsidian_12,5,12,4,6,11.899,-0.091232639,-0.257230903,1,0,0,11.9829,Basalt_rect,2,11.983,0,4,0,4,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,6,-0.585182292,0.104084201,1,0,0,9.6162,Obsidian_06,5,06,4,1,9.616,-0.061236979,-0.239405382,1,0,0,5.9666,Basalt_rect,2,5.967,0,5,0,5,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,7,0.246597222,-0.408159722,1,0,0,1.0149,Andesite_03,1,03,1,6,1.015,-0.440321181,-0.246414931,1,0,0,4.8102,Andesite_rect,1,4.81,1,6,0,6,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,8,0.242790799,-0.246571181,1,0,0,1.5817,Andesite_04,1,04,2,6,1.582,0.398337674,-0.395429688,1,0,0,6.4444,Pumice_rect,8,6.444,0,7,0,7,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,9,-0.43030816,-0.250928819,1,0,0,2.414,Pumice_08,8,08,2,2,2.414,0.333346354,-0.386180556,1,0,0,3.794,Pumice_rect,8,3.794,1,8,0,8,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,10,0.090091146,-0.106801215,1,0,0,1.7485,Pumice_02,8,02,3,5,1.749,0.391931424,-0.240086806,1,0,0,4.1609,Gabbro_rect,4,4.161,0,9,0,9,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,11,0.212356771,0.408780382,1,0,0,1.2826,Pumice_05,8,05,6,6,1.283,0.380499132,-0.396736111,1,0,0,3.2246,Pumice_rect,8,3.225,1,10,0,10,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,12,-0.564309896,-0.088142361,1,0,0,3.5326,Andesite_07,1,07,3,1,3.533,0.470030382,-0.239444444,1,0,0,14.267,Gabbro_rect,4,14.267,0,11,0,11,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,13,0.066336806,-0.232109375,1,0,0,1.1486,Pumice_16,8,16,2,5,1.149,0.397352431,-0.407847222,1,0,0,3.8606,Pumice_rect,8,3.861,1,12,0,12,0,1,,,,,,,,,,,,,
664002d8362e289ab160faee,SCN,2024-06-11_12h23.14.860,LearnStrategy,2023.2.3,MacIntel,59.88023952,1,1,14,0.408823785,-0.240225694,1,0,0,1.1987,Basalt_04,2,04,2,7,1.199,-0.382899306,-0.244006076,1,0,0,12.7942,Andesite_rect,1,12.794,0,13,0,13,0,1,,,,,,,,,,,,,
