participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,1,-0.235416667,0.094791667,1,0,0,13.4146,Obsidian_02,5,02,4,3,13.415,-0.365625,-0.391666667,1,0,0,2.7387,Obsidian_rect,5,2.739,1,0,0,0,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,2,0.402083333,-0.40625,1,0,0,4.3868,Pumice_08,8,08,1,7,4.387,0.384375,-0.404166667,1,0,0,7.0373,Pumice_rect,8,7.037,1,1,0,1,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,3,-0.064583333,-0.257291667,1,0,0,13.7979,Peridotite_13,7,13,2,4,13.798,0.159375,-0.247916667,1,0,0,12.5847,Diorite_rect,3,12.585,0,2,0,2,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,4,-0.084375,0.245833333,1,0,0,10.8465,Pegmatite_16,6,16,5,4,10.846,0.148958333,-0.241666667,1,0,0,11.9357,Diorite_rect,3,11.936,0,3,0,3,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,5,-0.572916667,-0.398958333,1,0,0,3.854,Pumice_16,8,16,1,1,3.854,-0.083333333,-0.251041667,1,0,0,7.3502,Basalt_rect,2,7.35,0,4,0,4,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,6,-0.429166667,0.425,1,0,0,3.6235,Peridotite_04,7,04,6,2,3.624,0.098958333,-0.239583333,1,0,0,8.01,Diorite_rect,3,8.01,0,5,0,5,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,7,0.548958333,0.227083333,1,0,0,2.3291,Diorite_10,3,10,5,8,2.329,-0.113541667,-0.254166667,1,0,0,9.2701,Basalt_rect,2,9.27,0,6,0,6,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,8,-0.076041667,0.447916667,1,0,0,3.1687,Andesite_02,1,02,6,4,3.169,0.115625,-0.232291667,1,0,0,7.2186,Diorite_rect,3,7.219,0,7,0,7,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,9,-0.54375,0.242708333,1,0,0,2.2131,Gabbro_13,4,13,5,1,2.213,-0.136458333,-0.247916667,1,0,0,3.5314,Basalt_rect,2,3.531,0,8,0,8,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,10,0.380208333,-0.0875,1,0,0,3.8291,Gabbro_14,4,14,3,7,3.829,0.3625,-0.2375,1,0,0,2.0299,Gabbro_rect,4,2.03,1,9,0,9,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,11,0.075,-0.405208333,1,0,0,6.7136,Gabbro_03,4,03,1,5,6.714,0.128125,-0.238541667,1,0,0,10.2282,Diorite_rect,3,10.228,0,10,0,10,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,12,-0.226041667,0.253125,1,0,0,2.8201,Pegmatite_11,6,11,5,3,2.82,0.134375,-0.385416667,1,0,0,10.002,Peridotite_rect,7,10.002,0,11,0,11,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,13,0.221875,0.404166667,1,0,0,6.3859,Basalt_09,2,09,6,6,6.386,-0.140625,-0.254166667,1,0,0,2.8782,Basalt_rect,2,2.878,1,12,0,12,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,14,0.214583333,-0.239583333,1,0,0,4.6636,Basalt_04,2,04,2,6,4.664,-0.082291667,-0.23125,1,0,0,1.327,Basalt_rect,2,1.327,1,13,0,13,0,1,,,,,,,,,,,,,
6643b96e963b9b0cf7d216f3,SCN,2024-06-25_14h30.52.257,LearnStrategy,2023.2.3,Win32,5.460065084,1,1,15,-0.217708333,0.415625,1,0,0,5.2023,Diorite_08,3,08,6,3,5.202,-0.409375,-0.251041667,1,0,0,3.4187,Andesite_rect,1,3.419,0,14,0,14,0,1,,,,,,,,,,,,,
