participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6643bc4b7c72a9f1bcb44c5d,TCR,2024-06-25_14h26.42.640,LearnStrategy,2023.2.3,Win32,15.01501502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6643bc4b7c72a9f1bcb44c5d,TCR,2024-06-25_14h26.42.640,LearnStrategy,2023.2.3,Win32,15.01501502,1,1,1,0.081904762,-0.008571429,1,0,0,12.3223,rock_grid_rect_2,3,14,-1,-1,12.322,0.171428571,-0.25047619,1,0,0,49.1769,Diorite_rect,3,49.177,1,0,0,0,0,1,,,,,,,,,,,,,
6643bc4b7c72a9f1bcb44c5d,TCR,2024-06-25_14h26.42.640,LearnStrategy,2023.2.3,Win32,15.01501502,1,1,2,0.065714286,-0.001904762,1,0,0,1.6012,rock_grid_rect_2,5,02,-1,-1,1.601,-0.356190476,-0.404761905,1,0,0,30.0036,Obsidian_rect,5,30.004,1,1,0,1,0,1,,,,,,,,,,,,,
6643bc4b7c72a9f1bcb44c5d,TCR,2024-06-25_14h26.42.640,LearnStrategy,2023.2.3,Win32,15.01501502,1,1,3,0.08,0.011428571,1,0,0,1.6668,rock_grid_rect_2,4,01,-1,-1,1.667,-0.405714286,-0.256190476,1,0,0,53.2157,Andesite_rect,1,53.216,0,2,0,2,0,1,,,,,,,,,,,,,
6643bc4b7c72a9f1bcb44c5d,TCR,2024-06-25_14h26.42.640,LearnStrategy,2023.2.3,Win32,15.01501502,1,1,4,0.044761905,0.000952381,1,0,0,1.1995,rock_grid_rect_2,4,05,-1,-1,1.2,0.166666667,-0.394285714,1,0,0,65.421,Peridotite_rect,7,65.421,0,3,0,3,0,1,,,,,,,,,,,,,
6643bc4b7c72a9f1bcb44c5d,TCR,2024-06-25_14h26.42.640,LearnStrategy,2023.2.3,Win32,15.01501502,1,1,5,-0.063809524,-0.022857143,1,0,0,10.661,rock_grid_rect_2,8,10,-1,-1,10.661,0.400952381,-0.414285714,1,0,0,22.0772,Pumice_rect,8,22.077,1,4,0,4,0,1,,,,,,,,,,,,,
6643bc4b7c72a9f1bcb44c5d,TCR,2024-06-25_14h26.42.640,LearnStrategy,2023.2.3,Win32,15.01501502,1,1,6,0.057142857,0.004761905,1,0,0,1.1674,rock_grid_rect_2,1,03,-1,-1,1.167,0.147619048,-0.400952381,1,0,0,33.2026,Peridotite_rect,7,33.203,0,5,0,5,0,1,,,,,,,,,,,,,
6643bc4b7c72a9f1bcb44c5d,TCR,2024-06-25_14h26.42.640,LearnStrategy,2023.2.3,Win32,15.01501502,1,1,7,0.06952381,0.003809524,1,0,0,1.0487,rock_grid_rect_2,7,05,-1,-1,1.049,-0.346666667,-0.247619048,1,0,0,33.6436,Andesite_rect,1,33.644,0,6,0,6,0,1,,,,,,,,,,,,,
6643bc4b7c72a9f1bcb44c5d,TCR,2024-06-25_14h26.42.640,LearnStrategy,2023.2.3,Win32,15.01501502,1,1,8,-0.007619048,-0.011428571,1,0,0,6.7933,rock_grid_rect_2,3,11,-1,-1,6.793,0.115238095,-0.253333333,1,0,0,43.53,Diorite_rect,3,43.53,1,7,0,7,0,1,,,,,,,,,,,,,
6643bc4b7c72a9f1bcb44c5d,TCR,2024-06-25_14h26.42.640,LearnStrategy,2023.2.3,Win32,15.01501502,1,1,9,-0.016190476,0.008571429,1,0,0,1.2269,rock_grid_rect_2,7,08,-1,-1,1.227,-0.395238095,-0.251428571,1,0,0,49.9707,Andesite_rect,1,49.971,0,8,0,8,0,1,,,,,,,,,,,,,
