participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
664521606b8ee569d8076068,TCN,2024-06-11_12h10.46.281,LearnStrategy,2023.2.3,Linux armv81,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664521606b8ee569d8076068,TCN,2024-06-11_12h10.46.281,LearnStrategy,2023.2.3,Linux armv81,120.4819277,1,1,1,0.124133286,-0.001733724,1,0,0,3.113,rock_grid_rect_2,7,13,-1,-1,3.113,0.173370361,-0.256241437,1,0,0,1.8613,Diorite_rect,3,1.861,0,0,0,0,0,1,,,,,,,,,,,,,
664521606b8ee569d8076068,TCN,2024-06-11_12h10.46.281,LearnStrategy,2023.2.3,Linux armv81,120.4819277,1,1,2,-0.108876497,0.003120645,1,0,0,0.8928,rock_grid_rect_2,6,09,-1,-1,0.893,-0.113730866,-0.41643576,1,0,0,2.0944,Pegmatite_rect,6,2.094,1,1,0,1,0,1,,,,,,,,,,,,,
664521606b8ee569d8076068,TCN,2024-06-11_12h10.46.281,LearnStrategy,2023.2.3,Linux armv81,120.4819277,1,1,3,0.136615864,-0.006588093,1,0,0,1.2273,rock_grid_rect_2,1,03,-1,-1,1.227,0.438973658,-0.403259425,1,0,0,1.2268,Pumice_rect,8,1.227,0,2,0,2,0,1,,,,,,,,,,,,,
664521606b8ee569d8076068,TCN,2024-06-11_12h10.46.281,LearnStrategy,2023.2.3,Linux armv81,120.4819277,1,1,4,0.142857153,0.020457666,1,0,0,0.6391,rock_grid_rect_2,7,02,-1,-1,0.639,-0.389042993,-0.261789266,1,0,0,0.8317,Andesite_rect,1,0.832,0,3,0,3,0,1,,,,,,,,,,,,,
664521606b8ee569d8076068,TCN,2024-06-11_12h10.46.281,LearnStrategy,2023.2.3,Linux armv81,120.4819277,1,1,5,0.088765672,-0.001040264,1,0,0,1.3762,rock_grid_rect_2,5,09,-1,-1,1.376,-0.390429941,-0.412968163,1,0,0,0.8712,Obsidian_rect,5,0.871,1,4,0,4,0,1,,,,,,,,,,,,,
664521606b8ee569d8076068,TCN,2024-06-11_12h10.46.281,LearnStrategy,2023.2.3,Linux armv81,120.4819277,1,1,6,0.153952886,0.021151052,1,0,0,0.6387,rock_grid_rect_2,5,06,-1,-1,0.639,0.146324602,-0.238904342,1,0,0,1.5982,Diorite_rect,3,1.598,0,5,0,5,0,1,,,,,,,,,,,,,
664521606b8ee569d8076068,TCN,2024-06-11_12h10.46.281,LearnStrategy,2023.2.3,Linux armv81,120.4819277,1,1,7,0.025658876,-0.012829531,1,0,0,1.6732,rock_grid_rect_2,2,16,-1,-1,1.673,-0.169209378,-0.262482875,1,0,0,0.9275,Basalt_rect,2,0.927,1,6,0,6,0,1,,,,,,,,,,,,,
664521606b8ee569d8076068,TCN,2024-06-11_12h10.46.281,LearnStrategy,2023.2.3,Linux armv81,120.4819277,1,1,8,0.096393919,-0.016296831,1,0,0,0.9455,rock_grid_rect_2,2,12,-1,-1,0.945,0.375173402,-0.417822532,1,0,0,1.1412,Pumice_rect,8,1.141,0,7,0,7,0,1,,,,,,,,,,,,,
664521606b8ee569d8076068,TCN,2024-06-11_12h10.46.281,LearnStrategy,2023.2.3,Linux armv81,120.4819277,1,1,9,0.042302437,-0.023231654,1,0,0,1.087,rock_grid_rect_2,8,03,-1,-1,1.087,-0.147711485,-0.410887931,1,0,0,0.6347,Pegmatite_rect,6,0.635,0,8,0,8,0,1,,,,,,,,,,,,,
