participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6647687c4e426658c608e92e,TCN,2024-06-24_14h43.47.245,LearnStrategy,2023.2.3,Win32,75.18796992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6647687c4e426658c608e92e,TCN,2024-06-24_14h43.47.245,LearnStrategy,2023.2.3,Win32,75.18796992,1,1,1,0.030555556,-0.002777778,1,0,0,2.2718,rock_grid_rect_2,8,15,-1,-1,2.272,0.185185185,-0.257407407,1,0,0,4.3642,Diorite_rect,3,4.364,0,0,0,0,0,1,,,,,,,,,,,,,
6647687c4e426658c608e92e,TCN,2024-06-24_14h43.47.245,LearnStrategy,2023.2.3,Win32,75.18796992,1,1,2,0.053703704,0.007407407,1,0,0,1.5018,rock_grid_rect_2,1,09,-1,-1,1.502,-0.107407407,-0.25,1,0,0,5.5219,Basalt_rect,2,5.522,0,1,0,1,0,1,,,,,,,,,,,,,
6647687c4e426658c608e92e,TCN,2024-06-24_14h43.47.245,LearnStrategy,2023.2.3,Win32,75.18796992,1,1,3,-0.094444444,0.001851852,1,0,0,1.1319,rock_grid_rect_2,6,13,-1,-1,1.132,-0.07962963,-0.257407407,1,0,0,7.9225,Basalt_rect,2,7.922,0,2,0,2,0,1,,,,,,,,,,,,,
6647687c4e426658c608e92e,TCN,2024-06-24_14h43.47.245,LearnStrategy,2023.2.3,Win32,75.18796992,1,1,4,-0.060185185,-0.012037037,1,0,0,1.3172,rock_grid_rect_2,1,16,-1,-1,1.317,0.330555556,-0.252777778,1,0,0,2.6324,Gabbro_rect,4,2.632,0,3,0,3,0,1,,,,,,,,,,,,,
6647687c4e426658c608e92e,TCN,2024-06-24_14h43.47.245,LearnStrategy,2023.2.3,Win32,75.18796992,1,1,5,-0.102777778,0.00462963,1,0,0,1.2703,rock_grid_rect_2,3,14,-1,-1,1.27,-0.158333333,-0.403703704,1,0,0,3.6652,Pegmatite_rect,6,3.665,0,4,0,4,0,1,,,,,,,,,,,,,
6647687c4e426658c608e92e,TCN,2024-06-24_14h43.47.245,LearnStrategy,2023.2.3,Win32,75.18796992,1,1,6,0.030555556,0.000925926,1,0,0,1.7193,rock_grid_rect_2,4,11,-1,-1,1.719,-0.312037037,-0.233333333,1,0,0,3.7721,Andesite_rect,1,3.772,0,5,0,5,0,1,,,,,,,,,,,,,
6647687c4e426658c608e92e,TCN,2024-06-24_14h43.47.245,LearnStrategy,2023.2.3,Win32,75.18796992,1,1,7,0.043518519,-0.001851852,1,0,0,1.4119,rock_grid_rect_2,6,05,-1,-1,1.412,0.084259259,-0.4,1,0,0,3.0362,Peridotite_rect,7,3.036,0,6,0,6,0,1,,,,,,,,,,,,,
6647687c4e426658c608e92e,TCN,2024-06-24_14h43.47.245,LearnStrategy,2023.2.3,Win32,75.18796992,1,1,8,0.033333333,-0.014814815,1,0,0,1.1716,rock_grid_rect_2,5,04,-1,-1,1.172,-0.357407407,-0.37962963,1,0,0,1.129,Obsidian_rect,5,1.129,1,7,0,7,0,1,,,,,,,,,,,,,
6647687c4e426658c608e92e,TCN,2024-06-24_14h43.47.245,LearnStrategy,2023.2.3,Win32,75.18796992,1,1,9,0.028703704,-0.02037037,1,0,0,0.9575,rock_grid_rect_2,2,05,-1,-1,0.957,-0.336111111,-0.265740741,1,0,0,4.2849,Andesite_rect,1,4.285,0,8,0,8,0,1,,,,,,,,,,,,,
