participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,1,0.089679173,0.004646247,1,0,0,7.4743,rock_grid_rect_2,2,01,-1,-1,7.474,-0.071439198,-0.249819619,1,0,0,5.1219,Basalt_rect,2,5.122,1,0,0,0,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,2,-0.053104564,-0.004602759,1,0,0,1.3646,rock_grid_rect_2,5,14,-1,-1,1.365,-0.060678973,-0.416573552,1,0,0,3.1224,Pegmatite_rect,6,3.122,0,1,0,1,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,3,-0.064046424,-0.002747345,1,0,0,1.5321,rock_grid_rect_2,3,09,-1,-1,1.532,-0.33563652,-0.239328984,1,0,0,3.014,Andesite_rect,1,3.014,0,2,0,2,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,4,-0.02953137,-0.010143171,1,0,0,1.364,rock_grid_rect_2,8,08,-1,-1,1.364,0.142533221,-0.253786795,1,0,0,1.7735,Diorite_rect,3,1.774,0,3,0,3,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,5,-0.004115731,-0.019540896,1,0,0,1.3481,rock_grid_rect_2,3,06,-1,-1,1.348,-0.360472352,-0.262560054,1,0,0,5.0522,Andesite_rect,1,5.052,0,4,0,4,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,6,0.072342518,0.00596744,1,0,0,1.1129,rock_grid_rect_2,7,14,-1,-1,1.113,0.0904862,-0.238610131,1,0,0,3.0312,Diorite_rect,3,3.031,0,5,0,5,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,7,-0.083631352,-0.015513938,1,0,0,1.0829,rock_grid_rect_2,1,14,-1,-1,1.083,0.109984643,-0.394968796,1,0,0,7.4313,Peridotite_rect,7,7.431,0,6,0,6,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,8,-0.072562463,-0.021593693,1,0,0,1.3805,rock_grid_rect_2,6,10,-1,-1,1.381,-0.184491675,-0.401686532,1,0,0,2.2417,Pegmatite_rect,6,2.242,1,7,0,7,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,9,-0.067695836,3.52587E-05,1,0,0,1.1498,rock_grid_rect_2,7,16,-1,-1,1.15,-0.105378669,-0.244391033,1,0,0,2.2904,Basalt_rect,2,2.29,0,8,0,8,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,10,0.033074461,-0.003970173,1,0,0,0.9821,rock_grid_rect_2,5,09,-1,-1,0.982,0.332819584,-0.266209957,1,0,0,3.2047,Gabbro_rect,4,3.205,0,9,0,9,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,11,-0.020581763,-0.008951787,1,0,0,0.9484,rock_grid_rect_2,4,12,-1,-1,0.948,-0.344889368,-0.263626153,1,0,0,1.7059,Andesite_rect,1,1.706,0,10,0,10,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,12,-0.029605539,-0.022084481,1,0,0,1.0824,rock_grid_rect_2,6,13,-1,-1,1.082,0.088659232,-0.391580963,1,0,0,1.7405,Peridotite_rect,7,1.74,0,11,0,11,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,13,-0.093863406,-0.006271526,1,0,0,1.0824,rock_grid_rect_2,8,15,-1,-1,1.082,0.18374067,-0.405674308,1,0,0,3.2808,Peridotite_rect,7,3.281,0,12,0,12,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,14,0.011712211,-0.008535821,1,0,0,1.0491,rock_grid_rect_2,2,08,-1,-1,1.049,-0.088591875,-0.266247613,1,0,0,1.8387,Basalt_rect,2,1.839,1,13,0,13,0,1,,,,,,,,,,,,
664a0c46ebbf1d6142d8695e,TCN,2024-06-10_15h14.12.867,LearnStrategy,2023.2.3,MacIntel,59.52380952,1,1,15,-0.090692084,-0.016391264,1,0,0,1.1324,rock_grid_rect_2,4,11,-1,-1,1.132,-0.368674115,-0.417364938,1,0,0,2.6284,Obsidian_rect,5,2.628,0,14,0,14,0,1,,,,,,,,,,,,
