participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,0.008333333,-0.006481481,1,0,0,2.7048,rock_grid_rect_2,3,11,-1,-1,2.705,-0.37037037,-0.258333333,1,0,0,12.0689,Andesite_rect,1,12.069,0,0,0,0,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,-0.012962963,-0.006481481,1,0,0,2.2089,rock_grid_rect_2,7,12,-1,-1,2.209,-0.114814815,-0.403703704,1,0,0,9.5964,Pegmatite_rect,6,9.596,0,1,0,1,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.000925926,-0.00462963,1,0,0,2.9073,rock_grid_rect_2,3,08,-1,-1,2.907,-0.132407407,-0.25462963,1,0,0,9.7294,Basalt_rect,2,9.729,0,2,0,2,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,-0.017592593,0.002777778,1,0,0,1.7593,rock_grid_rect_2,7,13,-1,-1,1.759,0.442592593,-0.262962963,1,0,0,8.6123,Gabbro_rect,4,8.612,0,3,0,3,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,0.00462963,0.002777778,1,0,0,1.9262,rock_grid_rect_2,5,09,-1,-1,1.926,-0.381481481,-0.388888889,1,0,0,3.6954,Obsidian_rect,5,3.695,1,4,0,4,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,0.014814815,0.002777778,1,0,0,1.3424,rock_grid_rect_2,1,02,-1,-1,1.342,-0.106481481,-0.271296296,1,0,0,7.7286,Basalt_rect,2,7.729,0,5,0,5,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,-0.013888889,0,1,0,0,1.9761,rock_grid_rect_2,2,02,-1,-1,1.976,-0.106481481,-0.268518519,1,0,0,5.3955,Basalt_rect,2,5.395,1,6,0,6,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,0.003703704,-0.011111111,1,0,0,1.2924,rock_grid_rect_2,4,12,-1,-1,1.292,0.099074074,-0.412037037,1,0,0,6.4281,Peridotite_rect,7,6.428,0,7,0,7,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,-0.002777778,-0.006481481,1,0,0,1.5759,rock_grid_rect_2,6,16,-1,-1,1.576,-0.125,-0.418518519,1,0,0,8.7957,Pegmatite_rect,6,8.796,1,8,0,8,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,10,-0.028703704,-0.008333333,1,0,0,1.2081,rock_grid_rect_2,6,12,-1,-1,1.208,0.412037037,-0.408333333,1,0,0,19.7129,Pumice_rect,8,19.713,0,9,0,9,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,11,0.000925926,-0.000925926,1,0,0,1.3925,rock_grid_rect_2,1,07,-1,-1,1.392,-0.362037037,-0.263888889,1,0,0,6.2294,Andesite_rect,1,6.229,1,10,0,10,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,12,0.013888889,0.00462963,1,0,0,1.3312,rock_grid_rect_2,8,15,-1,-1,1.331,0.427777778,-0.401851852,1,0,0,6.7952,Pumice_rect,8,6.795,1,11,0,11,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,13,0.016666667,-0.013888889,1,0,0,1.1642,rock_grid_rect_2,8,10,-1,-1,1.164,0.373148148,-0.412962963,1,0,0,4.2624,Pumice_rect,8,4.262,1,12,0,12,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,14,0.025,0.00462963,1,0,0,1.0645,rock_grid_rect_2,5,02,-1,-1,1.065,-0.362037037,-0.399074074,1,0,0,1.8608,Obsidian_rect,5,1.861,1,13,0,13,0,1,,,,,,,,,,,,,
665696a90e34e3e67cfcfdc0,TCN,2024-06-24_17h32.52.085,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,15,0.042592593,0.00462963,1,0,0,1.1811,rock_grid_rect_2,2,11,-1,-1,1.181,-0.09537037,-0.250925926,1,0,0,2.7295,Basalt_rect,2,2.73,1,14,0,14,0,1,,,,,,,,,,,,,
