participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6661c509d988597a6c057ecc,TCN,2024-06-11_18h13.51.999,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6661c509d988597a6c057ecc,TCN,2024-06-11_18h13.51.999,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.035185242,-0.001851866,1,0,0,4.5482,rock_grid_rect_2,7,16,-1,-1,4.548,-0.116666667,-0.388888889,1,0,0,7.5441,Pegmatite_rect,6,7.544,0,0,0,0,0,1,,,,,,,,,,,,,
6661c509d988597a6c057ecc,TCN,2024-06-11_18h13.51.999,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,0.049074131,-0.003703732,1,0,0,2.8308,rock_grid_rect_2,4,03,-1,-1,2.831,-0.354629601,-0.378703732,1,0,0,5.2444,Obsidian_rect,5,5.244,0,1,0,1,0,1,,,,,,,,,,,,,
6661c509d988597a6c057ecc,TCN,2024-06-11_18h13.51.999,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,0.153703732,-0.014814843,1,0,0,1.8985,rock_grid_rect_2,5,12,-1,-1,1.899,-0.37870369,-0.395370399,1,0,0,5.8733,Obsidian_rect,5,5.873,1,2,0,2,0,1,,,,,,,,,,,,,
6661c509d988597a6c057ecc,TCN,2024-06-11_18h13.51.999,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,0.152777778,0.011111111,1,0,0,1.4338,rock_grid_rect_2,1,14,-1,-1,1.434,-0.089814758,-0.250925954,1,0,0,8.2803,Basalt_rect,2,8.28,0,3,0,3,0,1,,,,,,,,,,,,,
6661c509d988597a6c057ecc,TCN,2024-06-11_18h13.51.999,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.087037065,-0.015740755,1,0,0,1.1662,rock_grid_rect_2,7,13,-1,-1,1.166,-0.177777778,-0.401851908,1,0,0,6.763,Pegmatite_rect,6,6.763,0,4,0,4,0,1,,,,,,,,,,,,,
6661c509d988597a6c057ecc,TCN,2024-06-11_18h13.51.999,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,0.043518575,-0.012037065,1,0,0,1.93,rock_grid_rect_2,5,09,-1,-1,1.93,-0.39351849,-0.416666667,1,0,0,3.5406,Obsidian_rect,5,3.541,1,5,0,5,0,1,,,,,,,,,,,,,
6661c509d988597a6c057ecc,TCN,2024-06-11_18h13.51.999,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.069444444,-0.008333333,1,0,0,1.2999,rock_grid_rect_2,3,15,-1,-1,1.3,0.401851908,-0.248148176,1,0,0,3.711,Gabbro_rect,4,3.711,0,6,0,6,0,1,,,,,,,,,,,,,
6661c509d988597a6c057ecc,TCN,2024-06-11_18h13.51.999,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,0.089814843,0.010185157,1,0,0,1.7327,rock_grid_rect_2,1,10,-1,-1,1.733,0.171296353,-0.269444444,1,0,0,4.8991,Diorite_rect,3,4.899,0,7,0,7,0,1,,,,,,,,,,,,,
6661c509d988597a6c057ecc,TCN,2024-06-11_18h13.51.999,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.125925954,-0.00648151,1,0,0,2.6688,rock_grid_rect_2,8,06,-1,-1,2.669,-0.367592578,-0.251851908,1,0,0,4.7843,Andesite_rect,1,4.784,0,8,0,8,0,1,,,,,,,,,,,,,
