participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,1,-0.548101266,0.402531646,1,0,0,14.715,Obsidian_08,5,08,6,1,14.715,-0.346835443,-0.392405063,1,0,0,9.565,Obsidian_rect,5,9.565,1,0,0,0,0,1,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,2,0.248101266,-0.088607595,1,0,0,1.391,Diorite_06,3,06,3,6,1.391,-0.062025316,-0.251898734,1,0,0,10.636,Basalt_rect,2,10.636,0,1,0,1,0,1,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,3,-0.040506329,0.240506329,1,0,0,7.278,Peridotite_04,7,04,5,4,7.278,0.496202532,-0.25443038,1,0,0,3.68,Gabbro_rect,4,3.68,0,2,0,2,0,1,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,4,0.117721519,0.239240506,1,0,0,3.97,Pegmatite_16,6,16,5,5,3.97,0.437974684,-0.407594937,1,0,0,7.903,Pumice_rect,8,7.903,0,3,0,3,0,1,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,5,0.092405063,0.411392405,1,0,0,8.786,Pumice_10,8,10,6,5,8.786,0.478481013,-0.250632911,1,0,0,5.339,Gabbro_rect,4,5.339,0,4,0,4,0,1,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,6,0.403797468,-0.429113924,1,0,0,12.279,Pumice_16,8,16,1,7,12.279,0.186075949,-0.246835443,1,0,0,2.875,Diorite_rect,3,2.875,0,5,0,5,0,1,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,7,0.069620253,-0.216455696,1,0,0,5.096,Pumice_09,8,09,2,5,5.096,0.418987342,-0.410126582,1,0,0,2.132,Pumice_rect,8,2.132,1,6,0,6,0,1,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,8,-0.241772152,-0.256962025,1,0,0,5.702,Obsidian_10,5,10,2,3,5.702,-0.348101266,-0.408860759,1,0,0,3.626,Obsidian_rect,5,3.626,1,7,0,7,0,1,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,9,0.243037975,0.239240506,1,0,0,5.037,Gabbro_03,4,03,5,6,5.037,0.194936709,-0.415189873,1,0,0,5.807,Peridotite_rect,7,5.807,0,8,0,8,0,1,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,10,-0.051898734,0.103797468,1,0,0,2.364,Obsidian_07,5,07,4,4,2.364,-0.332911392,-0.411392405,1,0,0,1.357,Obsidian_rect,5,1.357,1,9,0,9,0,1,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,11,0.403797468,0.388607595,1,0,0,10.577,Peridotite_16,7,16,6,7,10.577,-0.075949367,-0.397468354,1,0,0,2.83,Pegmatite_rect,6,2.83,0,10,0,10,0,1,,,,,,,,,,,,
66646a115e9d93996c78ee02,SCN,2024-06-10_15h14.09.604,LearnStrategy,2023.2.3,MacIntel,62.5,1,1,12,0.517721519,-0.111392405,1,0,0,7.159,Pumice_08,8,08,3,8,7.159,0.440506329,-0.420253165,1,0,0,1.725,Pumice_rect,8,1.725,1,11,0,11,0,1,,,,,,,,,,,,
