participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,1,0.0703125,-0.024739583,1,0,0,3.5824,rock_grid_rect_2,8,08,-1,-1,3.582,-0.12890625,-0.229166667,1,0,0,11.3074,Basalt_rect,2,11.307,0,0,0,0,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,2,-0.114583333,-0.014322917,1,0,0,4.5487,rock_grid_rect_2,1,14,-1,-1,4.549,0.151041667,-0.40234375,1,0,0,27.6145,Peridotite_rect,7,27.615,0,1,0,1,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,3,-0.036458333,0.0078125,1,0,0,1.6551,rock_grid_rect_2,7,14,-1,-1,1.655,-0.3359375,-0.23046875,1,0,0,2.8928,Andesite_rect,1,2.893,0,2,0,2,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,4,-0.001302083,-0.018229167,1,0,0,1.0915,rock_grid_rect_2,6,05,-1,-1,1.091,-0.361979167,-0.38671875,1,0,0,2.1656,Obsidian_rect,5,2.166,0,3,0,3,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,5,0.071614583,-0.009114583,1,0,0,1.2068,rock_grid_rect_2,2,08,-1,-1,1.207,-0.1953125,-0.2421875,1,0,0,0.9614,Basalt_rect,2,0.961,1,4,0,4,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,6,-0.00390625,-0.020833333,1,0,0,0.9311,rock_grid_rect_2,4,10,-1,-1,0.931,0.140625,-0.255208333,1,0,0,2.0438,Diorite_rect,3,2.044,0,5,0,5,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,7,0.083333333,-0.0234375,1,0,0,0.9609,rock_grid_rect_2,3,14,-1,-1,0.961,0.40234375,-0.263020833,1,0,0,1.3761,Gabbro_rect,4,1.376,0,6,0,6,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,8,-0.020833333,-0.013020833,1,0,0,0.8925,rock_grid_rect_2,5,10,-1,-1,0.892,-0.41796875,-0.39453125,1,0,0,1.532,Obsidian_rect,5,1.532,1,7,0,7,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,9,0.080729167,-0.01953125,1,0,0,0.8876,rock_grid_rect_2,2,05,-1,-1,0.888,-0.141927083,-0.419270833,1,0,0,1.1332,Pegmatite_rect,6,1.133,0,8,0,8,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,10,0.018229167,-0.010416667,1,0,0,1.1989,rock_grid_rect_2,8,04,-1,-1,1.199,-0.06640625,-0.23046875,1,0,0,0.6153,Basalt_rect,2,0.615,0,9,0,9,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,11,-0.00390625,-0.009114583,1,0,0,0.6939,rock_grid_rect_2,7,07,-1,-1,0.694,0.30859375,-0.404947917,1,0,0,1.6424,Pumice_rect,8,1.642,0,10,0,10,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,12,0.075520833,0.006510417,1,0,0,0.7275,rock_grid_rect_2,6,08,-1,-1,0.727,0.096354167,-0.2578125,1,0,0,0.9068,Diorite_rect,3,0.907,0,11,0,11,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,13,0.07421875,-0.016927083,1,0,0,0.9752,rock_grid_rect_2,4,16,-1,-1,0.975,0.048177083,-0.399739583,1,0,0,1.6083,Peridotite_rect,7,1.608,0,12,0,12,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,14,0.079427083,-0.022135417,1,0,0,0.7593,rock_grid_rect_2,1,07,-1,-1,0.759,-0.365885417,-0.236979167,1,0,0,2.3626,Andesite_rect,1,2.363,1,13,0,13,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,15,0.083333333,0.002604167,1,0,0,1.5099,rock_grid_rect_2,5,11,-1,-1,1.51,-0.389322917,-0.38671875,1,0,0,3.2942,Obsidian_rect,5,3.294,1,14,0,14,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,1,16,0.078125,-0.018229167,1,0,0,0.8236,rock_grid_rect_2,3,08,-1,-1,0.824,-0.1953125,-0.2578125,1,0,0,0.9362,Basalt_rect,2,0.936,0,15,0,15,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,1,,,,,,,,7,10,,,,,,,,,,,2,3.061,0,,,,,,-0.08203125,-0.25390625,1,0,0,3.0609,Basalt_rect,0,0,0,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,2,,,,,,,,3,16,,,,,,,,,,,3,1.308,1,,,,,,0.123697917,-0.26953125,1,0,0,1.3082,Diorite_rect,1,0,1,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,3,,,,,,,,6,07,,,,,,,,,,,7,43.436,0,,,,,,0.223958333,-0.397135417,1,0,0,43.4365,Peridotite_rect,2,0,2,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,4,,,,,,,,8,06,,,,,,,,,,,8,3.357,1,,,,,,0.358072917,-0.411458333,1,0,0,3.3574,Pumice_rect,3,0,3,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,5,,,,,,,,3,09,,,,,,,,,,,3,11.384,1,,,,,,0.119791667,-0.248697917,1,0,0,11.3838,Diorite_rect,4,0,4,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,6,,,,,,,,2,09,,,,,,,,,,,2,9.488,1,,,,,,-0.092447917,-0.25390625,1,0,0,9.4875,Basalt_rect,5,0,5,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,7,,,,,,,,4,03,,,,,,,,,,,3,24.459,0,,,,,,0.029947917,-0.256510417,1,0,0,24.4587,Diorite_rect,6,0,6,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,8,,,,,,,,5,16,,,,,,,,,,,5,1.289,1,,,,,,-0.473958333,-0.41015625,1,0,0,1.2894,Obsidian_rect,7,0,7,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,9,,,,,,,,2,10,,,,,,,,,,,5,1.823,0,,,,,,-0.361979167,-0.389322917,1,0,0,1.8229,Obsidian_rect,8,0,8,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,10,,,,,,,,1,02,,,,,,,,,,,6,0.509,0,,,,,,-0.12109375,-0.40234375,1,0,0,0.5094,Pegmatite_rect,9,0,9,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,11,,,,,,,,8,15,,,,,,,,,,,8,1.396,1,,,,,,0.35546875,-0.4140625,1,0,0,1.3959,Pumice_rect,10,0,10,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,12,,,,,,,,4,08,,,,,,,,,,,3,1.254,0,,,,,,0.166666667,-0.2578125,1,0,0,1.2542,Diorite_rect,11,0,11,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,13,,,,,,,,1,01,,,,,,,,,,,2,0.558,0,,,,,,-0.076822917,-0.243489583,1,0,0,0.5583,Basalt_rect,12,0,12,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,14,,,,,,,,5,08,,,,,,,,,,,5,0.93,1,,,,,,-0.333333333,-0.404947917,1,0,0,0.93,Obsidian_rect,13,0,13,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,15,,,,,,,,7,12,,,,,,,,,,,6,0.724,0,,,,,,-0.19921875,-0.3828125,1,0,0,0.7238,Pegmatite_rect,14,0,14,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,1,2,16,,,,,,,,6,03,,,,,,,,,,,2,1.443,0,,,,,,-0.123697917,-0.266927083,1,0,0,1.4433,Basalt_rect,15,0,15,0,1,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,1,-0.037760417,-0.009114583,1,0,0,1.8776,rock_grid_rect_2,6,06,-1,-1,1.878,0.076822917,-0.390625,1,0,0,32.2461,Peridotite_rect,7,32.246,0,0,0,0,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,2,0.111979167,-0.014322917,1,0,0,1.843,rock_grid_rect_2,5,06,-1,-1,1.843,-0.361979167,-0.395833333,1,0,0,2.1078,Obsidian_rect,5,2.108,1,1,0,1,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,3,0.07421875,-0.005208333,1,0,0,1.3762,rock_grid_rect_2,2,12,-1,-1,1.376,-0.091145833,-0.24609375,1,0,0,33.6291,Basalt_rect,2,33.629,1,2,0,2,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,4,-0.03125,-0.001302083,1,0,0,3.3927,rock_grid_rect_2,6,06,-1,-1,3.393,-0.102864583,-0.407552083,1,0,0,16.8668,Pegmatite_rect,6,16.867,1,3,0,3,0,1,,,,,,,,,,,,,
666b2c697befa9c75aa3e43f,TCR,2024-06-24_22h36.21.347,LearnStrategy,2023.2.3,Win32,60.24096386,2,1,5,-0.010416667,-0.01953125,1,0,0,0.9699,rock_grid_rect_2,4,13,-1,-1,0.97,0.225260417,-0.247395833,1,0,0,15.6485,Diorite_rect,3,15.649,0,4,0,4,0,1,,,,,,,,,,,,,
