participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
666c7ff3cb01f81efd18805c,TCR,2024-06-25_11h53.49.165,LearnStrategy,2023.2.3,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666c7ff3cb01f81efd18805c,TCR,2024-06-25_11h53.49.165,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,1,-0.024074074,-0.003703704,1,0,0,1.585,rock_grid_rect_2,7,04,-1,-1,1.585,0.174074074,-0.405555556,1,0,0,3.9047,Peridotite_rect,7,3.905,1,0,0,0,0,1,,,,,,,,,,,,,
666c7ff3cb01f81efd18805c,TCR,2024-06-25_11h53.49.165,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,2,-0.005555556,-0.022222222,1,0,0,2.0545,rock_grid_rect_2,4,03,-1,-1,2.054,-0.339814815,-0.250925926,1,0,0,6.5298,Andesite_rect,1,6.53,0,1,0,1,0,1,,,,,,,,,,,,,
666c7ff3cb01f81efd18805c,TCR,2024-06-25_11h53.49.165,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,3,0.037037037,0.012962963,1,0,0,1.1322,rock_grid_rect_2,6,03,-1,-1,1.132,-0.1,-0.409259259,1,0,0,4.002,Pegmatite_rect,6,4.002,1,2,0,2,0,1,,,,,,,,,,,,,
666c7ff3cb01f81efd18805c,TCR,2024-06-25_11h53.49.165,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,4,0.002777778,-0.018518519,1,0,0,1.3382,rock_grid_rect_2,7,07,-1,-1,1.338,-0.143518519,-0.252777778,1,0,0,9.2775,Basalt_rect,2,9.278,0,3,0,3,0,1,,,,,,,,,,,,,
666c7ff3cb01f81efd18805c,TCR,2024-06-25_11h53.49.165,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,5,0.00462963,-0.022222222,1,0,0,1.0716,rock_grid_rect_2,2,09,-1,-1,1.072,-0.357407407,-0.390740741,1,0,0,2.0053,Obsidian_rect,5,2.005,0,4,0,4,0,1,,,,,,,,,,,,,
666c7ff3cb01f81efd18805c,TCR,2024-06-25_11h53.49.165,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,6,0.027777778,-0.007407407,1,0,0,1.0241,rock_grid_rect_2,2,04,-1,-1,1.024,-0.341666667,-0.393518519,1,0,0,1.6414,Obsidian_rect,5,1.641,0,5,0,5,0,1,,,,,,,,,,,,,
666c7ff3cb01f81efd18805c,TCR,2024-06-25_11h53.49.165,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,7,-0.05,0.005555556,1,0,0,1.1564,rock_grid_rect_2,5,05,-1,-1,1.156,-0.444444444,-0.414814815,1,0,0,1.1861,Obsidian_rect,5,1.186,1,6,0,6,0,1,,,,,,,,,,,,,
666c7ff3cb01f81efd18805c,TCR,2024-06-25_11h53.49.165,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,8,0.017592593,-0.014814815,1,0,0,1.1261,rock_grid_rect_2,3,06,-1,-1,1.126,0.136111111,-0.263888889,1,0,0,6.6591,Diorite_rect,3,6.659,1,7,0,7,0,1,,,,,,,,,,,,,
666c7ff3cb01f81efd18805c,TCR,2024-06-25_11h53.49.165,LearnStrategy,2023.2.3,Win32,163.9344262,1,1,9,0.034259259,0.000925926,1,0,0,0.817,rock_grid_rect_2,6,12,-1,-1,0.817,-0.119444444,-0.399074074,1,0,0,5.902,Pegmatite_rect,6,5.902,1,8,0,8,0,1,,,,,,,,,,,,,
