participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_rec,token_rec,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus
6673535da412b0139c83fa31,SCR,2024-06-24_13h46.41.970,LearnStrategy,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6673535da412b0139c83fa31,SCR,2024-06-24_13h46.41.970,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,1,-0.574074067,-0.400925954,1,0,0,3.7385,Diorite_08,3,08,1,1,3.738,4,05,-0.433333333,-0.388888889,1,0,0,6.8963,Obsidian_rect,5,6.896,0,0,0,0,0,1,,,,,,,,,,,,,
6673535da412b0139c83fa31,SCR,2024-06-24_13h46.41.970,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,2,0.565740797,0.250925912,1,0,0,5.1723,Pegmatite_13,6,13,5,8,5.172,1,16,0.119444444,-0.245370399,1,0,0,4.2422,Diorite_rect,3,4.242,0,1,0,1,0,1,,,,,,,,,,,,,
6673535da412b0139c83fa31,SCR,2024-06-24_13h46.41.970,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,3,-0.212962935,0.125925912,1,0,0,3.1961,Obsidian_04,5,04,4,3,3.196,8,02,-0.409259245,-0.412037065,1,0,0,4.0092,Obsidian_rect,5,4.009,1,2,0,2,0,1,,,,,,,,,,,,,
6673535da412b0139c83fa31,SCR,2024-06-24_13h46.41.970,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,4,0.585185242,-0.076851866,1,0,0,3.1292,Pegmatite_11,6,11,3,8,3.129,7,04,0.161111111,-0.248148176,1,0,0,5.1027,Diorite_rect,3,5.103,0,3,0,3,0,1,,,,,,,,,,,,,
6673535da412b0139c83fa31,SCR,2024-06-24_13h46.41.970,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,5,-0.504629601,0.108333333,1,0,0,3.2298,Pumice_13,8,13,4,1,3.23,2,09,0.448148176,-0.410185242,1,0,0,3.6026,Pumice_rect,8,3.603,1,4,0,4,0,1,,,,,,,,,,,,,
6673535da412b0139c83fa31,SCR,2024-06-24_13h46.41.970,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,6,-0.082407379,0.448148145,1,0,0,2.2956,Pumice_14,8,14,6,4,2.296,5,09,0.360185242,-0.417592621,1,0,0,3.6025,Pumice_rect,8,3.602,1,5,0,5,0,1,,,,,,,,,,,,,
6673535da412b0139c83fa31,SCR,2024-06-24_13h46.41.970,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,7,0.427777778,-0.411111111,1,0,0,3.0792,Obsidian_02,5,02,1,7,3.079,1,07,-0.365740712,-0.389814843,1,0,0,2.2333,Obsidian_rect,5,2.233,1,6,0,6,0,1,,,,,,,,,,,,,
6673535da412b0139c83fa31,SCR,2024-06-24_13h46.41.970,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,8,-0.087962935,0.084259245,1,0,0,4.4973,Andesite_01,1,01,4,4,4.497,2,16,-0.369444444,-0.265740797,1,0,0,2.7948,Andesite_rect,1,2.795,1,7,0,7,0,1,,,,,,,,,,,,,
6673535da412b0139c83fa31,SCR,2024-06-24_13h46.41.970,LearnStrategy,2023.2.3,Win32,59.88023952,1,1,9,0.208333333,0.270370356,1,0,0,3.3949,Diorite_07,3,07,5,6,3.395,5,16,-0.090740712,-0.395370399,1,0,0,3.8657,Pegmatite_rect,6,3.866,0,8,0,8,0,1,,,,,,,,,,,,,
